EDAD_ANOS;SEXO1;SUM_of_1aDOSIS;SUM_of_2aDOSIS;SUM_of_ÚnicaDOSIS;SUM_of_Refuerzo_DOSIS;SUM_of_4_Dosis
80;Mujer;39359;39000;2;36094;29375
81;Desconocido;8;8;;8;8
81;Hombre;23918;23614;3;21530;17763
81;Intersex (Indeterminado);3;3;;3;
81;Mujer;35277;34938;;32062;25787
82;Desconocido;9;9;;7;6
82;Hombre;20549;20284;5;18343;14881
82;Intersex (Indeterminado);4;4;;4;1
82;Mujer;30834;30545;5;27854;22332
83;Desconocido;7;6;;5;5
83;Hombre;18446;18203;;16373;13247
83;Intersex (Indeterminado);5;5;;5;3
83;Mujer;28149;27865;2;25194;19847
84;Desconocido;4;4;;3;3
84;Hombre;16407;16174;;14366;11451
84;Intersex (Indeterminado);3;3;;2;2
84;Mujer;26026;25739;2;23128;18091
85;Desconocido;8;8;;7;5
85;Hombre;14261;14038;1;12449;9745
85;Intersex (Indeterminado);3;3;;1;
85;Mujer;23396;23116;1;20580;15920
86;Desconocido;2;2;;2;2
86;Hombre;12372;12163;1;10615;8176
86;Intersex (Indeterminado);2;2;;2;
86;Mujer;21421;21130;;18693;14219
87;Hombre;10499;10313;2;8923;6833
87;Intersex (Indeterminado);3;3;;3;3
87;Mujer;18644;18395;3;16038;12143
88;Desconocido;2;2;;2;1
88;Hombre;9425;9247;2;7879;5960
88;Intersex (Indeterminado);3;3;;2;
88;Mujer;17422;17154;;14853;10991
89;Desconocido;2;2;;2;2
89;Hombre;7970;7806;2;6619;4912
89;Intersex (Indeterminado);1;1;;1;1
89;Mujer;15273;15028;1;12803;9615
90;Desconocido;3;3;;3;3
90;Hombre;6827;6675;;5526;4016
90;Mujer;14341;14084;1;11875;8522
91;Desconocido;1;1;;1;1
91;Hombre;5311;5159;;4191;2977
91;Intersex (Indeterminado);1;1;;1;
91;Mujer;11887;11649;3;9697;6916
92;Hombre;4163;4050;;3303;2326
92;Mujer;9725;9504;1;7876;5550
93;Desconocido;3;3;;3;2
93;Hombre;3130;3057;;2426;1674
93;Intersex (Indeterminado);1;1;;1;1
93;Mujer;7545;7377;;5959;4124
94;Desconocido;1;1;;1;
94;Hombre;2104;2050;2;1576;1031
94;Intersex (Indeterminado);1;1;;;
94;Mujer;5518;5372;;4344;2998
95;Desconocido;1;1;;1;1
95;Hombre;1471;1412;1;1078;716
95;Intersex (Indeterminado);1;1;;1;1
95;Mujer;4138;4045;;3163;2067
96;Desconocido;1;1;;1;1
96;Hombre;1127;1087;;847;553
96;Mujer;3295;3204;;2459;1633
97;Hombre;729;703;;499;326
97;Mujer;2268;2214;;1700;1103
98;Hombre;491;469;2;340;220
98;Mujer;1668;1605;;1199;775
99;Desconocido;1;1;;1;1
99;Hombre;334;321;1;235;138
99;Mujer;1074;1041;1;760;474
100;Hombre;185;176;;124;67
100;Mujer;752;729;;513;307
101;Hombre;105;99;;75;42
101;Mujer;455;435;1;299;159
102;Hombre;61;57;;36;20
102;Mujer;286;277;;194;125
103;Hombre;35;34;;21;14
103;Intersex (Indeterminado);1;1;;1;1
103;Mujer;181;170;;118;76
104;Hombre;15;13;;9;5
104;Mujer;104;97;;66;38
105;Hombre;17;14;;8;6
105;Mujer;57;56;;44;27
106;Hombre;1;1;;;
106;Mujer;27;27;;10;4
107;Hombre;4;3;;3;2
107;Mujer;21;21;;13;9
108;Hombre;1;1;;;
108;Mujer;18;17;;12;8
109;Hombre;1;1;;;
109;Mujer;6;6;;6;5
110;Hombre;2;2;;1;1
110;Mujer;6;6;;4;1
111;Mujer;1;1;;1;1
112;Hombre;1;1;;1;
112;Mujer;1;1;;1;
116;Mujer;1;1;;1;1
121;Hombre;2;2;1;3;1
124;Mujer;1;;;;
134;Hombre;1;1;;1;
