REGION_CORTO;COD_COMUNA_FINAL;FECHA_INMUNIZACION;SUM_of_SUM_of_1aDOSIS;SUM_of_SUM_of_2aDOSIS;SUM_of_ÚnicaDOSIS
" Magallanes y  La Antártica Chilena";12401;14/01/2021;;20;
Metropolitana  Santiago;13101;14/01/2021;;414;
Metropolitana  Santiago;13106;14/01/2021;120;85;
Metropolitana  Santiago;13108;14/01/2021;25;260;
Metropolitana  Santiago;13110;14/01/2021;101;144;
Metropolitana  Santiago;13113;14/01/2021;;190;
Metropolitana  Santiago;13114;14/01/2021;337;90;
Metropolitana  Santiago;13119;14/01/2021;;85;
Metropolitana  Santiago;13120;14/01/2021;;5;
Metropolitana  Santiago;13123;14/01/2021;487;432;
Metropolitana  Santiago;13126;14/01/2021;;90;
Metropolitana  Santiago;13127;14/01/2021;;135;
Metropolitana  Santiago;13130;14/01/2021;;130;
Metropolitana  Santiago;13131;14/01/2021;;50;
Metropolitana  Santiago;13132;14/01/2021;155;189;
Metropolitana  Santiago;13201;14/01/2021;;140;
Metropolitana  Santiago;13401;14/01/2021;;135;
Metropolitana  Santiago;13402;14/01/2021;25;;
Metropolitana  Santiago;13601;14/01/2021;;80;
" Valparaíso";5601;15/01/2021;30;;
Bíobío;8101;15/01/2021;39;344;
Bíobío;8110;15/01/2021;12;127;
Bíobío;8111;15/01/2021;2;25;
Bíobío;8205;15/01/2021;1;48;
Bíobío;8301;15/01/2021;;1;
" Magallanes y  La Antártica Chilena";12101;15/01/2021;;6;
Metropolitana  Santiago;13101;15/01/2021;48;426;
Metropolitana  Santiago;13106;15/01/2021;160;95;
Metropolitana  Santiago;13108;15/01/2021;89;86;
Metropolitana  Santiago;13110;15/01/2021;86;79;
Metropolitana  Santiago;13113;15/01/2021;7;38;
Metropolitana  Santiago;13114;15/01/2021;181;137;
Metropolitana  Santiago;13119;15/01/2021;6;74;
Metropolitana  Santiago;13123;15/01/2021;201;398;
Metropolitana  Santiago;13126;15/01/2021;7;18;
Metropolitana  Santiago;13127;15/01/2021;;35;
Metropolitana  Santiago;13130;15/01/2021;12;88;
Metropolitana  Santiago;13131;15/01/2021;2;48;
Metropolitana  Santiago;13132;15/01/2021;65;140;
Metropolitana  Santiago;13201;15/01/2021;;160;
Metropolitana  Santiago;13401;15/01/2021;9;91;
Metropolitana  Santiago;13601;15/01/2021;;10;
Metropolitana  Santiago;13108;16/01/2021;1;9;
Metropolitana  Santiago;13123;16/01/2021;10;15;
Metropolitana  Santiago;13126;16/01/2021;;10;
Metropolitana  Santiago;13127;16/01/2021;3;12;
Metropolitana  Santiago;13130;16/01/2021;;5;
Metropolitana  Santiago;13201;16/01/2021;9;16;
" Antofagasta";2101;18/01/2021;1363;;
" Antofagasta";2102;18/01/2021;91;;
" Antofagasta";2104;18/01/2021;55;;
" Antofagasta";2201;18/01/2021;1105;;
" Antofagasta";2301;18/01/2021;100;;
" Antofagasta";2302;18/01/2021;60;;
" Atacama";3101;18/01/2021;331;;
" Coquimbo";4101;18/01/2021;895;;
" Coquimbo";4102;18/01/2021;794;;
" Coquimbo";4201;18/01/2021;120;;
" Coquimbo";4203;18/01/2021;50;;
" Coquimbo";4204;18/01/2021;25;;
" Coquimbo";4301;18/01/2021;564;;
" Coquimbo";4304;18/01/2021;20;;
" Coquimbo";4305;18/01/2021;30;;
Libertador B. O'Higgins;6101;18/01/2021;792;;
Libertador B. O'Higgins;6102;18/01/2021;30;;
Libertador B. O'Higgins;6103;18/01/2021;60;;
Libertador B. O'Higgins;6106;18/01/2021;70;;
Libertador B. O'Higgins;6107;18/01/2021;40;;
Libertador B. O'Higgins;6108;18/01/2021;80;;
Libertador B. O'Higgins;6110;18/01/2021;40;;
Libertador B. O'Higgins;6112;18/01/2021;90;;
Libertador B. O'Higgins;6115;18/01/2021;315;;
Libertador B. O'Higgins;6117;18/01/2021;124;;
Libertador B. O'Higgins;6203;18/01/2021;50;;
Libertador B. O'Higgins;6205;18/01/2021;31;;
Libertador B. O'Higgins;6301;18/01/2021;225;;
Libertador B. O'Higgins;6303;18/01/2021;40;;
Libertador B. O'Higgins;6305;18/01/2021;102;;
Libertador B. O'Higgins;6306;18/01/2021;37;;
Libertador B. O'Higgins;6308;18/01/2021;65;;
" Aisén Gral. C. Ibáñez Campo";11101;18/01/2021;504;;
" Aisén Gral. C. Ibáñez Campo";11201;18/01/2021;125;;
" Arica y Parinacota";15101;18/01/2021;895;;
" Ñuble";16101;18/01/2021;1086;;
" Ñuble";16102;18/01/2021;55;;
" Ñuble";16104;18/01/2021;150;;
" Ñuble";16109;18/01/2021;155;;
" Ñuble";16201;18/01/2021;70;;
" Ñuble";16203;18/01/2021;65;;
" Ñuble";16301;18/01/2021;140;;
