FECHA_INMUNIZACION;EDAD_ANOS;SUM_of_1aDOSIS;SUM_of_2aDOSIS;SUM_of_SUM_of_ÚnicaDOSIS;SUM_of_Refuerzo_DOSIS;SUM_of_4aDOSIS
13/04/2021;17;301;213;;;
14/04/2021;7;1;;;;
14/04/2021;15;1;;;;
14/04/2021;16;288;296;;;
14/04/2021;17;344;291;;;
15/04/2021;13;1;;;;
15/04/2021;15;1;;;;
15/04/2021;16;350;435;;;
15/04/2021;17;386;476;;;
16/04/2021;15;;1;;;
16/04/2021;16;274;1488;;;
16/04/2021;17;338;1672;;;
17/04/2021;16;40;44;;;
17/04/2021;17;42;44;;;
18/04/2021;16;10;4;;;
18/04/2021;17;6;5;;;
19/04/2021;15;;1;;;
19/04/2021;16;99;1208;;;
19/04/2021;17;110;1369;;;
20/04/2021;10;1;;;;
20/04/2021;12;;1;;;
20/04/2021;15;2;3;;;
20/04/2021;16;108;1539;;;
20/04/2021;17;117;1682;;;
21/04/2021;15;;1;;;
21/04/2021;16;62;715;;;
21/04/2021;17;83;785;;;
22/04/2021;8;1;;;;
22/04/2021;10;1;;;;
22/04/2021;15;;3;;;
22/04/2021;16;69;501;;;
22/04/2021;17;99;586;;;
23/04/2021;16;54;318;;;
23/04/2021;17;53;336;;;
24/04/2021;16;9;27;;;
24/04/2021;17;30;19;;;
26/04/2021;7;1;;;;
26/04/2021;15;1;2;;;
26/04/2021;16;89;350;;;
26/04/2021;17;90;406;;;
27/04/2021;3;1;;;;
27/04/2021;16;99;434;;;
27/04/2021;17;98;481;;;
28/04/2021;16;51;331;;;
28/04/2021;17;81;354;;;
29/04/2021;13;;1;;;
29/04/2021;15;;1;;;
29/04/2021;16;76;230;;;
29/04/2021;17;66;247;;;
30/04/2021;15;1;;;;
30/04/2021;16;160;93;;;
30/04/2021;17;155;72;;;
01/05/2021;16;17;;;;
01/05/2021;17;10;4;;;
02/05/2021;16;1;;;;
02/05/2021;17;1;;;;
03/05/2021;4;;1;;;
03/05/2021;6;1;;;;
03/05/2021;7;1;;;;
03/05/2021;14;1;;;;
03/05/2021;16;70;186;;;
03/05/2021;17;57;223;;;
04/05/2021;6;;1;;;
04/05/2021;11;1;;;;
04/05/2021;14;1;1;;;
04/05/2021;15;;1;;;
04/05/2021;16;77;275;;;
04/05/2021;17;88;307;;;
05/05/2021;8;1;1;;;
05/05/2021;16;48;245;;;
05/05/2021;17;67;293;;;
06/05/2021;8;;1;;;
06/05/2021;14;;1;;;
06/05/2021;15;1;1;;;
06/05/2021;16;68;244;;;
06/05/2021;17;100;258;;;
07/05/2021;6;1;;;;
07/05/2021;7;;1;;;
07/05/2021;15;;1;;;
07/05/2021;16;113;207;;;
07/05/2021;17;164;242;;;
08/05/2021;6;1;;;;
08/05/2021;16;42;29;;;
08/05/2021;17;43;33;;;
09/05/2021;9;1;;;;
09/05/2021;16;1;;;;
10/05/2021;3;1;;;;
10/05/2021;14;;1;;;
10/05/2021;15;;1;;;
10/05/2021;16;84;231;;;
10/05/2021;17;80;227;;;
11/05/2021;9;1;;;;
11/05/2021;10;;1;;;
11/05/2021;15;;2;;;
11/05/2021;16;110;350;;;
11/05/2021;17;122;366;;;
12/05/2021;9;1;;;;
12/05/2021;13;1;;;;
12/05/2021;16;76;289;;;
12/05/2021;17;85;357;;;
13/05/2021;5;1;;;;
13/05/2021;15;1;1;;;
13/05/2021;16;80;312;;;
13/05/2021;17;85;366;;;
14/05/2021;7;2;;;;
14/05/2021;8;1;;;;
14/05/2021;9;1;;;;
14/05/2021;16;128;255;;;
14/05/2021;17;151;283;;;
15/05/2021;16;5;;;;
15/05/2021;17;3;3;;;
17/05/2021;9;1;;;;
17/05/2021;12;1;;;;
17/05/2021;16;70;167;;;
17/05/2021;17;76;178;;;
18/05/2021;5;1;;;;
18/05/2021;15;1;1;;;
18/05/2021;16;206;156;;;
18/05/2021;17;275;153;;;
19/05/2021;15;;2;;;
19/05/2021;16;524;106;;;
19/05/2021;17;630;140;;;
20/05/2021;8;;1;;;
20/05/2021;10;;1;;;
20/05/2021;15;2;1;;;
20/05/2021;16;839;84;;;
20/05/2021;17;913;127;;;
21/05/2021;16;270;5;;;
21/05/2021;17;311;3;;;
22/05/2021;16;142;7;;;
22/05/2021;17;215;12;;;
23/05/2021;16;2;;;;
23/05/2021;17;1;;;;
24/05/2021;7;1;1;;;
24/05/2021;8;1;;;;
24/05/2021;12;1;;;;
24/05/2021;13;1;;;;
24/05/2021;14;1;;;;
24/05/2021;15;;1;;;
24/05/2021;16;101;109;;;
24/05/2021;17;169;108;;;
25/05/2021;3;;1;;;
25/05/2021;7;1;;;;
25/05/2021;10;;1;;;
25/05/2021;16;227;164;;;
25/05/2021;17;274;164;;;
26/05/2021;7;1;;;;
26/05/2021;8;1;;;;
26/05/2021;13;1;;;;
26/05/2021;16;192;75;;;
26/05/2021;17;228;86;;;
27/05/2021;7;1;;;;
27/05/2021;8;1;;;;
27/05/2021;9;1;;;;
27/05/2021;15;2;;;;
27/05/2021;16;225;83;;;
27/05/2021;17;271;102;;;
28/05/2021;15;2;1;;;
28/05/2021;16;156;120;;;
28/05/2021;17;171;111;;;
29/05/2021;16;35;13;;;
29/05/2021;17;54;11;;;
30/05/2021;16;5;2;;;
30/05/2021;17;9;;;;
31/05/2021;5;1;;;;
31/05/2021;8;1;;;;
31/05/2021;14;;1;;;
31/05/2021;16;196;109;;;
31/05/2021;17;205;89;;;
01/06/2021;6;;1;;;
01/06/2021;7;1;;;;
01/06/2021;9;1;;;;
01/06/2021;13;1;;;;
01/06/2021;14;1;;;;
01/06/2021;15;3;;;;
01/06/2021;16;282;109;;;
01/06/2021;17;414;116;;;
02/06/2021;8;;1;;;
02/06/2021;11;1;;;;
02/06/2021;12;1;;;;
02/06/2021;14;1;;;;
02/06/2021;16;236;51;;;
02/06/2021;17;291;73;;;
03/06/2021;6;1;;;;
03/06/2021;8;1;;;;
03/06/2021;9;1;;;;
03/06/2021;14;2;;;;
03/06/2021;16;181;63;;;
03/06/2021;17;236;84;;;
04/06/2021;6;;1;;;
04/06/2021;11;;1;;;
04/06/2021;12;1;;;;
04/06/2021;14;;1;;;
04/06/2021;15;1;1;;;
04/06/2021;16;129;75;;;
04/06/2021;17;180;100;;;
05/06/2021;6;1;;;;
05/06/2021;16;37;15;;;
05/06/2021;17;53;20;;;
06/06/2021;13;1;;;;
06/06/2021;14;1;;;;
06/06/2021;16;3;4;;;
06/06/2021;17;2;1;;;
07/06/2021;11;1;;;;
07/06/2021;12;1;;;;
07/06/2021;13;6;;;;
07/06/2021;14;3;;;;
07/06/2021;15;9;;;;
07/06/2021;16;114;103;;;
07/06/2021;17;136;122;;;
08/06/2021;3;;1;;;
08/06/2021;7;1;;;;
08/06/2021;8;1;;;;
08/06/2021;12;1;;;;
08/06/2021;13;1;;;;
08/06/2021;14;2;;;;
08/06/2021;16;187;145;;;
08/06/2021;17;249;175;;;
09/06/2021;9;;1;;;
09/06/2021;12;1;;;;
09/06/2021;13;1;;;;
09/06/2021;14;1;;;;
09/06/2021;15;2;;;;
09/06/2021;16;233;81;;;
09/06/2021;17;293;83;;;
10/06/2021;7;1;;;;
10/06/2021;9;;1;;;
10/06/2021;14;1;;;;
10/06/2021;15;1;1;;;
10/06/2021;16;169;91;;;
10/06/2021;17;164;105;;;
11/06/2021;8;1;;;;
11/06/2021;9;1;;;;
11/06/2021;12;8;;;;
11/06/2021;13;7;1;;;
11/06/2021;14;5;;;;
11/06/2021;15;11;;;;
11/06/2021;16;157;118;;;
11/06/2021;17;180;145;;;
12/06/2021;15;;1;;;
12/06/2021;16;17;11;;;
12/06/2021;17;28;15;;;
13/06/2021;16;;1;;;
14/06/2021;5;;1;;;
14/06/2021;8;;1;;;
14/06/2021;12;;1;;;
14/06/2021;13;1;;;;
14/06/2021;14;1;;;;
14/06/2021;15;5;;;;
14/06/2021;16;102;99;;;
14/06/2021;17;120;102;;;
15/06/2021;5;;1;;;
15/06/2021;6;1;;;;
15/06/2021;13;1;;;;
15/06/2021;14;1;;;;
15/06/2021;15;5;1;;;
15/06/2021;16;102;191;;;
15/06/2021;17;114;275;;;
16/06/2021;4;1;;;;
16/06/2021;7;1;;;;
16/06/2021;9;;1;;;
16/06/2021;15;1;;;;
16/06/2021;16;94;450;;;
16/06/2021;17;126;568;;;
17/06/2021;7;;1;;;
17/06/2021;8;2;;;;
17/06/2021;12;1;;;;
17/06/2021;14;2;;;;
