REGION_RESIDENCIA;EDAD_ANOS;SUM_of_1aDOSIS;SUM_of_2aDOSIS;SUM_of_ÚnicaDOSIS;SUM_of_Refuerzo_DOSIS;SUM_of_4_Dosis
" Valparaíso";65;20287;20166;4;19337;17273
" Valparaíso";66;18679;18571;7;17829;15865
" Valparaíso";67;18524;18405;3;17640;15802
" Valparaíso";68;17228;17141;;16410;14667
" Valparaíso";69;16148;16058;3;15408;13848
" Valparaíso";70;15172;15089;1;14465;12999
" Valparaíso";71;15038;14954;2;14331;12860
" Valparaíso";72;14287;14207;2;13578;12195
" Valparaíso";73;13619;13538;2;12920;11642
" Valparaíso";74;12856;12775;2;12137;10851
" Valparaíso";75;12394;12314;;11745;10410
" Valparaíso";76;11865;11790;;11162;9896
" Valparaíso";77;10755;10669;2;10018;8781
" Valparaíso";78;9798;9727;1;9124;8002
" Valparaíso";79;9213;9132;;8534;7352
" Valparaíso";80;8633;8553;1;7948;6888
" Valparaíso";81;7583;7525;;6872;5870
" Valparaíso";82;6630;6566;1;6032;5111
" Valparaíso";83;6094;6030;;5491;4599
" Valparaíso";84;5645;5579;;5026;4229
" Valparaíso";85;4905;4834;;4327;3575
" Valparaíso";86;4484;4422;;3881;3137
" Valparaíso";87;3950;3892;1;3407;2734
" Valparaíso";88;3606;3561;;3130;2457
" Valparaíso";89;3180;3131;;2686;2105
" Valparaíso";90;2821;2769;;2341;1786
" Valparaíso";91;2236;2184;;1800;1335
" Valparaíso";92;1815;1760;;1442;1083
" Valparaíso";93;1412;1387;;1130;837
" Valparaíso";94;955;938;;737;535
" Valparaíso";95;695;675;;517;361
" Valparaíso";96;567;548;;429;288
" Valparaíso";97;382;377;;281;184
" Valparaíso";98;277;263;;198;133
" Valparaíso";99;162;160;1;113;74
" Valparaíso";100;110;107;;68;43
" Valparaíso";101;72;67;;39;22
" Valparaíso";102;45;43;;28;21
" Valparaíso";103;20;20;;13;8
" Valparaíso";104;15;15;;13;7
" Valparaíso";105;13;11;;7;5
" Valparaíso";106;1;1;;;
" Valparaíso";107;1;1;;1;1
" Valparaíso";108;1;1;;1;1
" Valparaíso";110;1;1;;1;1
" Ñuble";18;6134;6066;1183;6779;5240
" Ñuble";19;6147;6051;709;6297;4874
" Ñuble";20;6538;6454;609;6565;5080
" Ñuble";21;6465;6358;565;6388;4890
" Ñuble";22;6700;6600;589;6628;5048
" Ñuble";23;6679;6568;443;6456;4872
" Ñuble";24;7038;6919;367;6678;5029
" Ñuble";25;6788;6671;382;6443;4871
" Ñuble";26;7207;7081;340;6796;5155
" Ñuble";27;7099;7004;325;6732;5050
" Ñuble";28;7405;7291;306;6941;5289
" Ñuble";29;7560;7455;308;7139;5429
" Ñuble";30;7606;7500;317;7161;5403
" Ñuble";31;7672;7555;299;7224;5592
" Ñuble";32;7391;7310;274;6991;5410
" Ñuble";33;7196;7112;247;6812;5298
" Ñuble";34;7084;7005;241;6744;5320
" Ñuble";35;6832;6765;242;6538;5163
" Ñuble";36;6570;6503;244;6300;4941
" Ñuble";37;6407;6339;195;6108;4867
" Ñuble";38;6822;6766;204;6537;5274
" Ñuble";39;6954;6888;216;6699;5385
" Ñuble";40;6715;6670;193;6483;5295
" Ñuble";41;6436;6364;185;6150;4970
" Ñuble";42;6210;6153;173;5943;4805
" Ñuble";43;6189;6140;154;5962;4900
" Ñuble";44;6024;5989;142;5814;4810
" Ñuble";45;6569;6527;153;6352;5313
" Ñuble";46;6893;6847;177;6663;5551
" Ñuble";47;7177;7131;163;6904;5753
" Ñuble";48;7468;7417;144;7231;6070
" Ñuble";49;7386;7327;169;7152;6006
" Ñuble";50;7351;7307;112;7063;5990
" Ñuble";51;6970;6940;124;6761;5753
" Ñuble";52;7346;7312;136;7133;6063
" Ñuble";53;7436;7403;122;7191;6124
" Ñuble";54;7476;7434;104;7223;6190
" Ñuble";55;7375;7340;85;7123;6125
" Ñuble";56;7291;7241;99;7045;6086
" Ñuble";57;7136;7105;96;6882;6001
" Ñuble";58;7047;7006;83;6804;5860
" Ñuble";59;6965;6933;67;6730;5865
" Ñuble";60;7034;6993;44;6766;5906
" Ñuble";61;6423;6389;6;6171;5418
" Ñuble";62;6291;6262;3;6029;5316
" Ñuble";63;6113;6087;2;5882;5250
" Ñuble";64;5887;5869;3;5650;5067
" Ñuble";65;5512;5496;3;5308;4745
" Ñuble";66;5322;5306;3;5110;4570
" Ñuble";67;5226;5201;1;4997;4494
" Ñuble";68;4844;4823;2;4661;4230
" Ñuble";69;4420;4396;;4225;3797
" Ñuble";70;4254;4235;;4093;3716
" Ñuble";71;4112;4092;;3909;3526
" Ñuble";72;3994;3980;;3809;3396
" Ñuble";73;3812;3786;1;3608;3218
" Ñuble";74;3533;3516;;3333;2921
" Ñuble";75;3378;3358;;3197;2797
" Ñuble";76;3021;3002;;2843;2479
" Ñuble";77;2862;2843;;2689;2368
" Ñuble";78;2710;2684;;2511;2166
" Ñuble";79;2515;2495;;2318;2004
" Ñuble";80;2365;2339;;2161;1835
" Ñuble";81;2110;2092;;1915;1591
" Ñuble";82;1749;1737;;1603;1324
" Ñuble";83;1603;1587;;1432;1190
" Ñuble";84;1460;1449;;1298;1100
" Ñuble";85;1274;1261;;1135;949
" Ñuble";86;1140;1125;;999;803
" Ñuble";87;903;889;;779;630
" Ñuble";88;899;885;;761;589
" Ñuble";89;765;761;;656;520
" Ñuble";90;685;671;;568;429
" Ñuble";91;541;526;;439;328
" Ñuble";92;378;368;;293;230
" Ñuble";93;343;337;;274;201
" Ñuble";94;253;243;;204;141
" Ñuble";95;187;186;;142;94
" Ñuble";96;171;169;;134;98
" Ñuble";97;109;108;;83;63
" Ñuble";98;73;68;;48;32
" Ñuble";99;59;57;;41;29
" Ñuble";100;29;29;;21;11
" Ñuble";101;17;17;;10;7
" Ñuble";102;11;11;;9;7
" Ñuble";103;11;11;;7;5
" Ñuble";104;3;3;;2;1
" Ñuble";105;3;3;;2;2
" Ñuble";107;1;1;;1;
" Ñuble";110;1;1;;1;
Bíobío;18;17782;17457;5517;21256;16118
Bíobío;19;18252;17959;3709;20064;15391
Bíobío;20;20239;19904;2406;20621;15775
Bíobío;21;20170;19803;2128;20213;15466
Bíobío;22;21208;20865;2360;21404;16207
Bíobío;23;22381;21992;1857;21875;16574
Bíobío;24;23020;22626;1610;22210;16751
Bíobío;25;22962;22557;1455;22078;16769
Bíobío;26;23893;23531;1129;22692;17349
Bíobío;27;24087;23708;1127;22804;17436
Bíobío;28;24887;24518;1121;23625;18123
Bíobío;29;25651;25276;1147;24410;18761
Bíobío;30;25803;25451;1117;24608;19120
Bíobío;31;25908;25560;1001;24587;19119
Bíobío;32;24630;24286;941;23418;18461
Bíobío;33;23217;22919;947;22284;17525
Bíobío;34;22567;22278;871;21600;17189
Bíobío;35;21541;21279;813;20659;16465
Bíobío;36;20718;20464;766;19901;16035
Bíobío;37;20707;20457;721;19829;16076
Bíobío;38;21429;21192;756;20696;16849
Bíobío;39;22143;21908;835;21405;17527
Bíobío;40;21067;20849;731;20368;16713
Bíobío;41;20557;20367;681;19833;16378
Bíobío;42;19484;19296;637;18919;15690
Bíobío;43;19126;18967;556;18550;15440
Bíobío;44;18978;18802;515;18396;15456
Bíobío;45;20121;19950;507;19517;16534
Bíobío;46;20890;20734;563;20339;17347
Bíobío;47;21340;21149;524;20723;17619
Bíobío;48;21736;21559;532;21138;18031
Bíobío;49;21559;21398;497;20895;17902
Bíobío;50;20945;20784;493;20332;17524
Bíobío;51;20634;20477;419;19978;17095
Bíobío;52;21228;21083;423;20562;17639
Bíobío;53;22017;21874;399;21301;18370
Bíobío;54;21841;21692;353;21175;18336
Bíobío;55;21865;21732;350;21229;18437
Bíobío;56;21490;21356;329;20786;18068
Bíobío;57;20837;20715;288;20133;17555
Bíobío;58;20761;20622;297;20087;17559
Bíobío;59;20379;20277;274;19750;17281
Bíobío;60;19897;19776;120;19167;16829
Bíobío;61;18617;18505;10;17793;15692
Bíobío;62;17854;17761;2;17060;15128
Bíobío;63;17323;17222;5;16584;14752
Bíobío;64;16596;16499;9;15877;14175
Bíobío;65;15974;15868;1;15275;13688
Bíobío;66;14871;14797;3;14248;12815
Bíobío;67;14973;14905;3;14394;12891
Bíobío;68;13751;13664;2;13133;11779
Bíobío;69;12523;12443;3;11945;10746
Bíobío;70;11699;11632;;11171;10067
Bíobío;71;11183;11111;;10646;9576
Bíobío;72;10618;10560;;10093;9054
Bíobío;73;10037;9961;2;9533;8496
Bíobío;74;9593;9521;;9035;7969
Bíobío;75;9158;9083;1;8591;7586
Bíobío;76;8221;8149;;7681;6723
Bíobío;77;7654;7591;;7151;6268
Bíobío;78;7166;7104;2;6630;5744
Bíobío;79;6713;6649;2;6211;5340
Bíobío;80;6294;6240;;5771;4862
Bíobío;81;5410;5345;;4944;4147
Bíobío;82;4633;4579;;4192;3490
Bíobío;83;4232;4186;;3785;3135
Bíobío;84;3837;3776;;3424;2800
Bíobío;85;3410;3365;;3046;2471
Bíobío;86;2998;2955;;2654;2128
Bíobío;87;2661;2623;;2291;1827
Bíobío;88;2383;2350;;2035;1601
Bíobío;89;1977;1938;;1651;1295
Bíobío;90;1823;1795;;1532;1181
Bíobío;91;1529;1489;;1253;921
Bíobío;92;1236;1211;;1000;743
Bíobío;93;910;888;;724;531
Bíobío;94;685;659;;533;378
Bíobío;95;522;513;;411;280
Bíobío;96;391;385;;306;209
Bíobío;97;276;268;;215;154
Bíobío;98;189;183;;137;89
Bíobío;99;125;121;;86;55
Bíobío;100;67;64;;42;22
Bíobío;101;48;44;;31;20
Bíobío;102;23;22;;15;6
Bíobío;103;12;11;;8;5
Bíobío;104;14;14;;9;3
Bíobío;105;9;9;;9;7
Bíobío;106;1;1;;;
Bíobío;107;3;3;;2;1
Bíobío;108;3;3;;1;
Bíobío;109;1;1;;;
Bíobío;110;1;1;;1;
Bíobío;120;1;;;;
Ignorada;18;1;1;;1;1
Ignorada;20;3;3;;3;3
Ignorada;22;1;1;;1;1
Ignorada;23;2;2;;2;2
Ignorada;25;1;1;;1;1
Ignorada;27;2;2;;2;2
Ignorada;29;1;1;;1;1
Ignorada;30;1;1;;1;1
Ignorada;31;2;2;;2;2
Ignorada;32;2;2;;2;2
Ignorada;33;1;1;;1;1
Ignorada;35;1;1;;1;1
Ignorada;42;2;2;;2;1
Ignorada;43;2;2;;2;1
Ignorada;44;1;1;;1;
Ignorada;52;1;1;;1;1
Ignorada;57;1;1;;1;1
Ignorada;58;2;2;;2;2
Ignorada;59;1;1;;1;1
Ignorada;60;1;1;;1;1
Ignorada;62;1;1;;1;1
Ignorada;72;1;1;;1;1
Ignorada;75;1;1;;1;
Libertador B. O'Higgins;18;9470;9172;4920;12970;10085
Libertador B. O'Higgins;19;11668;11365;2037;12245;9532
Libertador B. O'Higgins;20;13473;13096;980;12766;9899
Libertador B. O'Higgins;21;13566;13134;733;12432;9588
Libertador B. O'Higgins;22;14077;13632;771;12831;9689
Libertador B. O'Higgins;23;13458;12979;1599;12967;9770
Libertador B. O'Higgins;24;13940;13502;1145;13010;9782
Libertador B. O'Higgins;25;14199;13802;996;13167;9867
Libertador B. O'Higgins;26;15146;14709;744;13729;10385
Libertador B. O'Higgins;27;15268;14835;620;13755;10433
Libertador B. O'Higgins;28;15426;15010;574;13971;10671
Libertador B. O'Higgins;29;15716;15303;594;14327;11087
Libertador B. O'Higgins;30;16191;15822;593;14845;11544
Libertador B. O'Higgins;31;16588;16235;533;15114;11830
Libertador B. O'Higgins;32;16223;15900;481;14849;11710
Libertador B. O'Higgins;33;15558;15234;496;14301;11359
Libertador B. O'Higgins;34;14886;14612;436;13745;11019
Libertador B. O'Higgins;35;14302;14081;378;13251;10600
Libertador B. O'Higgins;36;13872;13645;356;12840;10277
Libertador B. O'Higgins;37;13368;13171;354;12390;10099
Libertador B. O'Higgins;38;14107;13900;329;13152;10823
Libertador B. O'Higgins;39;14355;14157;315;13492;11153
Libertador B. O'Higgins;40;13802;13598;298;13000;10811
Libertador B. O'Higgins;41;13403;13208;274;12551;10461
Libertador B. O'Higgins;42;12769;12623;272;12101;10172
Libertador B. O'Higgins;43;12825;12671;263;12164;10221
Libertador B. O'Higgins;44;12890;12750;236;12241;10381
Libertador B. O'Higgins;45;13670;13526;227;13045;11073
Libertador B. O'Higgins;46;13586;13454;231;12967;11061
Libertador B. O'Higgins;47;13610;13491;198;12983;11100
Libertador B. O'Higgins;48;13603;13489;206;13012;11213
Libertador B. O'Higgins;49;13311;13212;168;12737;10999
Libertador B. O'Higgins;50;12808;12713;168;12323;10702
Libertador B. O'Higgins;51;12246;12152;160;11734;10205
Libertador B. O'Higgins;52;13111;13011;156;12573;10911
Libertador B. O'Higgins;53;13398;13296;155;12862;11248
Libertador B. O'Higgins;54;13549;13477;143;13068;11463
Libertador B. O'Higgins;55;13367;13294;131;12926;11382
Libertador B. O'Higgins;56;13285;13217;109;12832;11345
Libertador B. O'Higgins;57;13290;13208;107;12817;11381
Libertador B. O'Higgins;58;13058;12976;132;12593;11051
Libertador B. O'Higgins;59;12453;12385;110;11971;10513
Libertador B. O'Higgins;60;12441;12378;41;11954;10581
Libertador B. O'Higgins;61;11549;11505;5;11084;9862
Libertador B. O'Higgins;62;11220;11173;2;10778;9533
Libertador B. O'Higgins;63;11064;10995;;10618;9448
Libertador B. O'Higgins;64;10487;10433;1;10032;9010
Libertador B. O'Higgins;65;10091;10039;3;9682;8666
Libertador B. O'Higgins;66;9438;9390;2;9010;8145
Libertador B. O'Higgins;67;9320;9279;;8976;8117
Libertador B. O'Higgins;68;8501;8461;1;8186;7428
Libertador B. O'Higgins;69;7920;7890;;7602;6878
Libertador B. O'Higgins;70;7531;7503;1;7234;6519
Libertador B. O'Higgins;71;7194;7157;;6863;6158
Libertador B. O'Higgins;72;6972;6942;;6648;6000
Libertador B. O'Higgins;73;6605;6567;;6290;5619
Libertador B. O'Higgins;74;6038;6007;;5719;5078
Libertador B. O'Higgins;75;5754;5723;;5441;4828
Libertador B. O'Higgins;76;5326;5294;;4979;4376
Libertador B. O'Higgins;77;4634;4596;;4310;3767
Libertador B. O'Higgins;78;4393;4354;;4080;3536
Libertador B. O'Higgins;79;4019;3995;;3708;3199
Libertador B. O'Higgins;80;3700;3672;;3426;2914
Libertador B. O'Higgins;81;3242;3207;;2955;2534
Libertador B. O'Higgins;82;2945;2917;;2625;2209
Libertador B. O'Higgins;83;2600;2579;;2343;1930
Libertador B. O'Higgins;84;2251;2217;;1975;1610
Libertador B. O'Higgins;85;2036;2014;;1760;1417
Libertador B. O'Higgins;86;1901;1878;;1668;1360
Libertador B. O'Higgins;87;1525;1503;;1309;1038
Libertador B. O'Higgins;88;1435;1401;1;1196;913
Libertador B. O'Higgins;89;1199;1169;;999;781
Libertador B. O'Higgins;90;1087;1067;;879;639
Libertador B. O'Higgins;91;855;837;;695;537
Libertador B. O'Higgins;92;768;757;;615;459
Libertador B. O'Higgins;93;547;534;;414;300
Libertador B. O'Higgins;94;395;384;;319;231
Libertador B. O'Higgins;95;241;232;;175;121
Libertador B. O'Higgins;96;200;195;;151;105
Libertador B. O'Higgins;97;159;156;;123;94
Libertador B. O'Higgins;98;94;91;;66;46
Libertador B. O'Higgins;99;61;60;;46;27
Libertador B. O'Higgins;100;51;51;;35;23
Libertador B. O'Higgins;101;19;18;;13;9
Libertador B. O'Higgins;102;23;23;;14;10
Libertador B. O'Higgins;103;13;13;;7;6
Libertador B. O'Higgins;104;5;5;;5;3
Libertador B. O'Higgins;105;2;2;;;
Libertador B. O'Higgins;106;1;1;;;
Libertador B. O'Higgins;107;1;1;;1;1
Libertador B. O'Higgins;108;1;1;;;
Libertador B. O'Higgins;110;1;1;;1;
Maule;18;10456;10211;5361;14392;11156
Maule;19;12514;12247;2495;13621;10560
Maule;20;14500;14212;1120;14096;10916
Maule;21;14533;14195;913;13721;10528
Maule;22;15116;14764;829;14107;10747
Maule;23;13815;13454;2519;14487;10955
Maule;24;14098;13719;2393;14580;10971
Maule;25;15267;14866;1355;14627;11095
Maule;26;16392;16043;911;15250;11564
Maule;27;16598;16203;754;15319;11641
Maule;28;16630;16260;742;15383;11727
Maule;29;17248;16844;740;15947;12205
Maule;30;17767;17392;692;16491;12674
Maule;31;18179;17814;645;16864;13032
Maule;32;17494;17161;652;16209;12581
Maule;33;16786;16470;576;15621;12220
Maule;34;15892;15638;565;14837;11641
Maule;35;15477;15215;479;14380;11407
Maule;36;14574;14312;466;13581;10809
Maule;37;14526;14293;430;13603;10946
Maule;38;15321;15124;412;14392;11605
Maule;39;15839;15630;439;14976;12159
Maule;40;14768;14562;424;13973;11383
Maule;41;14441;14289;389;13729;11215
Maule;42;13839;13685;374;13213;10866
Maule;43;13909;13750;334;13178;10787
Maule;44;14496;14342;341;13798;11434
Maule;45;15143;15011;357;14523;12069
Maule;46;15148;15010;360;14545;12173
Maule;47;15118;14994;327;14577;12259
Maule;48;15115;14982;290;14521;12247
Maule;49;14810;14692;238;14206;11993
Maule;50;14287;14170;264;13741;11722
Maule;51;14028;13938;264;13517;11560
Maule;52;14946;14837;244;14404;12349
Maule;53;15431;15325;244;14906;12781
Maule;54;15571;15472;247;15054;12870
Maule;55;15545;15439;232;14995;12932
Maule;56;15149;15038;184;14586;12610
Maule;57;14901;14816;191;14397;12547
Maule;58;14961;14863;200;14433;12569
Maule;59;14127;14058;173;13607;11828
Maule;60;14289;14213;119;13736;11983
Maule;61;13157;13078;11;12560;11075
Maule;62;12723;12665;3;12159;10740
Maule;63;12545;12473;4;12022;10617
Maule;64;12032;11965;5;11503;10275
Maule;65;11762;11700;2;11220;10016
Maule;66;10532;10480;;10062;8988
Maule;67;11007;10945;2;10550;9419
Maule;68;10011;9959;3;9553;8519
Maule;69;9243;9194;1;8824;7875
Maule;70;8783;8744;;8401;7455
Maule;71;8278;8233;1;7878;7014
Maule;72;8017;7970;;7599;6793
Maule;73;7286;7236;;6862;6046
Maule;74;7041;6995;1;6636;5828
Maule;75;6471;6426;;6055;5298
Maule;76;6245;6191;;5827;5086
Maule;77;5448;5410;;5068;4374
Maule;78;5072;5039;;4707;3999
Maule;79;4599;4564;;4226;3557
Maule;80;4465;4423;;4042;3355
Maule;81;3952;3905;;3573;2992
Maule;82;3418;3372;;3032;2487
Maule;83;2898;2871;;2581;2124
Maule;84;2758;2725;;2416;1952
Maule;85;2381;2354;;2077;1656
Maule;86;2085;2056;;1797;1385
Maule;87;1757;1734;;1482;1142
Maule;88;1581;1558;;1332;1013
Maule;89;1354;1331;1;1123;864
Maule;90;1241;1220;;1026;725
Maule;91;1001;974;;795;578
Maule;92;842;820;;666;473
Maule;93;638;622;;505;354
Maule;94;452;446;;365;261
Maule;95;321;313;;250;165
Maule;96;236;229;;176;114
Maule;97;179;175;;124;80
Maule;98;120;115;;84;47
Maule;99;98;95;;65;46
Maule;100;73;69;;48;31
Maule;101;35;34;;25;17
Maule;102;14;14;;9;6
Maule;103;13;12;;10;6
Maule;104;7;7;;5;3
Maule;105;2;2;;2;1
Maule;106;2;2;;1;1
Maule;107;2;2;;1;1
Maule;108;1;1;;1;1
Maule;109;3;3;;3;3
Metropolitana  Santiago;18;64305;62544;35105;89686;69729
Metropolitana  Santiago;19;85072;83226;12995;88380;69010
Metropolitana  Santiago;20;98726;96542;5709;93531;72881
Metropolitana  Santiago;21;100003;97538;5186;93301;72187
Metropolitana  Santiago;22;101125;98670;9072;97541;74768
Metropolitana  Santiago;23;96774;94021;17795;100855;76997
Metropolitana  Santiago;24;106637;103745;12112;104311;79487
Metropolitana  Santiago;25;111369;108356;11157;107585;82067
Metropolitana  Santiago;26;122907;119757;7771;114845;88168
Metropolitana  Santiago;27;124518;121451;7251;116159;89545
Metropolitana  Santiago;28;127248;124210;7091;118522;91598
Metropolitana  Santiago;29;129681;126638;6997;120907;94391
Metropolitana  Santiago;30;134070;131112;6541;124862;98170
Metropolitana  Santiago;31;135144;132402;6092;125943;99965
Metropolitana  Santiago;32;132049;129360;5864;123393;98355
Metropolitana  Santiago;33;124897;122383;5425;116972;93670
Metropolitana  Santiago;34;119331;117026;5033;111825;89904
Metropolitana  Santiago;35;114579;112546;4627;107710;87222
Metropolitana  Santiago;36;110826;108941;4246;104204;84927
Metropolitana  Santiago;37;107208;105335;3933;101126;82868
Metropolitana  Santiago;38;109583;107845;3804;103633;85437
Metropolitana  Santiago;39;111392;109738;3885;105940;87858
Metropolitana  Santiago;40;103923;102486;3426;98900;82341
Metropolitana  Santiago;41;100194;98815;3173;95573;80103
Metropolitana  Santiago;42;95088;93743;2894;90724;76683
Metropolitana  Santiago;43;91273;90116;2612;87397;74157
Metropolitana  Santiago;44;90885;89785;2539;87211;74441
Metropolitana  Santiago;45;94633;93601;2147;90948;78374
Metropolitana  Santiago;46;97061;96035;2263;93478;80673
Metropolitana  Santiago;47;97458;96424;2042;93821;81185
Metropolitana  Santiago;48;96999;96013;1835;93239;81007
Metropolitana  Santiago;49;95843;94890;1775;92381;80575
Metropolitana  Santiago;50;91390;90562;1581;88248;77237
Metropolitana  Santiago;51;87100;86356;1408;84087;73994
Metropolitana  Santiago;52;88267;87563;1382;85225;74971
Metropolitana  Santiago;53;89081;88386;1288;85966;75800
Metropolitana  Santiago;54;89514;88852;1217;86592;76538
Metropolitana  Santiago;55;91015;90338;1105;88131;78197
Metropolitana  Santiago;56;91788;91113;1086;88861;78984
Metropolitana  Santiago;57;90389;89795;1010;87518;77830
Metropolitana  Santiago;58;90801;90151;945;87840;78251
Metropolitana  Santiago;59;85983;85419;805;83039;74149
Metropolitana  Santiago;60;84248;83693;433;81110;72577
Metropolitana  Santiago;61;78056;77503;59;74751;66972
Metropolitana  Santiago;62;75151;74709;37;72081;65056
Metropolitana  Santiago;63;72810;72386;27;69922;63345
Metropolitana  Santiago;64;69004;68609;32;66199;60004
Metropolitana  Santiago;65;64364;63993;16;61728;56098
Metropolitana  Santiago;66;57386;57090;14;55024;50177
Metropolitana  Santiago;67;56667;56358;10;54490;49754
Metropolitana  Santiago;68;51853;51571;13;49807;45496
Metropolitana  Santiago;69;48470;48195;4;46432;42446
Metropolitana  Santiago;70;45689;45450;7;43844;40079
Metropolitana  Santiago;71;44650;44382;5;42641;39162
Metropolitana  Santiago;72;42711;42471;3;40928;37442
Metropolitana  Santiago;73;40516;40273;5;38655;35250
Metropolitana  Santiago;74;38470;38264;2;36668;33315
Metropolitana  Santiago;75;35642;35400;1;33860;30699
Metropolitana  Santiago;76;34137;33907;3;32330;29224
Metropolitana  Santiago;77;30971;30771;;29282;26299
Metropolitana  Santiago;78;29028;28812;1;27297;24447
Metropolitana  Santiago;79;26497;26262;1;24803;22076
Metropolitana  Santiago;80;24760;24542;;23031;20377
Metropolitana  Santiago;81;21762;21563;1;20164;17737
Metropolitana  Santiago;82;18951;18778;2;17464;15283
Metropolitana  Santiago;83;17231;17062;;15735;13567
Metropolitana  Santiago;84;15481;15330;1;14025;11968
Metropolitana  Santiago;85;13975;13801;1;12592;10655
Metropolitana  Santiago;86;12673;12495;;11269;9404
Metropolitana  Santiago;87;11161;11016;1;9863;8155
Metropolitana  Santiago;88;10372;10209;;9033;7415
Metropolitana  Santiago;89;9238;9085;;7938;6469
Metropolitana  Santiago;90;8379;8231;;7093;5597
Metropolitana  Santiago;91;6815;6673;2;5736;4494
Metropolitana  Santiago;92;5657;5526;;4748;3669
Metropolitana  Santiago;93;4292;4195;;3480;2664
Metropolitana  Santiago;94;3087;3016;1;2465;1862
Metropolitana  Santiago;95;2290;2234;;1794;1325
Metropolitana  Santiago;96;1737;1684;;1346;1003
Metropolitana  Santiago;97;1161;1131;;862;599
Metropolitana  Santiago;98;905;876;;671;484
Metropolitana  Santiago;99;565;539;;417;282
Metropolitana  Santiago;100;392;380;;278;181
Metropolitana  Santiago;101;228;217;;163;96
Metropolitana  Santiago;102;138;135;;99;72
Metropolitana  Santiago;103;90;82;;59;39
Metropolitana  Santiago;104;51;46;;32;21
Metropolitana  Santiago;105;29;28;;23;15
Metropolitana  Santiago;106;11;11;;7;3
Metropolitana  Santiago;107;10;10;;7;6
Metropolitana  Santiago;108;8;8;;6;5
Metropolitana  Santiago;109;2;2;;2;1
Metropolitana  Santiago;110;3;3;;;
Metropolitana  Santiago;112;1;1;;1;
Metropolitana  Santiago;124;1;;;;
