"fecha";"region";"r.estimado";"r.liminf";"r.lisup"
"2020-03-08";15;2.95206130749779;0;3.99
"2020-03-09";15;2.59644044922493;0;3.99
"2020-03-10";15;2.28220004395141;0;3.99
"2020-03-11";15;2.30315595029651;0;3.99
"2020-03-12";15;2.17760140059053;0;3.99
"2020-03-13";15;1.93207694175017;0;3.99
"2020-03-14";15;1.94098368033905;0;3.99
"2020-03-15";15;1.90465585949807;0;3.99
"2020-03-16";15;2.10669062767606;0;3.99
"2020-03-17";15;1.96939555973813;0;3.99
"2020-03-18";15;1.87650221320199;0;3.99
"2020-03-19";15;1.86494482455693;0;3.99
"2020-03-20";15;1.90841655995798;0;3.99
"2020-03-21";15;1.8983659713403;0;3.99
"2020-03-22";15;1.87947711704386;0;3.99
"2020-03-23";15;1.9597337144488;0;3.99
"2020-03-24";15;2.03681631645609;0.0879939989173062;3.98563863399488
"2020-03-25";15;2.06172052443474;0.285805694371614;3.83763535449787
"2020-03-26";15;2.10026335613047;0.369901790219326;3.83062492204162
"2020-03-27";15;2.05583736210478;0.488888124268626;3.62278659994093
"2020-03-28";15;1.98068777455614;0.56700506152678;3.3943704875855
"2020-03-29";15;1.93762700306685;0.677757083333309;3.19749692280039
"2020-03-30";15;2.051272864213;0.797762522551886;3.30478320587411
"2020-03-31";15;1.99024412527929;0.792968001032265;3.18752024952632
"2020-04-01";15;1.9804706575476;0.827963218297282;3.13297809679792
"2020-04-02";15;1.92596970146074;0.836894390305946;3.01504501261553
"2020-04-03";15;1.84579419043503;0.875585259451;2.81600312141906
"2020-04-04";15;1.79855855006983;0.942850730295545;2.65426636984412
"2020-04-05";15;1.70391164839222;0.952214959652374;2.45560833713208
"2020-04-06";15;1.58490512484099;0.915688433437846;2.25412181624414
"2020-04-07";15;1.5090631867046;0.911390119968082;2.10673625344112
"2020-04-08";15;1.40841750077024;0.863685222621705;1.95314977891877
"2020-04-09";15;1.2846096880919;0.804022464780854;1.76519691140294
"2020-04-10";15;1.18384062702094;0.759579366733037;1.60810188730884
"2020-04-11";15;1.07108926361802;0.696015501539243;1.44616302569679
"2020-04-12";15;0.994105383043369;0.655389155761916;1.33282161032482
"2020-04-13";15;0.94865919349988;0.612243279486294;1.28507510751347
"2020-04-14";15;0.887291226538878;0.553128418560319;1.22145403451744
"2020-04-15";15;0.854217422747885;0.512854351012403;1.19558049448337
"2020-04-16";15;0.86976654243297;0.525931300424144;1.2136017844418
"2020-04-17";15;0.924877814480738;0.566609211562699;1.28314641739878
"2020-04-18";15;0.974021179146836;0.614007785644113;1.33403457264956
"2020-04-19";15;1.02622137403309;0.654101196970236;1.39834155109594
"2020-04-20";15;1.11655313126238;0.713852367165812;1.51925389535894
"2020-04-21";15;1.16037083018016;0.741037600444374;1.57970405991595
"2020-04-22";15;1.17532181609192;0.762336619216662;1.58830701296719
"2020-04-23";15;1.13744968283883;0.731336072235895;1.54356329344176
"2020-04-24";15;1.07266135562755;0.688557767413087;1.45676494384201
"2020-04-25";15;1.02982470459525;0.674681641847609;1.38496776734289
"2020-04-26";15;0.991157864448446;0.6532685076306;1.32904722126629
"2020-04-27";15;0.911600118421623;0.580480833649569;1.24271940319368
"2020-04-28";15;0.898369990570898;0.555457254514654;1.24128272662714
"2020-04-29";15;0.893400087497087;0.542701249233635;1.24409892576054
"2020-04-30";15;0.908075157442443;0.541593243146285;1.2745570717386
"2020-05-01";15;0.906881791395276;0.549802408637085;1.26396117415347
"2020-05-02";15;0.909320983096345;0.54743685867479;1.2712051075179
"2020-05-03";15;0.91165162211324;0.549144376478385;1.27415886774809
"2020-05-04";15;0.914660168917845;0.544243920296529;1.28507641753916
"2020-05-05";15;0.904759773286185;0.522074266246555;1.28744528032582
"2020-05-06";15;0.903119999497977;0.507829515663854;1.2984104833321
"2020-05-07";15;0.908415824442343;0.50293322721239;1.3138984216723
"2020-05-08";15;0.950967670861488;0.538407975336207;1.36352736638677
"2020-05-09";15;1.00867349111935;0.589728741334611;1.42761824090408
"2020-05-10";15;1.06284071133298;0.633921333327837;1.49176008933813
"2020-05-11";15;1.18237271103226;0.722878571877421;1.6418668501871
"2020-05-12";15;1.2400246182406;0.772099138724437;1.70795009775677
"2020-05-13";15;1.29892625544728;0.809557341502733;1.78829516939183
"2020-05-14";15;1.34358560168943;0.840709085762946;1.84646211761592
"2020-05-15";15;1.3611543549911;0.872427674487487;1.84988103549471
"2020-05-16";15;1.38069366056616;0.897107244706538;1.86428007642578
"2020-05-17";15;1.37611683650466;0.917476567975391;1.83475710503393
"2020-05-18";15;1.41329022922876;0.939997255382558;1.88658320307497
"2020-05-19";15;1.45348946828672;0.995591402944593;1.91138753362884
"2020-05-20";15;1.43334497217361;0.979991425171704;1.88669851917551
"2020-05-21";15;1.42406030239163;0.989698629655998;1.85842197512727
"2020-05-22";15;1.39231742049403;0.992021652562667;1.7926131884254
"2020-05-23";15;1.34984839992248;0.973349098003248;1.72634770184172
"2020-05-24";15;1.29789114502398;0.954885410842895;1.64089687920506
"2020-05-25";15;1.24094422492265;0.918718812180671;1.56316963766462
"2020-05-26";15;1.18143166521281;0.87562808760047;1.48723524282515
"2020-05-27";15;1.19153844374572;0.893422435787691;1.48965445170376
"2020-05-28";15;1.19148486457119;0.895247208453411;1.48772252068898
"2020-05-29";15;1.24006451531946;0.945679280068852;1.53444975057006
"2020-05-30";15;1.28982653462062;0.994391292916884;1.58526177632435
"2020-05-31";15;1.29824398336556;1.00267356584714;1.59381440088398
"2020-06-01";15;1.40586512592278;1.08932747424005;1.72240277760551
