"fecha";"r.estimado";"r.liminf";"r.lisup";"r.liminf80";"r.lisup80"
"2020-03-08";2.58716512161298;0.798115963786485;3.99;1.41738819025546;3.7569420529705
"2020-03-09";2.50476064075415;1.00748511666149;3.99;1.52580394088971;3.48371734061859
"2020-03-10";2.47399678663413;1.12103589550252;3.82695767776573;1.58941741270739;3.35857616056087
"2020-03-11";2.41383388257758;1.20091417877524;3.62675358637992;1.6207847227872;3.20688304236796
"2020-03-12";2.39484579390436;1.25027310080452;3.5394184870042;1.64647991602284;3.14321167178588
"2020-03-13";2.50781575900255;1.34775992931117;3.66787158869394;1.74932203034574;3.26630948765936
"2020-03-14";2.58497548521858;1.3971417635415;3.77280920689566;1.80830222506242;3.36164874537474
"2020-03-15";2.55878673805638;1.36914966171155;3.7484238144012;1.78092756527427;3.33664591083848
"2020-03-16";2.72137210684462;1.45701443655829;3.98572977713095;1.89465496612411;3.54808924756513
"2020-03-17";2.58249934019309;1.33160592136828;3.83339275901791;1.76458517184393;3.40041350854226
"2020-03-18";2.38762387108402;1.25260111558765;3.5226466265804;1.64547319516202;3.12977454700603
"2020-03-19";2.20616526099471;1.22680648670041;3.18552403528901;1.56579765190044;2.84653287008899
"2020-03-20";2.04615603786054;1.22062886047614;2.87168321524494;1.50637333670287;2.58593873901821
"2020-03-21";1.85611580028482;1.18294032182243;2.52929127874721;1.4159505600214;2.29628104054825
"2020-03-22";1.68877703269679;1.15691911386973;2.22063495152384;1.34101417497729;2.03653989041628
"2020-03-23";1.55353367069243;1.13530335577378;1.97176398561109;1.28006838560489;1.82699895577997
"2020-03-24";1.44997961513482;1.12188192505267;1.77807730521698;1.23544902294041;1.66451020732924
"2020-03-25";1.37359435101151;1.1110217047112;1.63616699731182;1.20190901468047;1.54527968734256
"2020-03-26";1.30927492772748;1.0902272075417;1.52832264791326;1.16605331455994;1.45249654089502
"2020-03-27";1.23770070714284;1.05979005247613;1.41561136180954;1.12137732586202;1.35402408842365
"2020-03-28";1.18509877133146;1.03677782218246;1.33341972048045;1.08812841817701;1.2820691244859
"2020-03-29";1.14284253915903;1.02031508737448;1.26536999094358;1.06273847980194;1.22294659851612
"2020-03-30";1.11459956312667;1.00509078306183;1.2241083431915;1.04301829957021;1.18618082668312
"2020-03-31";1.09238001839923;0.99259971425237;1.19216032254609;1.0271669811434;1.15759305565506
"2020-04-01";1.10771200599919;1.02062051478442;1.19480349721396;1.05078592908843;1.16463808290994
"2020-04-02";1.1100232498063;1.02332455744518;1.19672194216742;1.05336152781382;1.16668497179878
"2020-04-03";1.11010978483872;1.02533000355669;1.19488956612075;1.05470423675266;1.16551533292478
"2020-04-04";1.11329466306892;1.02746104088434;1.19912828525349;1.05720494201039;1.16938438412745
"2020-04-05";1.10715112225056;1.02175280478873;1.1925494397124;1.05134593241145;1.16295631208967
"2020-04-06";1.11768099371567;1.03544441287621;1.19991757455513;1.06393780679398;1.17142418063736
"2020-04-07";1.11755772214836;1.03845060039513;1.19666484390158;1.06585215027673;1.16926329401999
"2020-04-08";1.08149474514679;1.00437193437681;1.15861755591677;1.03108556214199;1.13190392815159
"2020-04-09";1.06761838972087;0.997992632065068;1.13724414737666;1.02210940846375;1.11312737097798
"2020-04-10";1.06550246419064;1.00243726603582;1.12856766234546;1.02427926743971;1.10672566094157
"2020-04-11";1.04748112413825;0.983697586678246;1.11126466159826;1.00579554178575;1.08916670649075
"2020-04-12";1.04831356700568;0.984995415392866;1.1116317186185;1.00693718117438;1.08968995283698
"2020-04-13";1.06879114603683;1.00859098124019;1.12899131083346;1.02944824281964;1.10813404925401
"2020-04-14";1.093579512339;1.02692048366997;1.16023854100803;1.05002377476771;1.13713524991029
"2020-04-15";1.149396721162;1.07513046943374;1.22366297289025;1.1008688904522;1.19792455187179
"2020-04-16";1.17576139528134;1.09401779700613;1.25750499355654;1.12232609151047;1.22919669905221
"2020-04-17";1.18921555677858;1.0928203563071;1.28561075725006;1.12619994885639;1.25223116470077
"2020-04-18";1.20513871918888;1.10151584655169;1.30876159182607;1.13739185636095;1.27288558201681
"2020-04-19";1.21600243396562;1.10429354710773;1.32771132082351;1.14296728539199;1.28903758253925
"2020-04-20";1.31022397159098;1.18556260237316;1.43488534080879;1.22871856222065;1.3917293809613
"2020-04-21";1.31560061688462;1.16470776404485;1.46649346972438;1.21694006513055;1.41426116863868
"2020-04-22";1.29819629258068;1.13621617731423;1.46017640784713;1.19228618986246;1.40410639529891
"2020-04-23";1.30521230467689;1.14505193611117;1.46537267324262;1.20049069604986;1.40993391330392
"2020-04-24";1.35284548307403;1.1857096447974;1.51998132135067;1.24356304021205;1.46212792593602
"2020-04-25";1.38642387113947;1.20285031417715;1.5699974281018;1.26639283049865;1.5064549117803
"2020-04-26";1.40013255867137;1.20063298779315;1.59963212954958;1.26968775706237;1.53057736028036
"2020-04-27";1.41910260361893;1.20784800133933;1.63035720589852;1.28097145199821;1.55723375523964
"2020-04-28";1.46830177673699;1.24121504505089;1.6953885084231;1.31981839648182;1.61678515699217
"2020-04-29";1.50064831929898;1.25238509934217;1.7489115392558;1.33831797876357;1.6629786598344
"2020-04-30";1.56027175654659;1.28543536470271;1.83510814839047;1.38056610370737;1.73997740938582
"2020-05-01";1.65341184465642;1.33729488128143;1.9695288080314;1.4467141798146;1.86010950949823
"2020-05-02";1.66281563899356;1.30626262215895;2.01936865582816;1.42967821187153;1.89595306611558
"2020-05-03";1.65655570014;1.28316100665296;2.02995039362703;1.41240607506181;1.90070532521818
