"semana_epidemiologica","grupo_edad","tasa_incidencia","tasa_incidencia_categoria"
21,"50 - 59 años",218.785510449593,"(150, 250]"
21,"60 - 69 años",154.434418587119,"(150, 250]"
21,"70 - 79 años",138.090243026794,"(70, 150]"
21,"80 años o más",157.26893353376,"(150, 250]"
22,"00 - 09 años",41.1684229299219,"(35, 70]"
22,"10 - 19 años",58.8833701403895,"(35, 70]"
22,"20 - 29 años",245.672515981487,"(150, 250]"
22,"30 - 39 años",276.105402990185,"> 250"
22,"40 - 49 años",248.690099751004,"(150, 250]"
22,"50 - 59 años",252.415607234226,"> 250"
22,"60 - 69 años",188.358992950119,"(150, 250]"
22,"70 - 79 años",171.384332122578,"(150, 250]"
22,"80 años o más",190.917170475867,"(150, 250]"
23,"00 - 09 años",35.0214678362597,"(35, 70]"
23,"10 - 19 años",57.5766107492444,"(35, 70]"
23,"20 - 29 años",244.476006426226,"(150, 250]"
23,"30 - 39 años",281.416391028587,"> 250"
23,"40 - 49 años",252.356292867727,"> 250"
23,"50 - 59 años",267.310744204083,"> 250"
23,"60 - 69 años",203.658310800099,"(150, 250]"
23,"70 - 79 años",191.039878697198,"(150, 250]"
23,"80 años o más",228.222824476898,"(150, 250]"
24,"00 - 09 años",29.6428821293052,"(7, 35]"
24,"10 - 19 años",52.0327830292346,"(35, 70]"
24,"20 - 29 años",223.779624929826,"(150, 250]"
24,"30 - 39 años",251.760625522233,"> 250"
24,"40 - 49 años",219.780639445183,"(150, 250]"
24,"50 - 59 años",242.541777061573,"(150, 250]"
24,"60 - 69 años",190.853446947398,"(150, 250]"
24,"70 - 79 años",175.295384757324,"(150, 250]"
24,"80 años o más",209.20425577049,"(150, 250]"
25,"00 - 09 años",32.9185621463226,"(7, 35]"
25,"10 - 19 años",50.2112396355171,"(35, 70]"
25,"20 - 29 años",202.759862472545,"(150, 250]"
25,"30 - 39 años",227.877673101099,"(150, 250]"
25,"40 - 49 años",210.271451048684,"(150, 250]"
25,"50 - 59 años",219.629427558366,"(150, 250]"
25,"60 - 69 años",172.394487367531,"(150, 250]"
25,"70 - 79 años",152.531052755086,"(150, 250]"
25,"80 años o más",210.66722259406,"(150, 250]"
26,"00 - 09 años",27.9039408857034,"(7, 35]"
26,"10 - 19 años",44.9842020709364,"(35, 70]"
26,"20 - 29 años",169.451623501776,"(150, 250]"
26,"30 - 39 años",201.124807889027,"(150, 250]"
26,"40 - 49 años",179.567083696134,"(150, 250]"
26,"50 - 59 años",183.805146290921,"(150, 250]"
26,"60 - 69 años",148.392296682598,"(70, 150]"
26,"70 - 79 años",129.566153951066,"(70, 150]"
26,"80 años o más",150.319841121803,"(150, 250]"
27,"00 - 09 años",24.7495823507978,"(7, 35]"
27,"10 - 19 años",39.9155595840704,"(35, 70]"
27,"20 - 29 años",126.668322377186,"(70, 150]"
27,"30 - 39 años",146.860364887969,"(70, 150]"
27,"40 - 49 años",138.436979667904,"(70, 150]"
