"codigo_region","region_residencia","semana_epidemiologica","grupo_edad","tasa_incidencia","tasa_incidencia_categoria"
"01","Región de Tarapacá",21,"20 - 29 años",240.668556579258,"(150, 250]"
"01","Región de Tarapacá",21,"30 - 39 años",278.076509448456,"> 250"
"01","Región de Tarapacá",21,"40 - 49 años",272.052106914492,"> 250"
"01","Región de Tarapacá",21,"50 - 59 años",280.522956557546,"> 250"
"01","Región de Tarapacá",21,"60 - 69 años",267.799757194887,"> 250"
"01","Región de Tarapacá",21,"70 - 79 años",139.697322467986,"(70, 150]"
"01","Región de Tarapacá",21,"80 años o más",162.575191025849,"(150, 250]"
"01","Región de Tarapacá",22,"00 - 09 años",47.2255017709563,"(35, 70]"
"01","Región de Tarapacá",22,"10 - 19 años",102.92414857836,"(70, 150]"
"01","Región de Tarapacá",22,"20 - 29 años",277.580911882825,"> 250"
"01","Región de Tarapacá",22,"30 - 39 años",348.747887540329,"> 250"
"01","Región de Tarapacá",22,"40 - 49 años",347.511815401724,"> 250"
"01","Región de Tarapacá",22,"50 - 59 años",383.467160798847,"> 250"
"01","Región de Tarapacá",22,"60 - 69 años",292.794401199743,"> 250"
"01","Región de Tarapacá",22,"70 - 79 años",217.306946061312,"(150, 250]"
"01","Región de Tarapacá",22,"80 años o más",195.090229231019,"(150, 250]"
"01","Región de Tarapacá",23,"00 - 09 años",43.8522516444594,"(35, 70]"
"01","Región de Tarapacá",23,"10 - 19 años",66.1655240860887,"(35, 70]"
"01","Región de Tarapacá",23,"20 - 29 años",333.687691944248,"> 250"
"01","Región de Tarapacá",23,"30 - 39 años",324.166538638808,"> 250"
"01","Región de Tarapacá",23,"40 - 49 años",293.895706739743,"> 250"
"01","Región de Tarapacá",23,"50 - 59 años",324.274243360099,"> 250"
"01","Región de Tarapacá",23,"60 - 69 años",224.951796043705,"(150, 250]"
"01","Región de Tarapacá",23,"70 - 79 años",194.024058983314,"(150, 250]"
"01","Región de Tarapacá",23,"80 años o más",195.090229231019,"(150, 250]"
"01","Región de Tarapacá",24,"00 - 09 años",33.7325012649688,"(7, 35]"
"01","Región de Tarapacá",24,"10 - 19 años",84.5448363322244,"(70, 150]"
"01","Región de Tarapacá",24,"20 - 29 años",314.493267186393,"> 250"
"01","Región de Tarapacá",24,"30 - 39 años",334.920878783223,"> 250"
