"fecha";"r.estimado";"r.liminf";"r.lisup"
"2020-03-08";2.56695935207905;0.784407622130456;3.99
"2020-03-09";2.50811026529765;1.02468431866646;3.99153621192884
"2020-03-10";2.51591022958323;1.16073653976537;3.87108391940109
"2020-03-11";2.46778201553875;1.20444609429344;3.73111793678406
"2020-03-12";2.45918726272935;1.26762455997744;3.65074996548126
"2020-03-13";2.5464464855478;1.35645063552612;3.73644233556949
"2020-03-14";2.61452397910444;1.38546076202036;3.84358719618852
"2020-03-15";2.59292209699298;1.35656074318884;3.82928345079712
"2020-03-16";2.73690472549458;1.43223561970773;3.99
"2020-03-17";2.59884787333877;1.31721216123601;3.88048358544152
"2020-03-18";2.38756359978141;1.23635503943754;3.53877216012528
"2020-03-19";2.20934735335903;1.22111301301248;3.19758169370557
"2020-03-20";2.05676803538916;1.22166611873738;2.89186995204094
"2020-03-21";1.86851681246029;1.18486433083006;2.55216929409052
"2020-03-22";1.69632460019465;1.15402614875476;2.23862305163455
"2020-03-23";1.56575831907975;1.13920175077377;1.99231488738574
"2020-03-24";1.45270838996718;1.11665213385496;1.7887646460794
"2020-03-25";1.3749862736925;1.10855196725071;1.6414205801343
"2020-03-26";1.30756866955591;1.09187423440119;1.52326310471062
"2020-03-27";1.23379093297624;1.05922953025492;1.40835233569757
"2020-03-28";1.18270580006227;1.04100809922839;1.32440350089615
"2020-03-29";1.14072990999937;1.02204991669622;1.25940990330252
"2020-03-30";1.11090692917079;1.0082741052399;1.21353975310169
"2020-03-31";1.09245272931666;1.00067819107755;1.18422726755578
"2020-04-01";1.10793143712548;1.02145536087878;1.19440751337219
"2020-04-02";1.10801000706746;1.02433657864759;1.19168343548732
"2020-04-03";1.11038841702086;1.02986333704319;1.19091349699854
"2020-04-04";1.11054659195794;1.03177805919106;1.18931512472483
"2020-04-05";1.10505029838075;1.03082799887503;1.17927259788647
"2020-04-06";1.1089927099944;1.03357391420166;1.18441150578714
"2020-04-07";1.1068903190592;1.03223901131047;1.18154162680793
"2020-04-08";1.07682749388717;1.00179227502229;1.15186271275205
"2020-04-09";1.06841275733318;0.996187238222178;1.14063827644418
"2020-04-10";1.06395176276333;0.993702966973993;1.13420055855266
"2020-04-11";1.04569066676471;0.978927701196654;1.11245363233276
"2020-04-12";1.04674724294312;0.982268340472102;1.11122614541414
"2020-04-13";1.07777391638899;1.01207433446105;1.14347349831692
"2020-04-14";1.10452951973032;1.03711354523038;1.17194549423026
"2020-04-15";1.15493110094107;1.08579264710643;1.2240695547757
"2020-04-16";1.17599367957364;1.09279162549633;1.25919573365095
"2020-04-17";1.1895081399186;1.09519052423814;1.28382575559906
"2020-04-18";1.2068183200235;1.10515781374413;1.30847882630286
"2020-04-19";1.21492919907994;1.10609483311948;1.32376356504041
"2020-04-20";1.30136928743612;1.17768720666802;1.42505136820422
"2020-04-21";1.30680259333368;1.16026405189498;1.45334113477237
"2020-04-22";1.2916063284756;1.13653929491519;1.44667336203601
"2020-04-23";1.30099704972742;1.14486247364939;1.45713162580546
"2020-04-24";1.35141224406244;1.18710511501852;1.51571937310637
"2020-04-25";1.38593108895884;1.20416797318361;1.56769420473407
"2020-04-26";1.39829968899313;1.2001247203368;1.59647465764947
"2020-04-27";1.42232937284107;1.21101706429714;1.63364168138499
"2020-04-28";1.47388559346767;1.2451494418593;1.70262174507604
"2020-04-29";1.50702596384148;1.25471451028513;1.75933741739782
"2020-04-30";1.5637403095468;1.28433374004163;1.84314687905196
"2020-05-01";1.6539196263295;1.33359964182116;1.97423961083784
"2020-05-02";1.6631242894404;1.30355196725175;2.02269661162905
"2020-05-03";1.65660325506117;1.2810200450788;2.03218646504355
"2020-05-04";1.6844783299704;1.29841832956312;2.07053833037769
"2020-05-05";1.66013908992365;1.27050819767459;2.04976998217271
"2020-05-06";1.60996667073559;1.23668212850377;1.98325121296741
"2020-05-07";1.54144161655646;1.20079241417879;1.88209081893414
"2020-05-08";1.47363291287257;1.1741369119908;1.77312891375435
"2020-05-09";1.42095006380191;1.16155623566914;1.68034389193468
"2020-05-10";1.39244154352911;1.16488123197331;1.62000185508491
"2020-05-11";1.3621373037101;1.158027363443;1.56624724397721
"2020-05-12";1.32381545101898;1.14089217849624;1.50673872354172
"2020-05-13";1.27440857617329;1.11417615868807;1.43464099365851
"2020-05-14";1.22947285147749;1.09351418952644;1.36543151342855
"2020-05-15";1.2161299625003;1.09997507943702;1.33228484556357
"2020-05-16";1.18911533100966;1.08649138367359;1.29173927834573
"2020-05-17";1.15251661771356;1.06374607239967;1.24128716302745
"2020-05-18";1.1386895326012;1.06340255122607;1.21397651397633
"2020-05-19";1.11650306743537;1.05080259943561;1.18220353543512
"2020-05-20";1.14219779941987;1.08339468014408;1.20100091869565
"2020-05-21";1.12570944424551;1.06674619068407;1.18467269780695
"2020-05-22";1.11285315882452;1.05776239574432;1.16794392190473
"2020-05-23";1.10485084083806;1.0540886370826;1.15561304459351
"2020-05-24";1.08335929898971;1.03677538422985;1.12994321374957
"2020-05-25";1.07719384577695;1.03647214867938;1.11791554287452
"2020-05-26";1.05694636132858;1.02070471428592;1.09318800837124
"2020-05-27";1.02075170299337;0.990138641822892;1.05136476416384
"2020-05-28";1.02991804023362;1.00384661617676;1.05598946429048
"2020-05-29";1.01019340247668;0.986870786393124;1.03351601856023
"2020-05-30";1.00016774248512;0.978194214264045;1.0221412707062
"2020-05-31";0.996165755430331;0.974111998743727;1.01821951211694
"2020-06-01";1.01814866915432;0.995855479324905;1.04044185898374
