"fecha";"prob72.estimado";"prob72.linf";"prob72.lsup"
2020-03-08;0.0642668863872755;0.0465783089248773;0.0848382886898502
2020-03-15;0.0642668863872755;0.0465783089248773;0.0848382886898502
2020-03-22;0.0870692856174951;0.0744505777637923;0.100552626486058
2020-03-29;0.155666904167362;0.140851895322942;0.17028537122955
2020-04-05;0.236907487738058;0.220103533807096;0.253567757392721
2020-04-12;0.303129963626035;0.286219610922713;0.319953698048384
2020-04-19;0.386539370504031;0.37023781974046;0.402523584791476
2020-04-26;0.326913852980783;0.314851722352541;0.339207147215349
2020-05-03;0.2842335766578;0.276658986051525;0.291901844913537
2020-05-10;0.22982254287915;0.22458215448619;0.235162335439373
2020-05-17;0.158628118528716;0.154623298057627;0.16263860340357
2020-05-24;0.167088776507649;0.163185362044864;0.170950195743507
2020-05-31;0.182488190544317;0.178455395826645;0.186458556252128
2020-06-07;0.23254647295059;0.228153739896208;0.237047336601517
2020-06-14;0.29433080873765;0.289236076752074;0.299492945104908
2020-06-21;0.355622447520672;0.35004304627136;0.361215152778721
2020-06-28;0.406086022620063;0.399636170202197;0.412555046448083
2020-07-05;0.424789102093079;0.417650720106848;0.432017087988085
2020-07-12;0.469056573630995;0.461526038174386;0.476761644152575
2020-07-19;0.446262746398768;0.438034259019686;0.454776949643538
2020-07-26;0.478378289118249;0.469958617279941;0.487102020353741
2020-08-02;0.478109650534506;0.469610724132689;0.486763049941291
2020-08-09;0.524499969110974;0.515600521700268;0.533336069056884
2020-08-16;0.509908995962867;0.4418457269778;0.539392827899499
2020-08-23;0.496788991018411;0.408318898685066;0.546663995890852
2020-08-30;0.460551419776395;0.361035217259585;0.529345191698395
2020-09-06;0.411111821048209;0.283078595140703;0.546980920301632
