"fecha";"region";"servicio.salud";"r.estimado";"r.liminf";"r.lisup"
"2020-12-24";9;91012;0.9914102431205;0.821407998721476;1.16141248751952
"2020-12-25";9;91012;0.979426622969048;0.821394836695734;1.13745840924236
"2020-12-26";9;91012;0.98820871330097;0.834012253083522;1.14240517351842
"2020-12-27";9;91012;0.991299176082175;0.837352377407957;1.14524597475639
"2020-12-28";9;91012;0.99331012481793;0.82559760083283;1.16102264880303
"2020-12-29";9;91012;0.997209586926783;0.820362889320998;1.17405628453257
"2020-12-30";9;91012;1.00116917549694;0.816991791063727;1.18534655993015
"2020-12-31";9;91012;1.05496380683684;0.873427325494224;1.23650028817946
"2021-01-01";9;91012;1.10474520385148;0.921790396782466;1.28770001092049
"2021-01-02";9;91012;1.12338601150868;0.939408970429257;1.30736305258809
"2021-01-03";9;91012;1.14423519493639;0.967518867602356;1.32095152227043
"2021-01-04";9;91012;1.18174802275487;0.998442542149786;1.36505350335996
"2021-01-05";9;91012;1.17926876792802;0.987102250014018;1.37143528584202
"2021-01-06";9;91012;1.19237981611038;0.997844431336896;1.38691520088386
"2021-01-07";9;91012;1.15092405859458;0.962887817427438;1.33896029976172
"2021-01-08";9;91012;1.12970687421957;0.949661817270514;1.30975193116863
"2021-01-09";9;91012;1.11982205431487;0.944803316686874;1.29484079194286
"2021-01-10";9;91012;1.09716859190123;0.93031177777591;1.26402540602654
"2021-01-11";9;91012;1.05725065449723;0.897209626191563;1.21729168280289
"2021-01-12";9;91012;1.0345352068934;0.875980645387531;1.19308976839928
"2021-01-13";9;91012;0.983703061919011;0.835512766520511;1.13189335731751
"2021-01-14";9;91012;0.98141874003689;0.832515579916316;1.13032190015746
"2021-01-15";9;91012;0.961412546178261;0.817810120654896;1.10501497170163
"2021-01-16";9;91012;0.954779315378834;0.803652139219082;1.10590649153859
"2021-01-17";9;91012;0.940895035579012;0.795781294069576;1.08600877708845
"2021-01-18";9;91012;0.936178020448233;0.795788531442703;1.07656750945376
"2021-01-19";9;91012;0.953381287619573;0.812424970599905;1.09433760463924
"2021-01-20";9;91012;1.00349498919236;0.856157411766793;1.15083256661792
"2021-01-21";9;91012;1.00617825906301;0.862078443676566;1.15027807444945
"2021-01-22";9;91012;1.02186022590041;0.874387933355901;1.16933251844491
"2021-01-23";9;91012;1.00450093040583;0.85731982608391;1.15168203472775
"2021-01-24";9;91012;0.994626888394285;0.849739759271278;1.13951401751729
"2021-01-25";9;91012;0.954337543473095;0.80833769754915;1.10033738939704
"2021-01-26";9;91012;0.926582815033145;0.788337976439274;1.06482765362702
"2021-01-27";9;91012;0.907372020219815;0.759879095408012;1.05486494503162
"2021-01-28";9;91012;0.959318457283795;0.809909642287439;1.10872727228015
"2021-01-29";9;91012;0.977685032282209;0.826757432166495;1.12861263239792
"2021-01-30";9;91012;1.00067854158121;0.850998534018647;1.15035854914378
"2021-01-31";9;91012;1.03017976397345;0.887187850788604;1.17317167715829
"2021-02-01";9;91012;1.1132222453958;0.962628629382043;1.26381586140955
"2021-02-02";9;91012;1.17337511634617;1.01083132470276;1.33591890798958
"2021-02-03";9;91012;1.18587235492821;1.01625907875154;1.35548563110488
"2021-02-04";9;91012;1.14246285783592;0.967376856142395;1.31754885952945
"2021-02-05";9;91012;1.11273263039352;0.943102355411673;1.28236290537537
"2021-02-06";9;91012;1.09746675062004;0.936594841265965;1.25833865997411
"2021-02-07";9;91012;1.08083681613206;0.931743719941125;1.229929912323
"2021-02-08";9;91012;1.02338929277139;0.8795886036051;1.16718998193769
"2021-02-09";9;91012;0.984517162988276;0.841700277851855;1.1273340481247
"2021-02-10";9;91012;0.980887864867825;0.839506183829517;1.12226954590613
"2021-02-11";9;91012;0.998505608639875;0.857796367114982;1.13921485016477
"2021-02-12";9;91012;1.03170161150684;0.890569410386246;1.17283381262743
"2021-02-13";9;91012;1.05472901973961;0.913689856202529;1.19576818327669
"2021-02-14";9;91012;1.0718669125328;0.927684320481758;1.21604950458384
"2021-02-15";9;91012;1.08687899377268;0.945232091584665;1.2285258959607
"2021-02-16";9;91012;1.10064901390309;0.95754028821451;1.24375773959166
"2021-02-17";9;91012;1.09133095293186;0.947938559558273;1.23472334630545
"2021-02-18";9;91012;1.09032152627176;0.948238095799427;1.2324049567441
"2021-02-19";9;91012;1.08301268421177;0.939390329844418;1.22663503857912
"2021-02-20";9;91012;1.07963037593032;0.941528954601907;1.21773179725874
"2021-02-21";9;91012;1.07358837151552;0.933283591341686;1.21389315168936
"2021-02-22";9;91012;1.08672617107067;0.946809704316434;1.2266426378249
