"fecha";"region";"servicio.salud";"carga.estimada";"carga.liminf";"carga.lisup"
"2022-01-12";16;161011;25.8850046231949;20.3205545488133;31.8687677279489
"2022-01-13";16;161011;26.3541660557794;20.9070063395439;33.2420423379096
"2022-01-14";16;161011;28.8211732554525;23.4482974327095;35.5829624025757
"2022-01-15";16;161011;30.3420382327471;23.8490394897088;35.6122849921122
"2022-01-16";16;161011;30.5013576358955;25.2076528049012;36.1694141933062
"2022-01-17";16;161011;53.42380329625;43.9789972065346;60.8345990917817
"2022-01-18";16;161011;57.9473014420849;49.6480311835966;67.4517301305246
"2022-01-19";16;161011;62.4971899185027;55.3121780624024;71.9527476243815
"2022-01-20";16;161011;70.3390277802213;60.5853570807212;81.1502665423389
"2022-01-21";16;161011;78.0997398108888;68.2190045567304;88.9598495555673
"2022-01-22";16;161011;78.0127494619305;67.8280366962434;89.5511884445539
"2022-01-23";16;161011;100.678133754015;87.9628815113254;116.322712691403
"2022-01-24";16;161011;153.248649694752;139.946945661332;168.340986529202
"2022-01-25";16;161011;155.019734102758;141.916446258535;168.340986529202
"2022-01-26";16;161011;164.005152956401;147.785851264097;181.027893602006
"2022-01-27";16;161011;173.391313867044;157.540499383248;188.475831344284
"2022-01-28";16;161011;178.454347660351;161.850920045118;195.503478636539
"2022-01-29";16;161011;175.640356484495;160.687790660169;189.829557561221
"2022-01-30";16;161011;163.772527079411;150.908707049737;178.882457467584
"2022-01-31";16;161011;247.369275008748;224.571939063749;266.860000273678
"2022-02-01";16;161011;260.956385580323;238.485507798831;280.543875390724
"2022-02-02";16;161011;246.604932841496;230.421795676286;260.971046875092
"2022-02-03";16;161011;248.71127218987;229.688730937873;265.716419281753
"2022-02-04";16;161011;236.471045897672;217.16309810752;251.827286037951
"2022-02-05";16;161011;202.658190483451;186.477008157544;221.29758323217
"2022-02-06";16;161011;190.026996330767;172.206681249768;206.865982081943
"2022-02-07";16;161011;282.040304876738;264.098789758988;303.000091877447
"2022-02-08";16;161011;295.107428193865;276.785696831792;315.315579482789
"2022-02-09";16;161011;259.384694781166;240.430572904754;277.401471212059
"2022-02-10";16;161011;259.850923954796;241.412879654228;277.020277548084
"2022-02-11";16;161011;230.516605382455;213.453790531149;247.101462024314
"2022-02-12";16;161011;245.434961518988;230.260521433836;262.349208583308
"2022-02-13";16;161011;214.117458474326;197.433882447693;231.848828367064
"2022-02-14";16;161011;294.414437661152;271.908372772216;318.247838436441
"2022-02-15";16;161011;258.378929960063;240.029830847755;278.369116666764
"2022-02-16";16;161011;279.710136428235;259.001546277888;297.741574153897
"2022-02-17";16;161011;269.15791387369;250.76678571638;287.982038936489
"2022-02-18";16;161011;236.386987807667;214.431210182367;256.685061704503
"2022-02-19";16;161011;186.864066339427;173.76566559346;201.617238554905
"2022-02-20";16;161011;190.982912749657;173.369810634717;206.846433688919
"2022-02-21";16;161011;279.925168751503;257.242190905697;300.869317037793
"2022-02-22";16;161011;238.222581912654;220.672034655391;257.667368453976
"2022-02-23";16;161011;201.144167443715;184.527055953365;218.365324278518
"2022-02-24";16;161011;207.535514543027;191.35433221712;222.929874049704
"2022-02-25";16;161011;205.190684799756;188.441621656492;223.281745124142
"2022-02-26";16;161011;156.782021733903;142.116817287035;173.413794519022
"2022-02-27";16;161011;144.798856809976;131.550910857373;158.166047960027
"2022-02-28";16;161011;212.317051476783;197.433882447693;230.695473178627
"2022-03-01";16;161011;185.643269195056;168.292115546641;204.500626525996
"2022-03-02";16;161011;188.048698956702;173.384471929485;204.681449161472
"2022-03-03";16;161011;170.788445335851;155.409724543594;186.134911279618
"2022-03-04";16;161011;144.091204982494;128.428055071733;158.146499567003
"2022-03-05";16;161011;121.271388385518;109.441678346832;134.693315036037
"2022-03-06";16;161011;97.7595586754791;87.3715426223387;110.863823939353
"2022-03-07";16;161011;158.335141559688;143.856624266202;173.218310588778
"2022-03-08";16;161011;142.16080117134;129.205103694451;156.196547362824
"2022-03-09";16;161011;138.737877552776;122.37294033244;153.50375622372
"2022-03-10";16;161011;121.218607724352;108.684178117138;134.893686064537
"2022-03-11";16;161011;109.233487961122;97.341223064758;122.57331136094
"2022-03-12";16;161011;91.3740760940747;80.1288630068165;103.831289548843
"2022-03-13";16;161011;96.6843970591398;84.0532029064551;108.508242579919
"2022-03-14";16;161011;126.472238349646;113.942695840688;141.339768664317
"2022-03-15";16;161011;112.463859908396;99.6968044241923;123.956360167412
"2022-03-16";16;161011;95.8027645337415;84.4343965704299;107.90712949442
"2022-03-17";16;161011;77.0597653019934;66.4645362827949;87.9824299043497
"2022-03-18";16;161011;77.2122427675833;68.4144884869739;87.1858328886074
"2022-03-19";16;161011;52.2440577772304;43.9643359117664;61.1962443627322
"2022-03-20";16;161011;49.1671407151975;41.8140126790877;56.9004849956309
"2022-03-21";16;161011;69.9470825000831;61.3672928016952;79.9529274695974
"2022-03-22";16;161011;56.6307171718949;48.0841597416484;64.5096969803597
"2022-03-23";16;161011;48.6588824965644;40.8512543226384;56.1136621764008
"2022-03-24";16;161011;44.479436067958;37.3129951852308;52.008499641287
"2022-03-25";16;161011;41.676196508266;34.7863653868334;47.5074821474301
"2022-03-26";16;161011;39.5190313380289;31.8589935314367;46.1439817339816
"2022-03-27";16;161011;33.8343586465475;26.9670081770928;40.4651735604075
"2022-03-28";16;161011;45.6279041581387;38.8964150202033;53.3671129564794
"2022-03-29";16;161011;34.2116426319174;28.535766717297;40.0839798964326
"2022-03-30";16;161011;34.9114751021892;28.7312506475405;41.6380771418686
"2022-03-31";16;161011;27.376547010953;21.6889420605179;33.4424133664092
"2022-04-01";16;161011;28.2229924289074;21.8942001872736;34.0142038623715
"2022-04-02";16;161011;20.1025899665918;15.242859460738;24.4452654769515
"2022-04-03";16;161011;17.7411440892501;13.683875117046;22.0994583140293
"2022-04-04";16;161011;26.14597567007;20.3205545488133;31.4777998674619
"2022-04-05";16;161011;23.3368715924707;17.7841505539037;28.5455409138092
"2022-04-06";16;161011;20.1876254762477;15.6338273212251;25.2223140996694
"2022-04-07";16;161011;16.9357502966469;12.7064554658284;21.5081194250427
"2022-04-08";16;161011;16.2105049154434;11.9098584500861;20.916780536056
"2022-04-09";16;161011;13.6144783218096;10.1651643726627;17.6033279184285
"2022-04-10";16;161011;13.1101297817813;9.76930941391963;16.8116180009422
"2022-04-11";16;161011;17.9503118946107;12.9019393960719;22.4806519780042
"2022-04-12";16;161011;15.1539142724772;11.7241487163548;19.5532801226075
"2022-04-13";16;161011;13.4522266597074;9.5787125819322;17.2025858614293
"2022-04-14";16;161011;13.4121524540075;9.38322865168869;17.0119890294418
"2022-04-15";16;161011;11.0849162644585;8.00506694347191;14.4658108380201
"2022-04-16";16;161011;10.6225967694326;7.61898618124097;14.2703269077765
"2022-04-17";16;161011;11.7407648504255;8.20543797197151;14.8567786985071
"2022-04-18";16;161011;17.1234148696806;13.0974233263155;22.6810230065038
"2022-04-19";16;161011;14.0015365036917;9.3783415534326;18.3852636394025
"2022-04-20";16;161011;13.0221620131717;9.76442231566354;16.4304243369674
"2022-04-21";16;161011;12.4200715080217;8.79677686095815;16.2349404067239
"2022-04-22";16;161011;11.3537066685433;8.20543797197151;14.6661818665197
"2022-04-23";16;161011;11.0350678622464;7.62387327949706;15.0522626287506
"2022-04-24";16;161011;10.2746353735991;7.03253439051043;13.292907256559
"2022-04-25";16;161011;13.1130620407349;9.38322865168869;17.0119890294418
"2022-04-26";16;161011;11.4534034729675;8.009954041728;14.8616657967632
"2022-04-27";16;161011;12.1424843270759;8.79677686095815;15.8341983497247
"2022-04-28";16;161011;9.84945782531947;6.83705046026691;13.4932782850586
"2022-04-29";16;161011;8.9502317461993;5.4735500468184;12.5109715355849
"2022-04-30";16;161011;10.6441000017594;7.42350225099746;13.8793590472895
"2022-05-01";16;161011;12.1600778807978;8.78211556618988;16.0296822799682
"2022-05-02";16;161011;17.7929473307647;13.0974233263155;22.4953132727724
"2022-05-03";16;161011;16.9601857879273;12.8970522978159;22.0896841175171
"2022-05-04";16;161011;16.8165050991983;13.0876491298033;21.6987162570301
"2022-05-05";16;161011;16.1528371560216;12.1151165768418;20.9216676343121
"2022-05-06";16;161011;17.8036989469281;13.4835040885464;23.4580716292217
"2022-05-07";16;161011;17.9082828496083;13.292907256559;22.6810230065038
"2022-05-08";16;161011;17.6668601957576;13.2880201583029;21.6987162570301
"2022-05-09";16;161011;30.0400155605208;22.6712488099916;36.3697852218058
"2022-05-10";16;161011;29.3528895457149;23.6340071664409;34.4051717228585
"2022-05-11";16;161011;29.0713926861642;23.0622166704786;35.9739302630627
"2022-05-12";16;161011;27.3628631358359;20.5209255773129;33.4375262681531
"2022-05-13";16;161011;24.7766107387142;17.5935537219163;33.6232360018845
"2020-04-01";14;141011;1.53510663200562;0.246405558909409;2.96918698485838
"2020-04-02";14;141011;1.36139071297448;0.246405558909409;2.71662128697624
"2020-04-03";14;141011;1.18028262717607;0.246405558909409;2.47021572806683
