"fecha";"region";"provincia";"r.estimado";"r.liminf";"r.lisup"
"2020-03-08";16;163;2.69736770831466;0;3.99
"2020-03-09";16;163;2.40518968955025;0;3.99
"2020-03-10";16;163;2.21488203166524;0;3.99
"2020-03-11";16;163;2.03689327132873;0;3.99
"2020-03-12";16;163;1.92163729778385;0;3.99
"2020-03-13";16;163;1.90894025539143;0;3.99
"2020-03-14";16;163;1.83681171869058;0;3.99
"2020-03-15";16;163;1.76888958970806;0;3.93457558372836
"2020-03-16";16;163;1.81309879417815;0;3.91196809779869
"2020-03-17";16;163;1.80177184223265;0;3.73955366329185
"2020-03-18";16;163;1.77436707621601;0.0844839794369909;3.46425017299502
"2020-03-19";16;163;1.77073023112881;0.0278951140597679;3.51356534819786
"2020-03-20";16;163;1.70784194986624;0.178864450873256;3.23681944885922
"2020-03-21";16;163;1.69299834846924;0.236444311703632;3.14955238523485
"2020-03-22";16;163;1.64881697439194;0.306235184268908;2.99139876451498
"2020-03-23";16;163;1.66274305060943;0.343156455785541;2.98232964543332
"2020-03-24";16;163;1.65614670367493;0.407244274323433;2.90504913302643
"2020-03-25";16;163;1.5894994731327;0.412227885885321;2.76677106038009
"2020-03-26";16;163;1.51437633095406;0.419126279819763;2.60962638208836
"2020-03-27";16;163;1.43380129347637;0.434608697435223;2.43299388951752
"2020-03-28";16;163;1.36301697543555;0.446989160515947;2.27904479035515
"2020-03-29";16;163;1.28737546473497;0.450198335344032;2.12455259412591
"2020-03-30";16;163;1.21912537195965;0.442630248654749;1.99562049526455
"2020-03-31";16;163;1.18799068436376;0.435945745401107;1.94003562332641
"2020-04-01";16;163;1.18437808589302;0.419423970829216;1.94933220095682
"2020-04-02";16;163;1.19137261771217;0.441305112095621;1.94144012332871
"2020-04-03";16;163;1.18696997021757;0.420597524631061;1.95334241580407
"2020-04-04";16;163;1.16123328893754;0.43607757085215;1.88638900702293
"2020-04-05";16;163;1.14461019637736;0.439380700882749;1.84983969187197
"2020-04-06";16;163;1.12781734061195;0.439690051425463;1.81594462979844
"2020-04-07";16;163;1.06668837743041;0.394868417421863;1.73850833743896
"2020-04-08";16;163;1.03572751559817;0.372369458622033;1.69908557257431
"2020-04-09";16;163;0.993624411651688;0.350513240733907;1.63673558256947
"2020-04-10";16;163;0.97835576521775;0.336209551981457;1.62050197845404
"2020-04-11";16;163;0.96358204566194;0.319126562368028;1.60803752895585
"2020-04-12";16;163;0.965924202090603;0.328339174818315;1.60350922936289
"2020-04-13";16;163;0.972599133163089;0.308626614723795;1.63657165160238
"2020-04-14";16;163;1.00477190969863;0.321495914497318;1.68804790489995
"2020-04-15";16;163;1.01160140950435;0.348745914553585;1.67445690445511
"2020-04-16";16;163;1.02508841237842;0.3357975145554;1.71437931020144
"2020-04-17";16;163;1.00536999070178;0.324732594882234;1.68600738652132
"2020-04-18";16;163;1.02015527536861;0.331520509025574;1.70879004171164
"2020-04-19";16;163;1.02559390632094;0.35413622222035;1.69705159042154
"2020-04-20";16;163;1.01592710721423;0.344903636449624;1.68695057797883
"2020-04-21";16;163;1.00343967888461;0.342982192032949;1.66389716573628
"2020-04-22";16;163;0.983341238022556;0.331218136954288;1.63546433909082
"2020-04-23";16;163;0.968216251387673;0.300689575838948;1.6357429269364
"2020-04-24";16;163;0.970873899290438;0.294380022643326;1.64736777593755
"2020-04-25";16;163;0.964909677768385;0.284911411854852;1.64490794368192
"2020-04-26";16;163;0.957436234902166;0.289319267474811;1.62555320232952
"2020-04-27";16;163;0.958918825880628;0.280734181090727;1.63710347067053
"2020-04-28";16;163;0.951226830594763;0.25002832576772;1.65242533542181
"2020-04-29";16;163;0.955384987516088;0.252405731296188;1.65836424373599
"2020-04-30";16;163;0.947669246406747;0.253006853056791;1.6423316397567
"2020-05-01";16;163;0.958783697901102;0.250293495346814;1.66727390045539
"2020-05-02";16;163;0.969693132150332;0.252138153794415;1.68724811050625
"2020-05-03";16;163;0.977897525889803;0.237791531653308;1.7180035201263
"2020-05-04";16;163;1.00101852515086;0.19913123448559;1.80290581581613
"2020-05-05";16;163;1.03728618817153;0.187179343230599;1.88739303311247
"2020-05-06";16;163;1.08032951766852;0.206178102944156;1.95448093239289
"2020-05-07";16;163;1.1306020135485;0.261248868484851;1.99995515861214
"2020-05-08";16;163;1.15327102920961;0.296163188207597;2.01037887021161
"2020-05-09";16;163;1.1817883779316;0.333625830830665;2.02995092503254
"2020-05-10";16;163;1.20502454704547;0.360915671084826;2.04913342300611
"2020-05-11";16;163;1.25399831483693;0.371775140148458;2.13622148952541
"2020-05-12";16;163;1.29796525679446;0.414751277192833;2.18117923639609
"2020-05-13";16;163;1.30964887575703;0.448266264771561;2.17103148674249
"2020-05-14";16;163;1.35050010451008;0.460083120874302;2.24091708814586
"2020-05-15";16;163;1.38397833750611;0.517641553946935;2.25031512106528
"2020-05-16";16;163;1.4109028608639;0.55676721724043;2.26503850448737
"2020-05-17";16;163;1.4211881726808;0.597946756933345;2.24442958842825
"2020-05-18";16;163;1.44184755386063;0.618410302448769;2.2652848052725
"2020-05-19";16;163;1.42229286458853;0.603083814597351;2.24150191457971
"2020-05-20";16;163;1.42747258874304;0.648360517674288;2.20658465981179
"2020-05-21";16;163;1.391814112608;0.67768345245674;2.10594477275926
"2020-05-22";16;163;1.32373719258395;0.648175117768643;1.99929926739925
"2020-05-23";16;163;1.28022341960504;0.636135179855351;1.92431165935473
"2020-05-24";16;163;1.27251125350577;0.657522422824695;1.88750008418685
"2020-05-25";16;163;1.32240266255281;0.68610879443212;1.95869653067349
