"fecha";"region";"provincia";"carga.estimada";"carga.liminf";"carga.lisup"
"2020-04-01";16;163;2.30490178729428;0;6.19359405414971
"2020-04-02";16;163;2.94195717572111;0;7.07839320474252
"2020-04-03";16;163;2.46416563440099;0;5.30879490355689
"2020-04-04";16;163;2.03503804636348;0;5.30879490355689
"2020-04-05";16;163;1.88019819500973;0;5.30879490355689
"2020-04-06";16;163;2.57034153247213;0;6.19359405414971
"2020-04-07";16;163;2.27393381702354;0;5.30879490355689
"2020-04-08";16;163;2.14121394443461;0;5.30879490355689
"2020-04-09";16;163;1.94655813130419;0;5.30879490355689
"2020-04-10";16;163;1.95540612281012;0;4.42399575296408
"2020-04-11";16;163;1.46876658998407;0;3.56131658113609
"2020-04-12";16;163;1.72978233940895;0;4.42399575296408
"2020-04-13";16;163;2.62785347726066;0;7.07839320474252
"2020-04-14";16;163;1.93771013979827;0;5.30879490355689
"2020-04-15";16;163;2.07043001238719;0;5.30879490355689
"2020-04-16";16;163;2.11466996991683;0;5.30879490355689
"2020-04-17";16;163;1.92001415678641;0;5.33091488232172
"2020-04-18";16;163;1.7607503096797;0;5.30879490355689
"2020-04-19";16;163;1.58379047956114;0;4.4461157317289
"2020-04-20";16;163;2.02176605910458;0;5.30879490355689
"2020-04-21";16;163;2.03503804636348;0;5.30879490355689
"2020-04-22";16;163;1.69881436913821;0;4.42399575296408
"2020-04-23";16;163;1.39355866218368;0;3.53919660237126
"2020-04-24";16;163;1.24314280658291;0;3.53919660237126
"2020-04-25";16;163;1.26083878959476;0;3.53919660237126
"2020-04-26";16;163;1.16351088302955;0;3.53919660237126
"2020-04-27";16;163;1.5395505220315;0;4.42399575296408
"2020-04-28";16;163;1.45549460272518;0;4.42399575296408
"2020-04-29";16;163;1.50415855600779;0;4.42399575296408
"2020-04-30";16;163;1.38028667492479;0;3.53919660237126
"2020-05-01";16;163;1.13696690851177;0;3.53919660237126
"2020-05-02";16;163;1.15023889577066;0;4.42399575296408
"2020-05-03";16;163;1.09715094673509;0;3.53919660237126
"2020-05-04";16;163;1.76517430543267;0;3.56131658113609
"2020-05-05";16;163;1.72978233940895;0;4.42399575296408
"2020-05-06";16;163;1.81383825871527;0;5.30879490355689
"2020-05-07";16;163;1.90231817377455;0;5.30879490355689
"2020-05-08";16;163;1.77402229693859;0;4.42399575296408
"2020-05-09";16;163;1.71651035215006;0;5.30879490355689
"2020-05-10";16;163;1.98637409308087;0;5.30879490355689
"2020-05-11";16;163;2.7959653158733;0;7.10051318350735
"2020-05-12";16;163;2.60130950274288;0;6.19359405414971
"2020-05-13";16;163;2.61900548575473;0;6.19359405414971
"2020-05-14";16;163;3.00831711201557;0;6.21571403291453
"2020-05-15";16;163;3.31357281897009;0.862679171827995;7.07839320474252
"2020-05-16";16;163;3.28260484869935;0;7.96319235533534
"2020-05-17";16;163;3.20297292514599;0;7.10051318350735
"2020-05-18";16;163;4.35321182091665;0.884799150592815;8.84799150592815
"2020-05-19";16;163;4.26473190585737;0.884799150592815;9.73279065652097
"2020-05-20";16;163;4.34436382941072;0.862679171827995;7.98531233410016
"2020-05-21";16;163;3.9904441691736;0.884799150592815;7.96319235533534
"2020-05-22";16;163;3.67191647496018;0.862679171827995;8.84799150592815
"2020-05-23";16;163;3.66749247920722;0.884799150592815;7.96319235533534
"2020-05-24";16;163;4.32666784639887;0.884799150592815;9.73279065652097
"2020-05-25";16;163;6.77756149354097;1.76959830118563;12.3871881082994
"2020-05-26";16;163;6.52981773137498;1.76959830118563;12.3871881082994
"2020-05-27";16;163;5.86621836843037;0.884799150592815;10.6175898071138
"2020-05-28";16;163;5.78216244912405;2.63227747301363;10.6397097858786
"2020-05-29";16;163;5.95469828348965;1.76959830118563;10.6397097858786
"2020-05-30";16;163;6.28207396920899;2.65439745177845;11.5466289152363
"2020-05-31";16;163;5.82640240665369;0.884799150592815;10.6175898071138
"2020-06-01";16;163;9.85666253760396;5.26455494602725;17.6959830118563
"2020-06-02";16;163;8.97186338701115;4.42399575296408;15.0415855600779
"2020-06-03";16;163;9.31251105998938;3.53919660237126;15.9485046894355
"2020-06-04";16;163;10.8697575650327;5.28667492479207;16.8333038400283
"2020-06-05";16;163;9.61334277119094;3.53919660237126;16.8333038400283
"2020-06-06";16;163;9.17094319589453;4.40187577419926;16.8111838612635
"2020-06-07";16;163;8.11803220668908;2.63227747301363;15.0415855600779
"2020-06-08";16;163;9.13997522562378;3.53919660237126;15.9263847106707
"2020-06-09";16;163;8.19766413024244;2.65439745177845;15.0415855600779
"2020-06-10";16;163;7.68005662714564;3.53919660237126;13.2941072376571
"2020-06-11";16;163;7.635816669616;2.65439745177845;13.2941072376571
"2020-06-12";16;163;6.45018580782162;1.76959830118563;11.5466289152363
"2020-06-13";16;163;5.8617943726774;1.76959830118563;10.6175898071138
"2020-06-14";16;163;5.5167227039462;0.884799150592815;11.5023889577066
"2020-06-15";16;163;6.72889754025836;2.65439745177845;12.3871881082994
"2020-06-16";16;163;6.71562555299947;1.76959830118563;13.2941072376571
"2020-06-17";16;163;6.64041762519908;2.65439745177845;11.5245089364714
"2020-06-18";16;163;6.02990621129004;1.74747832242081;11.5023889577066
"2020-06-19";16;163;5.8131304193948;1.76959830118563;10.6175898071138
"2020-06-20";16;163;5.59193063174659;1.76959830118563;10.6175898071138
"2020-06-21";16;163;4.88851530702531;0.884799150592815;9.73279065652097
"2020-06-22";16;163;7.76411254645196;1.76959830118563;14.1789063882499
"2020-06-23";16;163;6.59175367191648;1.74747832242081;13.2719872588922
