"fecha";"region";"provincia";"prob72.estimado";"prob72.linf";"prob72.lsup"
2020-03-08;"15";"151";0.107365313719779;0.0321540757427912;0.21922138437674
2020-03-15;"15";"151";0.107365313719779;0.0321540757427912;0.21922138437674
2020-03-22;"15";"151";0.154596473994363;0.00464773218202674;0.41119847314636
2020-03-29;"15";"151";0.047703482184088;0.000902594092817156;0.163753679651702
2020-04-05;"15";"151";0.259107574576871;0.170279324930589;0.360043235416292
2020-04-12;"15";"151";0.431147427859997;0.322620566787785;0.540912575951291
2020-04-19;"15";"151";0.334661548761707;0.227782550994072;0.451366341414126
2020-04-26;"15";"151";0.460394303134408;0.355290086552769;0.568038051695832
2020-05-03;"15";"151";0.442539593469706;0.323671262004335;0.563785700503188
2020-05-10;"15";"151";0.457995786090699;0.335430780471928;0.583337577041158
2020-05-17;"15";"151";0.390939006480557;0.298659104026852;0.486942469912407
2020-05-24;"15";"151";0.471006003378247;0.394802018426997;0.548026648705436
2020-05-31;"15";"151";0.431984311838944;0.365355877024263;0.499939946014755
2020-06-07;"15";"151";0.51460488995267;0.455123223179691;0.573273481764761
2020-06-14;"15";"151";0.557454971833811;0.498176612216965;0.616193200865031
2020-06-21;"15";"151";0.561999874888286;0.506320276459882;0.618389788746181
2020-06-28;"15";"151";0.548452068638424;0.496125738869353;0.600379844514784
2020-07-05;"15";"151";0.566330229200838;0.519420499276528;0.612499684676285
2020-07-12;"15";"151";0.519288319893121;0.480742364541336;0.557877031801677
2020-07-19;"15";"151";0.441741538914749;0.40709157418259;0.47743275618352
2020-07-26;"15";"151";0.445988743510706;0.410395664907906;0.481771948781659
2020-08-02;"15";"151";0.390469422235828;0.350944666685021;0.429736963404949
2020-08-09;"15";"151";0.451545736207653;0.411418838257617;0.491702801784779
2020-08-16;"15";"151";0.574723528979113;0.512218974515704;0.623558993838697
2020-08-23;"15";"151";0.606080971907938;0.503087039295126;0.673921961484266
2020-08-30;"15";"151";0.579642737614136;0.426157509723477;0.683738185655479
2020-09-06;"15";"151";0.493951145148202;0.31368914988602;0.660973381276961
2020-03-08;"15";"152";0.138835672171183;0.0402535161632447;0.283040241572077
2020-03-15;"15";"152";0.138835672171183;0.0402535161632447;0.283040241572077
2020-03-22;"15";"152";0.165230916991821;0.00293574870119799;0.520025710733039
2020-03-29;"15";"152";0.170173873934268;0.00264305447578811;0.540689830377785
2020-04-05;"15";"152";0.192026189341382;0.00119854061171318;0.616592390662327
2020-04-12;"15";"152";0.198736571901146;0.000919195899650586;0.659772014707168
2020-04-19;"15";"152";0.246830945188948;0.00156473038553223;0.698048118672677
2020-04-26;"15";"152";0.231641065971728;0.00193868386907505;0.714262698091132
2020-05-03;"15";"152";0.246465989245469;0.00166766316175208;0.694674926938403
2020-05-10;"15";"152";0.286799751845447;0.00168751252265188;0.791179330988891
2020-05-17;"15";"152";0.287128147977956;0.00314796163878683;0.742978665204807
2020-05-24;"15";"152";0.338309615356829;0.00507694816583993;0.775213707717421
2020-05-31;"15";"152";0.328327262352122;0.0112335803689344;0.722607538456656
2020-06-07;"15";"152";0.489379737694457;0.102929996201269;0.847465739488306
2020-06-14;"15";"152";0.410273450461128;0.178497458739628;0.659271696918702
2020-06-21;"15";"152";0.51815469343237;0.152875083211927;0.825362361397487
2020-06-28;"15";"152";0.490237922402858;0.161867297164963;0.784287078904833
2020-07-05;"15";"152";0.591282974425756;0.324793898802698;0.824832646842711
2020-07-12;"15";"152";0.673161827954823;0.441018047734229;0.866198648866787
2020-07-19;"15";"152";0.40782595381591;0.207282595210451;0.625240912018564
2020-07-26;"15";"152";0.548562165099609;0.258784285357573;0.812184478818969
2020-08-02;"15";"152";0.224179804500936;0.0931254412825361;0.3857367256843
2020-08-09;"15";"152";0.581351945713695;0.439856862292689;0.717658488827274
2020-08-16;"15";"152";0.521309885043254;0.279294508425243;0.756197513340266
2020-08-23;"15";"152";0.604476066978087;0.32697525277127;0.848063250705634
2020-08-30;"15";"152";0.532128065112351;0.213119545955877;0.829506930417705
2020-09-06;"15";"152";0.47443033282038;0.151954830015615;0.801306434653663
2020-03-08;"01";"011";0.108806823440352;0.0324661011636742;0.224228944774471
2020-03-15;"01";"011";0.108806823440352;0.0324661011636742;0.224228944774471
2020-03-22;"01";"011";0.0728992000224745;0.00157863543561961;0.228324307157016
2020-03-29;"01";"011";0.0552310623115242;0.000813872089531307;0.190470890772817
2020-04-05;"01";"011";0.0599345476151237;0.00125988511781988;0.179281331250507
2020-04-12;"01";"011";0.128357457560101;0.0332841027858766;0.256558001385721
2020-04-19;"01";"011";0.133797352604831;0.0581180868023994;0.230435529789644
2020-04-26;"01";"011";0.26335711481322;0.18092888013086;0.353412376936011
2020-05-03;"01";"011";0.306183399408015;0.232955742898719;0.375368647891308
2020-05-10;"01";"011";0.242567938254995;0.201234600337145;0.286617427792293
2020-05-17;"01";"011";0.269023151262451;0.235886003315406;0.302734842821831
2020-05-24;"01";"011";0.264225880625015;0.23404285718008;0.295350785613499
2020-05-31;"01";"011";0.33995732954165;0.307234489542173;0.373949737254283
2020-06-07;"01";"011";0.340175802280201;0.30601261780311;0.376284064892849
2020-06-14;"01";"011";0.45595152827903;0.417659960654752;0.494160234298974
2020-06-21;"01";"011";0.473626087662141;0.432618358051068;0.514786690743341
2020-06-28;"01";"011";0.446717766664416;0.403960982153938;0.490146987326869
2020-07-05;"01";"011";0.474338597500902;0.428505078631518;0.519678885343902
2020-07-12;"01";"011";0.458906954404334;0.408747038726563;0.50920538401435
