"fecha";"region";"r.estimado";"r.liminf";"r.lisup";"r.liminf80";"r.lisup80"
"2020-03-08";15;3.09871384442053;0;3.99;-0.820803945968313;7.01823163480938
"2020-03-09";15;2.4187545933251;0;3.99;-0.438079030793658;5.27558821744385
"2020-03-10";15;2.56967010799252;0;3.99;-2.00997214775774;7.14931236374278
"2020-03-11";15;2.13065192626143;0;3.99;-0.700762843177414;4.96206669570028
"2020-03-12";15;1.80381170952033;0;3.99;-0.219066566170839;3.82668998521151
"2020-03-13";15;1.6138630563362;0;3.99;0.0296459801462505;3.19808013252615
"2020-03-14";15;1.47705024599453;0;3.48032985533818;0.167585593624739;2.78651489836431
"2020-03-15";15;1.48261812506178;0;3.42450226867165;0.213307739180814;2.75192851094275
"2020-03-16";15;1.60506666061473;0;3.71773593996588;0.224211960250602;2.98592136097885
"2020-03-17";15;1.52292726316048;0;3.5297247994375;0.21124004081029;2.83461448551067
"2020-03-18";15;1.52614524555853;0;3.42973284832063;0.281798534705354;2.7704919564117
"2020-03-19";15;1.5850513679452;0;3.64032173213614;0.241682161632979;2.92842057425743
"2020-03-20";15;1.76899294285348;0;3.99;-0.577184019714769;4.11516990542174
"2020-03-21";15;1.98457093004561;0;3.99;-0.561182503064911;4.53032436315614
"2020-03-22";15;1.89502296942182;0;3.99;0.0325546289546146;3.75749130988903
"2020-03-23";15;1.92606297997178;0;3.99570602397345;0.573456335860839;3.27866962408273
"2020-03-24";15;2.0209081923278;0.133331918970016;3.90848446568558;0.787340878165512;3.25447550649008
"2020-03-25";15;2.09452541445694;0.225079344169841;3.96397148474403;0.872877389775746;3.31617343913813
"2020-03-26";15;2.13603848903149;0.395166539697377;3.8769104383656;0.998259577754747;3.27381740030823
"2020-03-27";15;2.10796289636962;0.424839868907143;3.79108592383209;1.00794475505856;3.20798103768067
"2020-03-28";15;1.97593876168622;0.595189223904157;3.35668829946828;1.07336214861768;2.87851537475476
"2020-03-29";15;1.88522109541688;0.690681316825181;3.07976087400857;1.10432994017173;2.66611225066202
"2020-03-30";15;2.05904316090709;0.804493074392696;3.31359324742149;1.23907316099076;2.87901316082343
"2020-03-31";15;2.02321390367302;0.796941295337873;3.24948651200817;1.22171986229577;2.82470794505027
"2020-04-01";15;1.92658835244959;0.791124860702168;3.062051844197;1.1844231192904;2.66875358560877
"2020-04-02";15;1.85589065036728;0.875405645246792;2.83637565548776;1.21494916349239;2.49683213724216
"2020-04-03";15;1.75488091222103;0.841919063139924;2.66784276130214;1.15813375623248;2.35162806820958
"2020-04-04";15;1.73435297942251;0.909517593386603;2.55918836545841;1.1951982887342;2.27350767011081
"2020-04-05";15;1.64240749809316;0.930136823608674;2.35467817257764;1.17678884609045;2.10802615009586
"2020-04-06";15;1.55989445292041;0.928673515094608;2.1911153907462;1.14725858882499;1.97253031701582
"2020-04-07";15;1.45525234338043;0.875402481943242;2.03510220481762;1.07623815889775;1.83426652786311
"2020-04-08";15;1.40079229004604;0.843925785215631;1.95765879487644;1.03687041984722;1.76471416024485
"2020-04-09";15;1.28441582584935;0.77930335981987;1.78952829187882;0.954339846206208;1.61449180549248
"2020-04-10";15;1.19747359982564;0.745925511508637;1.64902168814264;0.902408988038109;1.49253821161317
"2020-04-11";15;1.07622384224827;0.651335780427503;1.50111190406903;0.798630422684633;1.3538172618119
"2020-04-12";15;1.01234803377388;0.656891504280385;1.36780456326737;0.780055630391104;1.24464043715665
"2020-04-13";15;0.955578346089593;0.611511262474582;1.2996454297046;0.730740459157634;1.18041623302155
"2020-04-14";15;0.927370758220744;0.559012926782503;1.29572858965898;0.686713120791095;1.16802839565039
"2020-04-15";15;0.877988568154524;0.487930743673806;1.26804639263524;0.623201637320609;1.13277549898844
"2020-04-16";15;0.894770881460936;0.532240520292895;1.25730124262898;0.657891281277959;1.13165048164391
"2020-04-17";15;0.940480686647257;0.560570770833516;1.320390602461;0.692253287378712;1.1887080859158
"2020-04-18";15;0.987349554468645;0.583666880661766;1.39103222827552;0.723618215415161;1.25108089352213
"2020-04-19";15;1.02883781567755;0.628169336101625;1.42950629525348;0.767061174905386;1.29061445644972
"2020-04-20";15;1.09949595357595;0.713931574194086;1.48506033295782;0.847540030252251;1.35145187689966
"2020-04-21";15;1.12876572453226;0.749307955302631;1.50822349376189;0.880789232939706;1.37674221612481
"2020-04-22";15;1.1217471236026;0.763273195037016;1.48022105216818;0.887453660236732;1.35604058696847
"2020-04-23";15;1.08517319093421;0.73414521936183;1.43620116250659;0.855749030476147;1.31459735139227
"2020-04-24";15;1.03285754986212;0.699105829511699;1.36660927021254;0.814718745944545;1.25099635377969
"2020-04-25";15;0.999528471871169;0.67583108563383;1.32322585810851;0.787960481752634;1.2110964619897
"2020-04-26";15;0.962196673881622;0.655879837156932;1.26851351060631;0.761972355104323;1.16242099265892
"2020-04-27";15;0.880697201214154;0.578452643108319;1.18294175931999;0.683148053378986;1.07824634904932
"2020-04-28";15;0.878053746054467;0.507819403692251;1.24828808841668;0.636184459325322;1.11992303278361
"2020-04-29";15;0.894952644205572;0.518592611730716;1.27131267668043;0.649068226359213;1.14083706205193
"2020-04-30";15;0.905138939404647;0.521664156041844;1.28861372276745;0.654603310149223;1.15567456866007
"2020-05-01";15;0.919882148896647;0.541980154960749;1.29778414283254;0.672966726944406;1.16679757084889
"2020-05-02";15;0.921317737953196;0.556756750721863;1.28587872518453;0.683092447205369;1.15954302870102
"2020-05-03";15;0.937211012280381;0.591010638074527;1.28341138648623;0.710942792884274;1.16347923167649
