"fecha";"region";"prob48.estimado";"prob48.linf";"prob48.lsup"
2020-03-08;"01";0.0732190394873224;0.0163636901996585;0.167779995467778
2020-03-15;"01";0.0732190394873224;0.0163636901996585;0.167779995467778
2020-03-22;"01";0.0360907857657245;0.00017435404395835;0.160006466700717
2020-03-29;"01";0.0306964263257212;0.00016652045595351;0.137025635864589
2020-04-05;"01";0.0336829073507314;0.000120442032158201;0.130238108038511
2020-04-12;"01";0.0337646693540272;0.00215567677372985;0.100307465889775
2020-04-19;"01";0.0787259196731838;0.0217819856246316;0.157189169480547
2020-04-26;"01";0.176319345875159;0.108872762699172;0.255499659828324
2020-05-03;"01";0.175079216600238;0.125577746633768;0.230336923401753
2020-05-10;"01";0.1271348549418;0.0844944627378751;0.172412670175839
2020-05-17;"01";0.144557492928632;0.119472823267234;0.171391402339413
2020-05-24;"01";0.167739992969954;0.143372335115332;0.19342007455199
2020-05-31;"01";0.220244952627394;0.192881816487016;0.248890997166219
2020-06-07;"01";0.216181665385781;0.188945913343021;0.245043536762747
2020-06-14;"01";0.313122622282113;0.280669014580011;0.345622025696776
2020-06-21;"01";0.300099823018042;0.26553748887004;0.335969263336253
2020-06-28;"01";0.316373027394669;0.280017362109983;0.354376066356958
2020-07-05;"01";0.340883734821146;0.303005499448417;0.379671399694248
2020-07-12;"01";0.359349441271978;0.318457666798019;0.401836916803814
2020-07-19;"01";0.286477272569031;0.247899979328145;0.326060558870275
2020-07-26;"01";0.32117638068841;0.281297458614189;0.362391805072201
2020-08-02;"01";0.445610620972508;0.403037188192359;0.489483331350436
2020-08-09;"01";0.328993704830404;0.285947460376188;0.374466721448599
2020-08-16;"01";0.440706470486905;0.395826238398884;0.486486724553805
2020-08-23;"01";0.471488739212493;0.401309223605857;0.534729209131627
2020-08-30;"01";0.421890680750469;0.309818565562075;0.51399256221164
2020-09-06;"01";0.36025741219756;0.239785483704144;0.474763828973921
2020-09-13;"01";0.3189544608717;0.17052066275178;0.514319397708406
2020-03-08;"02";0.0560033386076405;0.0124964791412152;0.128201787804238
2020-03-15;"02";0.0560033386076405;0.0124964791412152;0.128201787804238
2020-03-22;"02";0.014124364293611;8.89836757828191e-05;0.0651134217925764
2020-03-29;"02";0.0173372063445737;9.88618496431527e-05;0.0801529206233408
2020-04-05;"02";0.0473699514228554;0.011165369030077;0.105874404982313
2020-04-12;"02";0.0793009707044557;0.0361953981958158;0.135929884461145
2020-04-19;"02";0.0997564979182747;0.057559000501287;0.151278254950481
2020-04-26;"02";0.196336038705374;0.151439823034051;0.246318317132348
2020-05-03;"02";0.231912686394751;0.192341731435994;0.273490076190181
2020-05-10;"02";0.088893768998096;0.0657519973039124;0.114848126940547
2020-05-17;"02";0.0707937989356655;0.0522882438638477;0.0917435650396141
2020-05-24;"02";0.0545664597512321;0.0380601053551519;0.0737702267572991
2020-05-31;"02";0.0545357729718978;0.0403454113421072;0.0709130980101093
2020-06-07;"02";0.0582859285831198;0.0463133270992474;0.0715592026872584
2020-06-14;"02";0.0989096596816536;0.0848667706969335;0.114458107459044
2020-06-21;"02";0.167618470656836;0.150497093477323;0.185601493032851
2020-06-28;"02";0.189759302964209;0.171197965664712;0.208962563373276
2020-07-05;"02";0.229704599496943;0.209654318351485;0.250333506942335
2020-07-12;"02";0.291775351693392;0.267695216589413;0.31685930632281
2020-07-19;"02";0.322565849467996;0.294601532912287;0.351275875104917
2020-07-26;"02";0.322302074650573;0.292176335103617;0.353503862248475
2020-08-02;"02";0.34767068360826;0.316692805071106;0.378728581995931
2020-08-09;"02";0.357180227452986;0.324320551226579;0.390314338274795
2020-08-16;"02";0.341213829864862;0.305744860771643;0.376853886525914
2020-08-23;"02";0.385469608954818;0.302888769173229;0.44528594289267
2020-08-30;"02";0.38710447168099;0.297713370107959;0.454736267326135
2020-09-06;"02";0.324859913978931;0.229251117603574;0.422973077899604
2020-09-13;"02";0.296195026146;0.16223218280092;0.476383226874197
2020-03-08;"03";0.100814096027573;0.0231100874777548;0.221659127716221
2020-03-15;"03";0.100814096027573;0.0231100874777548;0.221659127716221
2020-03-22;"03";0.103395416396657;0.000515745508703308;0.38355130028344
2020-03-29;"03";0.138361122488854;0.0130808816953215;0.364925020532885
2020-04-05;"03";0.11202321407263;0.000251263164951801;0.381439179972598
2020-04-12;"03";0.0846235331242362;0.000633105236059951;0.263834203235196
2020-04-19;"03";0.112120210853494;0.000452576567403448;0.328392158963856
2020-04-26;"03";0.170132646668967;0.0550584244965396;0.329268796359035
2020-05-03;"03";0.256705874607831;0.154486720040818;0.374193882350787
2020-05-10;"03";0.34650967678065;0.222961627996819;0.473809006368024
2020-05-17;"03";0.314477940931233;0.177282358368396;0.46376535152425
2020-05-24;"03";0.403371054864315;0.276176455820003;0.537455527986361
2020-05-31;"03";0.252529779229929;0.174596485916479;0.338456306483552
2020-06-07;"03";0.253702444035472;0.193487678260366;0.31885472547931
2020-06-14;"03";0.108189507511332;0.071206119306549;0.151983818953599
2020-06-21;"03";0.189734189920384;0.14458156555809;0.238981468916299
2020-06-28;"03";0.240741921203924;0.190249864164468;0.293488725972209
2020-07-05;"03";0.365012536072154;0.311661886405877;0.419286764680891
2020-07-12;"03";0.410245420359736;0.358979953995357;0.462274226284679
2020-07-19;"03";0.347149780600263;0.30133072372459;0.393939380140542
2020-07-26;"03";0.261679236252494;0.228846592132068;0.295911975333656
2020-08-02;"03";0.216880624402756;0.189609386898728;0.245668018268297
2020-08-09;"03";0.269158967664308;0.239329431538835;0.300153590578891
