fecha_primeros_sintomas;region;provincia;prop2d
2020-08-07;15;151;0.498229675773364
2020-08-08;15;151;0.536324913868602
2020-08-09;15;151;0.534923649137357
2020-08-10;15;151;0.51744383165754
2020-08-11;15;151;0.49837502504702
2020-08-12;15;151;0.511270580196096
2020-08-13;15;151;0.518369071766638
2020-08-14;15;151;0.550862068965517
2020-08-15;15;151;0.517625917362019
2020-08-16;15;151;0.528923293455313
2020-08-17;15;151;0.534659224191244
2020-08-18;15;151;0.560802167757055
2020-08-19;15;151;0.557476225406722
2020-08-20;15;151;0.559877185790876
2020-08-21;15;151;0.538788750416726
2020-08-22;15;151;0.574545910423586
2020-08-23;15;151;0.565799554738455
2020-08-24;15;151;0.588758738411924
2020-08-25;15;151;0.5758693721391
2020-08-26;15;151;0.561526936355938
2020-08-27;15;151;0.576394421811658
2020-08-28;15;151;0.555246832341088
2020-08-29;15;151;0.544562558631604
2020-08-30;15;151;0.531712974353448
2020-08-31;15;151;0.511134743060931
2020-09-01;15;151;0.528741785878058
2020-09-02;15;151;0.511119367851191
2020-09-03;15;151;0.481815338547162
2020-09-04;15;151;0.494086206597457
2020-09-05;15;151;0.461433145372967
2020-09-06;15;151;0.43907864801847
2020-09-07;15;151;0.428972265039747
2020-09-08;15;151;0.386535290249831
2020-09-09;15;151;0.408167331372127
2020-09-10;15;151;0.375607298812094
2020-09-11;15;151;0.364193145261691
2020-09-12;15;151;0.354044220827053
2020-09-13;15;151;0.335265418983735
2020-09-14;15;151;0.331568713159369
2020-09-15;15;151;0.314535746126402
2020-09-16;15;151;0.271608230292483
2020-09-17;15;151;0.254979356520752
2020-09-18;15;151;0.249105919612832
2020-09-19;15;151;0.238987426735718
2020-09-20;15;151;0.275853786182723
2020-09-21;15;151;0.27259338292232
2020-09-22;15;151;0.296769207098144
2020-09-23;15;151;0.335784813340641
2020-09-24;15;151;0.394741729440414
2020-09-25;15;151;0.418936832582886
2020-09-26;15;151;0.465734862139536
2020-09-27;15;151;0.502601221586541
2020-09-28;15;151;0.559624282383186
2020-09-29;15;151;0.597719520478424
2020-09-30;15;151;0.600836896461076
2020-10-01;15;151;0.6257189213431
2020-10-02;15;151;0.615693858686459
2020-10-03;15;151;0.644651387643988
2020-10-04;15;151;0.64766450356033
2020-10-05;15;151;0.638062077684319
2020-10-06;15;151;0.606863391313219
2020-10-07;15;151;0.615750817251336
2020-10-08;15;151;0.606741808242327
2020-10-09;15;151;0.652632396782643
2020-10-10;15;151;0.6343891535394
2020-10-11;15;151;0.638564977715224
2020-10-12;15;151;0.649373248391916
2020-10-13;15;151;0.695223949415031
2020-10-14;15;151;0.714498325832264
2020-10-15;15;151;0.71016932150326
2020-10-16;15;151;0.680771577978709
2020-10-17;15;151;0.679709801916933
2020-10-18;15;151;0.642566944774075
2020-10-19;15;151;0.630483163893302
2020-10-20;15;151;0.619494152904291
2020-10-21;15;151;0.614373825203318
2020-10-22;15;151;0.591491945178581
2020-10-23;15;151;0.597197453188237
2020-10-24;15;151;0.587544943535727
2020-10-25;15;151;0.587544943535727
2020-10-26;15;151;0.60748928490864
2020-10-27;15;151;0.610629002334071
2020-10-28;15;151;0.584995361781076
2020-10-29;15;151;0.581253865182437
2020-10-30;15;151;0.569915996701711
2020-10-31;15;151;0.555630282415997
2020-11-01;15;151;0.603249330035044
2020-11-02;15;151;0.590761817547532
2020-11-03;15;151;0.574435286935287
2020-11-04;15;151;0.601221001221001
2020-11-05;15;151;0.67979242979243
2020-11-06;15;151;0.693223443223443
2020-11-07;15;151;0.712271062271062
2020-11-08;15;151;0.707509157509158
2020-11-09;15;151;0.723992673992674
2020-11-10;15;151;0.766849816849817
2020-11-11;15;151;0.78470695970696
2020-11-12;15;151;0.732758907758908
2020-11-13;15;151;0.703454878454878
2020-11-14;15;151;0.741550116550117
2020-11-15;15;151;0.754248529248529
2020-11-16;15;151;0.751016467192938
2020-11-17;15;151;0.749429165605636
2020-11-18;15;151;0.767286308462779
2020-11-19;15;151;0.778418033880219
2020-11-20;15;151;0.812431639322396
2020-11-21;15;151;0.812431639322396
2020-11-22;15;151;0.785447512338269
2020-11-23;15;151;0.739229024943311
2020-11-24;15;151;0.719387755102041
2020-11-25;15;151;0.680426716141002
2020-11-26;15;151;0.667671614100185
2020-11-27;15;151;0.671753246753247
2020-11-28;15;151;0.643181818181818
2020-11-29;15;151;0.650324675324675
2020-11-30;15;151;0.703896103896104
2020-12-01;15;151;0.678385899814471
2020-12-02;15;151;0.693537414965986
2020-12-03;15;151;0.706292517006803
2020-12-04;15;151;0.674149659863946
2020-12-05;15;151;0.674149659863946
2020-12-06;15;151;0.602721088435374
2020-12-07;15;151;0.582482993197279
2020-12-08;15;151;0.631802721088435
2020-12-09;15;151;0.603664192949907
2020-12-10;15;151;0.558766233766234
2020-12-11;15;151;0.568686868686869
2020-12-12;15;151;0.603851703851704
2020-12-13;15;151;0.696708846708847
2020-12-14;15;151;0.706232656232656
2020-12-15;15;151;0.701330695448342
2020-12-16;15;151;0.717564461682109
2020-12-17;15;151;0.803278747396394
2020-12-18;15;151;0.863596207713855
2020-12-19;15;151;0.873669467787115
2020-12-20;15;151;0.874968169085816
2020-12-21;15;151;0.888502003672282
2020-12-22;15;151;0.883330704383336
2020-12-23;15;151;0.865473561526193
2020-12-24;15;151;0.821517517570149
2020-12-25;15;151;0.781741607206003
2020-12-26;15;151;0.72960696024377
2020-12-27;15;151;0.691573565067518
2020-12-28;15;151;0.69300571687561
2020-12-29;15;151;0.6832377071076
2020-12-30;15;151;0.697126595996489
2020-12-31;15;151;0.689134588004481
2021-01-01;15;151;0.676529545987674
2021-01-02;15;151;0.704854669140383
2021-01-03;15;151;0.720160791589363
2021-01-04;15;151;0.694083694083694
2021-01-05;15;151;0.703273334852282
2021-01-06;15;151;0.699477613665257
2021-01-07;15;151;0.725109876139624
2021-01-08;15;151;0.76082416185391
2021-01-09;15;151;0.752382603412352
2021-01-10;15;151;0.735899086928835
2021-01-11;15;151;0.738438769468518
2021-01-12;15;151;0.723094285810393
2021-01-13;15;151;0.737160781974076
2021-01-14;15;151;0.732864326549801
2021-01-15;15;151;0.72224656593204
2021-01-16;15;151;0.744610642533405
2021-01-17;15;151;0.771167419090181
2021-01-18;15;151;0.780837748760511
2021-01-19;15;151;0.786000528157984
2021-01-20;15;151;0.775412292863867
2021-01-21;15;151;0.751079482816771
2021-01-22;15;151;0.765341558303336
2021-01-23;15;151;0.76173650046099
2021-01-24;15;151;0.75166324038773
2021-01-25;15;151;0.739323121490234
2021-01-26;15;151;0.738447771350178
2021-01-27;15;151;0.742733485635892
2021-01-28;15;151;0.775357112009519
2021-01-29;15;151;0.774204491492874
2021-01-30;15;151;0.751982269270651
2021-01-31;15;151;0.744839412127794
2021-02-01;15;151;0.744652058497818
2021-02-02;15;151;0.748045723656189
2021-02-03;15;151;0.75368482140055
2021-02-04;15;151;0.737045211010939
2021-02-05;15;151;0.731306763412027
2021-02-06;15;151;0.740235334840598
2021-02-07;15;151;0.744482439087702
2021-02-08;15;151;0.752499496656999
2021-02-09;15;151;0.763111433739524
2021-02-10;15;151;0.774553081336778
2021-02-11;15;151;0.784942691726388
2021-02-12;15;151;0.777392102780451
2021-02-13;15;151;0.777392102780451
2021-02-14;15;151;0.771846297234645
2021-02-15;15;151;0.770495906332015
2021-02-16;15;151;0.764389463754985
2021-02-17;15;151;0.751276972381623
2021-02-18;15;151;0.766242958776181
2021-02-19;15;151;0.787691930041554
2021-02-20;15;151;0.782226562076186
2021-02-21;15;151;0.800985580835205
2021-02-22;15;151;0.811359730495069
2021-02-23;15;151;0.814216873352212
2021-02-24;15;151;0.816742125877464
2021-02-25;15;151;0.77932715989107
2021-02-26;15;151;0.751758237585305
2021-02-27;15;151;0.757586555608745
2021-02-28;15;151;0.755333611420317
2021-03-01;15;151;0.759659254721116
2021-03-02;15;151;0.759789124850986
2021-03-03;15;151;0.760438475500336
2021-03-04;15;151;0.786248799629988
2021-03-05;15;151;0.813670294543743
2021-03-06;15;151;0.817984215233971
2021-03-07;15;151;0.820633984819224
2021-03-08;15;151;0.814204868550291
2021-03-09;15;151;0.817884522229945
2021-03-10;15;151;0.828218868734504
2021-03-11;15;151;0.824208173547338
2021-03-12;15;151;0.822107333211204
2021-03-13;15;151;0.836187383836105
2021-03-14;15;151;0.836797139933666
2021-03-15;15;151;0.847574082289555
2021-03-16;15;151;0.839410816983433
2021-03-17;15;151;0.835480411365573
2021-03-18;15;151;0.833645289965234
2021-03-19;15;151;0.827474071477839
2021-03-20;15;151;0.806976359448754
2021-03-21;15;151;0.808042988190843
2021-03-22;15;151;0.794678932891304
2021-03-23;15;151;0.79233316699874
2021-03-24;15;151;0.799463060698507
2021-03-25;15;151;0.793784267442074
2021-03-26;15;151;0.78051316354597
2021-03-27;15;151;0.795881773750727
2021-03-28;15;151;0.780514912720601
2021-03-29;15;151;0.791021825162997
2021-03-30;15;151;0.787355884047176
2021-03-31;15;151;0.786066947419894
2021-04-01;15;151;0.784706403202207
2021-04-02;15;151;0.778828071008085
2021-04-03;15;151;0.771103842403787
2021-04-04;15;151;0.783603842403787
2021-04-05;15;151;0.765550012176044
2021-04-06;15;151;0.783188187953755
2021-04-07;15;151;0.770943289994571
2021-04-08;15;151;0.77842628319185
2021-04-09;15;151;0.804103684241644
2021-04-10;15;151;0.807478804781664
2021-04-11;15;151;0.817540248714075
2021-04-12;15;151;0.822291971213481
2021-04-13;15;151;0.817468223532591
2021-04-14;15;151;0.832102369874054
2021-04-15;15;151;0.836259588316987
2021-04-16;15;151;0.817665111970255
2021-04-17;15;151;0.80541021000947
2021-04-18;15;151;0.80193139913028
2021-04-19;15;151;0.819677951303062
2021-04-20;15;151;0.813131936670794
2021-04-21;15;151;0.819680056339182
2021-04-22;15;151;0.829328360105133
2021-04-23;15;151;0.834776763722873
2021-04-24;15;151;0.866053819999929
2021-04-25;15;151;0.846971186946708
2021-04-26;15;151;0.821290068728277
2021-04-27;15;151;0.829376322097549
2021-04-28;15;151;0.816765484659125
2021-04-29;15;151;0.789616163392157
2021-04-30;15;151;0.794795779098088
2021-05-01;15;151;0.790147795502736
2021-05-02;15;151;0.784195414550355
2021-05-03;15;151;0.797944403595279
2021-05-04;15;151;0.791602244089967
2021-05-05;15;151;0.783030815518538
2021-05-06;15;151;0.805558288046011
2021-05-07;15;151;0.796700121123328
2021-05-08;15;151;0.792690096060671
2021-05-09;15;151;0.803898302747601
2021-05-10;15;151;0.79817170176238
2021-05-11;15;151;0.801953214367422
2021-05-12;15;151;0.808961300620791
2021-05-13;15;151;0.788723205382696
2021-05-14;15;151;0.800432036380533
2021-05-15;15;151;0.780309148515709
2021-05-16;15;151;0.790702324317258
2021-05-17;15;151;0.783084783630097
2021-05-18;15;151;0.789807472705728
2021-05-19;15;151;0.784159930670046
2021-05-20;15;151;0.794874216384331
2021-05-21;15;151;0.767987271130039
2021-05-22;15;151;0.769975781956376
2021-05-23;15;151;0.763862737660316
2021-05-24;15;151;0.759820614481931
2021-05-25;15;151;0.741707964016339
2021-05-26;15;151;0.745499644623008
2021-05-27;15;151;0.741702990826354
2021-05-28;15;151;0.758993240259461
2021-05-29;15;151;0.741463990144959
2021-05-30;15;151;0.755090558784837
2021-05-31;15;151;0.765152478289481
2021-06-01;15;151;0.77583821432733
2021-06-02;15;151;0.777465650519923
2021-06-03;15;151;0.773753146807419
2021-06-04;15;151;0.763471761526034
2021-06-05;15;151;0.784021517043412
2021-06-06;15;151;0.757532660631282
2021-06-07;15;151;0.765678024039803
2021-06-08;15;151;0.751336656686749
2021-06-09;15;151;0.752720260975922
2021-06-10;15;151;0.766456524712186
2021-06-11;15;151;0.777195785451447
2021-06-12;15;151;0.7773436706925
2021-06-13;15;151;0.799271191700903
2021-06-14;15;151;0.786890239319951
2021-06-15;15;151;0.807292974882261
2021-06-16;15;151;0.811307695524616
2021-06-17;15;151;0.809842494059414
2021-06-18;15;151;0.814184925821201
2021-06-19;15;151;0.821283417391742
2021-06-20;15;151;0.809626671359996
2021-06-21;15;151;0.817245718979044
2021-06-22;15;151;0.794541637346391
2021-06-23;15;151;0.795407129658783
2021-06-24;15;151;0.788630572882226
2021-06-25;15;151;0.776795633627932
2021-06-26;15;151;0.733869477658298
2021-06-27;15;151;0.732002064026178
2021-06-28;15;151;0.720706382963055
2021-06-29;15;151;0.747577131262375
2021-06-30;15;151;0.737708256176108
2021-07-01;15;151;0.740600101173217
2021-07-02;15;151;0.763327373900489
2021-07-03;15;151;0.796302284294755
2021-07-04;15;151;0.8095075664076
2021-07-05;15;151;0.825565152232627
2021-07-06;15;151;0.805327056994532
2021-07-07;15;151;0.818819120486596
2021-07-08;15;151;0.81764430845652
2021-07-09;15;151;0.806581297393509
