"fecha";"region";"provincia";"r.estimado";"r.liminf";"r.lisup";"r.liminf80";"r.lisup80"
"2020-03-08";16;163;3.05138185943565;0;3.99;-0.923373226867709;7.02613694573902
"2020-03-09";16;163;2.89263916106577;0;3.99;-1.29152049643849;7.07679881857003
"2020-03-10";16;163;2.69020356152959;0;3.99;-1.23493082153693;6.61533794459612
"2020-03-11";16;163;2.50078924693134;0;3.99;-0.952733793896248;5.95431228775894
"2020-03-12";16;163;2.21251601436995;0;3.99;-0.5908651420301;5.01589717077
"2020-03-13";16;163;2.09107460764053;0;3.99;-0.59502303295044;4.7771722482315
"2020-03-14";16;163;1.99665295466952;0;3.99;-0.198893776349858;4.19219968568891
"2020-03-15";16;163;2.01101449296428;0;3.99;-0.0539436319644415;4.07597261789301
"2020-03-16";16;163;1.98851530352224;0;3.99;0.155331395557496;3.82169921148698
"2020-03-17";16;163;1.92362484212084;0;3.99;0.330674638109385;3.51657504613229
"2020-03-18";16;163;1.87804935956465;0;3.99;0.400589624105692;3.35550909502361
"2020-03-19";16;163;1.85694479664635;0;3.77222882793922;0.605136616509091;3.10875297678361
"2020-03-20";16;163;1.85642619230389;0.0332817770116065;3.67957060759617;0.664924949490016;3.04792743511776
"2020-03-21";16;163;1.82932772163266;0.161521624197564;3.49713381906775;0.739327957641172;2.91932748562414
"2020-03-22";16;163;1.7337751320499;0.260568887141974;3.20698137695782;0.770893521817119;2.69665674228267
"2020-03-23";16;163;1.72251309290147;0.264669509715175;3.18035667608777;0.76979560989411;2.67523057590884
"2020-03-24";16;163;1.71269412290657;0.331655886760421;3.09373235905273;0.810175113178123;2.61521313263502
"2020-03-25";16;163;1.63827127157675;0.385207072489092;2.89133547066441;0.81934602778441;2.45719651536909
"2020-03-26";16;163;1.55581648050528;0.430348394379916;2.68128456663065;0.820253242884631;2.29137971812594
"2020-03-27";16;163;1.45323505863264;0.416013230310064;2.49045688695521;0.775379790410806;2.13109032685447
"2020-03-28";16;163;1.35906661278948;0.4423246959573;2.27580852962165;0.759910560351276;1.95822266522768
"2020-03-29";16;163;1.27848190313885;0.425974971466494;2.13098883481121;0.721326176873261;1.83563762940444
"2020-03-30";16;163;1.20234724983513;0.427898838075057;1.9767956615952;0.696180071272338;1.70851442839792
"2020-03-31";16;163;1.15672323553817;0.366580343618941;1.94686612745739;0.640390340244422;1.67305613083191
"2020-04-01";16;163;1.13276196698308;0.362998036382873;1.90252589758329;0.629749459862275;1.63577447410389
"2020-04-02";16;163;1.15635300248815;0.364571660086817;1.94813434488948;0.638987296979585;1.67371870799672
"2020-04-03";16;163;1.1357538987915;0.3674202041325;1.9040875934505;0.633689379485398;1.6378184180976
"2020-04-04";16;163;1.12992557298348;0.392124915139971;1.86772623082698;0.647780717739488;1.61207042822746
"2020-04-05";16;163;1.11035395402072;0.409767513299241;1.8109403947422;0.652490137692366;1.56821777034907
"2020-04-06";16;163;1.12209469851055;0.42927738819726;1.81491200882384;0.669301576055707;1.57488782096539
"2020-04-07";16;163;1.09210884460276;0.395134071911681;1.78908361729385;0.636632158321614;1.54758553088391
"2020-04-08";16;163;1.07282804843571;0.394229251594608;1.75142684527681;0.629338815223023;1.5163172816484
"2020-04-09";16;163;1.01138378383254;0.350290998657577;1.67247656900751;0.579344348643458;1.44342321902163
"2020-04-10";16;163;1.00946593326731;0.337433747973045;1.68149811856158;0.570297470039916;1.44863439649471
"2020-04-11";16;163;0.972235633822166;0.324862594084572;1.61960867355976;0.549156565237277;1.39531470240706
"2020-04-12";16;163;0.974056934040182;0.339742549528408;1.60837131855196;0.559481868950844;1.38863199912952
"2020-04-13";16;163;0.983493480051038;0.304540651117697;1.66244630898438;0.539807772299876;1.4271791878022
"2020-04-14";16;163;0.995920508475938;0.303098459373116;1.68874255757876;0.543179868728438;1.44866114822344
"2020-04-15";16;163;1.00395632078587;0.334796002251381;1.67311663932037;0.566620229250578;1.44129241232117
"2020-04-16";16;163;1.01888571631781;0.343870589717203;1.69390084291841;0.577724754945675;1.46004667768994
"2020-04-17";16;163;0.996689513443669;0.323857884618422;1.66952114226891;0.556964371850342;1.43641465503699
"2020-04-18";16;163;1.01275366032118;0.334957479711575;1.69054984093078;0.56977451638899;1.45573280425336
"2020-04-19";16;163;1.01818639159269;0.348646892055667;1.68772589112972;0.580580309150462;1.45579247403492
"2020-04-20";16;163;0.997282846695797;0.297574629776943;1.69699106361465;0.540018104179671;1.45454758921192
"2020-04-21";16;163;0.985298591963982;0.291225211787002;1.67937197214096;0.531703409189621;1.43889377473834
"2020-04-22";16;163;0.959302315877576;0.287658167342454;1.6309464644127;0.520331917156221;1.39827271459893
"2020-04-23";16;163;0.946047428166412;0.273639624941144;1.61845523139168;0.506577032302038;1.38551782403079
"2020-04-24";16;163;0.95649316290462;0.237795640949213;1.67519068486003;0.48683433613108;1.42615198967816
"2020-04-25";16;163;0.953415913720569;0.247551818153882;1.65928000928726;0.492105471554286;1.41472635588685
"2020-04-26";16;163;0.952262155347616;0.245415187044554;1.65910912365068;0.490297866936248;1.41422644375899
"2020-04-27";16;163;0.94285271990356;0.248461672052871;1.63724376775425;0.48899627110914;1.39670916869798
"2020-04-28";16;163;0.939875220073981;0.230418202520994;1.64933223762697;0.476181438599396;1.40356900154857
"2020-04-29";16;163;0.954364358741291;0.220064297462255;1.68866442002033;0.474450330790013;1.43427838669257
"2020-04-30";16;163;0.970263958701467;0.203324922510258;1.73720299489267;0.469042581131588;1.47148533627134
