"fecha";"region";"servicio.salud";"r.estimado";"r.liminf";"r.lisup"
"2020-03-08";15;151011;3.01231837145936;0;3.99
"2020-03-09";15;151011;2.62272610387577;0;3.99
"2020-03-10";15;151011;2.31232482343051;0;3.99
"2020-03-11";15;151011;2.13961871905186;0;3.99
"2020-03-12";15;151011;2.011600223127;0;3.99
"2020-03-13";15;151011;1.84006930911008;0;3.99
"2020-03-14";15;151011;1.79820515301469;0;3.99
"2020-03-15";15;151011;1.75317518095744;0;3.99
"2020-03-16";15;151011;1.77698607899269;0;3.99
"2020-03-17";15;151011;1.70508213847527;0;3.88324646695312
"2020-03-18";15;151011;1.64665172052312;0;3.56769818362331
"2020-03-19";15;151011;1.59336386358124;0;3.34310308196605
"2020-03-20";15;151011;1.68399710502775;0;3.45867500600818
"2020-03-21";15;151011;1.67268659905896;0.0575355064272502;3.28783769169066
"2020-03-22";15;151011;1.65376036886199;0.158940269039955;3.14858046868403
"2020-03-23";15;151011;1.75108846652321;0.162878934472952;3.33929799857347
"2020-03-24";15;151011;1.84864444520097;0.41797655260036;3.27931233780159
"2020-03-25";15;151011;1.88519087692662;0.530380297494968;3.24000145635828
"2020-03-26";15;151011;1.96601201487867;0.564453718332069;3.36757031142528
"2020-03-27";15;151011;1.91781982935772;0.568004034021594;3.26763562469384
"2020-03-28";15;151011;1.85717472196348;0.68214743429692;3.03220200963003
"2020-03-29";15;151011;1.83190714554177;0.745960320949509;2.91785397013403
"2020-03-30";15;151011;1.91907204295154;0.770161993200429;3.06798209270266
"2020-03-31";15;151011;1.86877669162869;0.775912988173009;2.96164039508438
"2020-04-01";15;151011;1.91029797292792;0.87352112564444;2.94707482021139
"2020-04-02";15;151011;1.86950831412264;0.858288911815092;2.88072771643018
"2020-04-03";15;151011;1.81949239504712;0.915957018517395;2.72302777157684
"2020-04-04";15;151011;1.77715949523614;0.992527730762387;2.5617912597099
"2020-04-05";15;151011;1.69826720869775;0.957644894750753;2.43888952264475
"2020-04-06";15;151011;1.59661133847206;0.929772482758796;2.26345019418532
"2020-04-07";15;151011;1.51758337091462;0.939652772478656;2.09551396935059
"2020-04-08";15;151011;1.40181763892308;0.884587875078646;1.91904740276751
"2020-04-09";15;151011;1.26668575892773;0.821300840889505;1.71207067696595
"2020-04-10";15;151011;1.16158775394394;0.780551545878089;1.54262396200978
"2020-04-11";15;151011;1.05364475244099;0.71029433424053;1.39699517064144
"2020-04-12";15;151011;0.979565418326625;0.639583126297792;1.31954771035546
"2020-04-13";15;151011;0.943775239242852;0.606145000689416;1.28140547779629
"2020-04-14";15;151011;0.883661606399619;0.56051373610785;1.20680947669139
"2020-04-15";15;151011;0.845918870122535;0.487238217351961;1.20459952289311
"2020-04-16";15;151011;0.88527409465181;0.517033745462242;1.25351444384138
"2020-04-17";15;151011;0.923387500714584;0.561466115888392;1.28530888554078
"2020-04-18";15;151011;0.978967022597748;0.614714816778166;1.34321922841733
"2020-04-19";15;151011;1.03577530223879;0.631090387790322;1.44046021668726
"2020-04-20";15;151011;1.10667477858947;0.692819788360124;1.52052976881881
"2020-04-21";15;151011;1.15615645919958;0.755194264261325;1.55711865413783
"2020-04-22";15;151011;1.15791145811997;0.770973561806124;1.54484935443382
"2020-04-23";15;151011;1.12232279398325;0.749404069613407;1.49524151835309
"2020-04-24";15;151011;1.07539510215944;0.694349223437454;1.45644098088143
"2020-04-25";15;151011;1.02518122507077;0.668804284261313;1.38155816588022
"2020-04-26";15;151011;0.971521208656259;0.635822619461223;1.30721979785129
"2020-04-27";15;151011;0.900627840635173;0.58671822343919;1.21453745783116
"2020-04-28";15;151011;0.891221117878989;0.546428904558779;1.2360133311992
"2020-04-29";15;151011;0.891728954082115;0.518139649169068;1.26531825899516
"2020-04-30";15;151011;0.902122816678864;0.550273884358524;1.2539717489992
"2020-05-01";15;151011;0.908656618277268;0.54926611748544;1.2680471190691
"2020-05-02";15;151011;0.901955022844606;0.537573309405363;1.26633673628385
"2020-05-03";15;151011;0.929795859859343;0.56879761423841;1.29079410548028
"2020-05-04";15;151011;0.91565998639897;0.555912948426717;1.27540702437122
"2020-05-05";15;151011;0.898289021795686;0.519789317024006;1.27678872656737
"2020-05-06";15;151011;0.902501816297952;0.518762775449761;1.28624085714614
"2020-05-07";15;151011;0.901215013294189;0.527306249586545;1.27512377700183
"2020-05-08";15;151011;0.935896318346032;0.549131049584524;1.32266158710754
"2020-05-09";15;151011;0.985801718657191;0.558969241134531;1.41263419617985
"2020-05-10";15;151011;1.0329759649374;0.608532183168253;1.45741974670654
"2020-05-11";15;151011;1.16189677790537;0.68387826295789;1.63991529285284
"2020-05-12";15;151011;1.25253740541322;0.774875418415894;1.73019939241054
"2020-05-13";15;151011;1.30550215964381;0.830801290756719;1.7802030285309
"2020-05-14";15;151011;1.37202227894244;0.883180371618138;1.86086418626673
"2020-05-15";15;151011;1.4151364666562;0.927417477804241;1.90285545550817
"2020-05-16";15;151011;1.44725266560311;0.964900801731458;1.92960452947477
"2020-05-17";15;151011;1.40789609770099;0.938277167972832;1.87751502742915
"2020-05-18";15;151011;1.45824325868458;0.941924009409695;1.97456250795947
"2020-05-19";15;151011;1.4549497667717;0.964392691803853;1.94550684173955
"2020-05-20";15;151011;1.44293364055605;0.979542503640833;1.90632477747127
"2020-05-21";15;151011;1.43568072071165;1.00365125249708;1.86771018892622
"2020-05-22";15;151011;1.40029660043285;1.00764110977354;1.79295209109216
"2020-05-23";15;151011;1.35532317219253;0.989824734395547;1.72082160998951
