Region,Codigo region,Comuna,Codigo comuna,Poblacion,2020-10-05,2020-10-12,2020-10-19,2020-10-26,2020-11-02,2020-11-09,2020-11-16,2020-11-23,2020-11-30,2020-12-07,2020-12-14,2020-12-21,2020-12-28,2021-01-04,2021-01-11,2021-01-18,2021-01-25,2021-02-01,2021-02-08,2021-02-15,2021-02-22,2021-03-01,2021-03-08,2021-03-15,2021-03-22,2021-03-29,2021-04-05,2021-04-12,2021-04-19,2021-04-26,2021-05-03,2021-05-10,2021-05-17,2021-05-24,2021-05-31,2021-06-07,2021-06-14,2021-06-21,2021-06-28,2021-07-05,2021-07-12,2021-07-19,2021-07-26,2021-08-02,2021-08-09,2021-08-16,2021-08-23,2021-08-30,2021-09-06,2021-09-13,2021-09-20,2021-09-27,2021-10-04,2021-10-11,2021-10-18,2021-10-25,2021-11-01,2021-11-08,2021-11-15,2021-11-22,2021-11-29,2021-12-06,2021-12-13,2021-12-20,2021-12-27,2022-01-03,2022-01-10,2022-01-17,2022-01-24,2022-02-01,2022-02-08,2022-02-15,2022-02-22,2022-03-01,2022-03-08,2022-03-15,2022-03-22,2022-03-29,2022-04-05,2022-04-12,2022-04-19,2022-04-26
Coquimbo,4.0,Andacollo,4103.0,11791.0,3,3,-,1,2,2,1,-,1,-,-,0,-,-,3,1,1,10,7,16,10,17,8,8,5,7,17,13,3,3,-,4,2,3,6,5,3,12,10,6,8,-,4,-,2,11,8,3,4,1,-,1,-,-,1,2,-,-,-,11,7,2,5,5,2,1,-,15,21,63,122,92,117,132.0,102.0,59.0,33.0,54.0,15.0,7.0,20.0,33
Coquimbo,4.0,La Higuera,4104.0,4450.0,-,-,-,-,-,-,-,-,-,-,-,2,-,-,2,7,-,1,2,2,5,1,3,11,7,6,6,2,3,13,1,4,4,12,6,5,7,6,2,7,2,6,-,3,-,-,-,-,-,-,1,-,-,-,-,2,2,1,5,7,8,1,-,7,-,5,1,2,11,23,52,82,59,40.0,11.0,8.0,9.0,7.0,7.0,5.0,1.0,0
Coquimbo,4.0,Paiguano,4105.0,4675.0,2,-,2,-,-,-,-,-,-,-,-,0,1,2,-,3,3,1,3,5,4,6,10,13,11,9,11,12,11,5,3,5,1,2,3,10,35,37,8,3,3,4,1,5,3,-,-,1,-,-,-,1,-,1,1,2,3,3,8,8,8,2,2,3,-,-,22,23,25,66,79,70,64,44.0,38.0,36.0,21.0,7.0,8.0,4.0,4.0,18
Coquimbo,4.0,Vicuna,4106.0,29741.0,5,3,4,2,-,3,1,8,4,2,2,11,2,5,9,11,6,13,26,15,48,40,65,54,66,54,44,62,38,29,24,37,34,24,33,84,113,125,75,65,47,41,15,12,1,7,1,4,4,9,-,5,3,6,5,7,12,23,7,24,29,9,9,-,0,3,8,52,126,227,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Coquimbo,4.0,Illapel,4201.0,32801.0,17,4,7,6,2,3,-,1,1,2,-,12,-,2,6,17,20,24,29,40,54,40,46,41,68,79,73,68,82,63,53,40,36,27,63,68,91,101,89,56,37,10,12,18,9,5,2,-,5,1,3,1,2,2,12,29,41,22,31,20,24,10,11,10,4,11,8,17,65,240,352,352,306,344.0,298.0,269.0,192.0,130.0,80.0,45.0,17.0,21
Coquimbo,4.0,Canela,4202.0,9546.0,2,1,2,3,1,-,1,-,-,-,-,3,3,2,9,12,17,12,9,21,12,18,7,2,13,7,12,11,19,15,19,15,14,13,27,6,8,7,7,12,6,13,7,4,1,1,2,-,-,1,1,-,-,-,-,-,9,8,10,6,3,4,3,4,-,3,3,7,16,33,38,69,68,64.0,52.0,42.0,26.0,15.0,7.0,2.0,3.0,2
Coquimbo,4.0,Los Vilos,4203.0,23374.0,8,4,1,1,5,1,3,1,2,3,7,3,4,9,32,27,26,29,34,33,12,36,29,32,66,57,35,32,40,19,37,46,50,69,56,67,50,22,24,14,6,4,5,2,8,9,4,4,1,3,-,2,-,4,3,15,21,54,95,36,34,18,13,12,4,9,8,24,55,146,221,172,192,186.0,114.0,129.0,69.0,34.0,16.0,19.0,9.0,18
Coquimbo,4.0,Salamanca,4204.0,29110.0,3,3,5,4,5,2,1,-,3,3,5,3,5,5,14,18,21,19,18,32,26,38,58,37,32,32,30,31,42,63,41,31,35,28,66,76,56,47,26,25,11,13,11,9,11,8,4,5,1,-,-,2,1,1,-,18,35,45,22,18,8,13,16,10,6,3,19,59,150,331,328,230,138,168.0,166.0,119.0,122.0,90.0,64.0,23.0,18.0,19
Coquimbo,4.0,Ovalle,4301.0,121269.0,55,28,28,18,8,13,12,51,65,114,138,136,94,104,133,133,116,118,146,114,117,168,180,205,194,270,229,249,177,189,147,152,192,216,279,356,328,344,268,122,107,81,51,26,33,17,16,9,11,7,16,40,24,23,14,31,31,24,25,20,34,22,31,27,26,30,37,106,346,731,1305,1032,964,913.0,903.0,873.0,663.0,374.0,280.0,177.0,65.0,77
Coquimbo,4.0,Combarbala,4302.0,13884.0,2,2,3,2,1,-,1,5,15,2,4,8,3,1,6,11,3,9,6,14,18,13,5,17,34,5,10,19,8,10,11,23,18,11,13,22,39,27,22,15,13,13,17,9,3,-,-,-,-,10,4,15,3,2,2,4,12,26,4,4,4,3,2,-,0,1,2,18,23,76,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Coquimbo,4.0,Monte Patria,4303.0,32527.0,15,8,3,8,3,2,11,2,14,15,23,25,17,32,33,28,18,43,22,30,27,41,50,91,62,42,51,61,56,34,35,45,48,61,56,92,69,63,70,55,38,23,20,20,7,6,6,5,8,1,-,8,3,3,2,9,6,12,5,6,1,8,2,3,2,7,7,25,76,167,245,210,272,192.0,151.0,163.0,133.0,96.0,53.0,23.0,14.0,12
Coquimbo,4.0,Punitaqui,4304.0,12165.0,4,1,5,5,3,4,7,3,10,14,13,12,8,9,8,10,7,21,12,12,12,15,18,24,13,24,33,20,27,19,19,15,23,29,70,66,46,49,22,12,6,15,7,7,1,-,3,1,3,-,-,2,9,10,8,13,2,3,6,5,2,-,2,4,3,3,5,19,20,74,106,56,67,98.0,85.0,80.0,55.0,40.0,26.0,15.0,8.0,11
Coquimbo,4.0,Rio Hurtado,4305.0,4372.0,-,-,1,1,-,-,-,-,-,1,1,3,-,2,7,2,9,1,10,6,-,2,6,4,2,3,7,10,6,4,6,10,10,9,17,26,7,8,8,14,5,3,-,-,-,-,-,-,2,1,1,-,-,2,-,-,-,-,4,3,1,-,-,-,0,1,1,2,7,28,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Valparaiso,5.0,Valparaiso,5101.0,315732.0,217,153,131,157,115,148,159,145,212,152,162,209,273,345,587,514,579,521,410,387,427,519,641,898,1155,1422,1254,1263,1074,930,824,743,587,538,624,693,650,618,535,491,414,207,181,120,112,82,76,58,44,27,26,30,45,73,110,134,176,-,-,302,332,245,203,-,0,224,338,862,1531,2520,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Valparaiso,5.0,Casablanca,5102.0,29170.0,25,7,5,7,2,8,10,13,21,14,15,19,38,31,51,71,50,34,39,32,14,25,43,40,55,102,68,70,66,53,21,30,50,61,76,105,58,56,26,36,42,13,9,1,1,-,1,2,1,-,-,-,2,-,7,13,28,11,23,9,13,5,14,10,13,17,16,56,104,354,427,322,391,202.0,228.0,136.0,135.0,81.0,82.0,47.0,45.0,51
Valparaiso,5.0,Concon,5103.0,45889.0,21,14,7,10,11,26,16,17,20,20,9,-,19,35,44,58,40,47,39,47,31,41,64,93,113,147,116,140,81,120,94,73,66,78,87,98,99,77,49,55,51,16,29,17,14,6,20,10,3,13,2,12,7,10,16,30,49,-,-,52,44,24,13,-,0,45,79,161,198,349,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Valparaiso,5.0,Juan Fernandez,5104.0,1033.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Valparaiso,5.0,Puchuncavi,5105.0,20071.0,3,2,4,6,4,3,5,6,3,6,1,14,13,6,7,8,9,4,6,14,20,12,25,33,53,60,58,63,44,29,23,27,47,31,60,58,43,53,39,17,26,15,8,2,7,9,5,4,1,3,3,5,20,17,33,28,22,32,31,34,28,14,8,-,0,5,21,73,89,89,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Valparaiso,5.0,Quintero,5107.0,36135.0,9,10,14,13,12,7,12,7,6,9,8,16,18,8,32,18,26,20,13,23,36,29,29,27,39,38,68,80,69,67,78,52,57,66,56,49,72,30,25,25,18,19,13,12,17,7,4,1,-,11,1,4,9,26,23,22,36,46,57,26,28,26,19,18,12,22,20,61,126,233,276,357,416,298.0,213.0,167.0,122.0,75.0,83.0,26.0,17.0,12
Valparaiso,5.0,Vina del Mar,5109.0,361371.0,230,177,160,135,103,138,127,197,183,220,232,299,181,389,666,560,566,550,530,471,509,561,666,870,1022,1381,1251,1369,1191,1262,1090,932,915,672,816,819,874,749,629,502,426,281,196,184,134,98,78,77,57,30,41,78,108,104,112,205,262,297,461,426,349,284,223,-,0,219,391,929,1601,2830,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Valparaiso,5.0,Isla de Pascua,5201.0,8277.0,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,-,1,-,2,3,2,1,-,4.0,12.0,4.0,4.0,0.0,1.0,0.0,0.0,0
Valparaiso,5.0,Los Andes,5301.0,68093.0,45,34,23,17,18,16,20,2,11,14,16,37,21,51,66,69,68,54,59,72,85,78,99,65,85,110,164,171,156,167,145,128,140,150,294,298,326,247,136,124,106,38,23,42,21,26,39,14,6,7,9,6,9,16,12,25,27,39,42,34,27,25,20,22,15,16,30,119,276,538,783,906,961,764.0,572.0,572.0,611.0,391.0,262.0,195.0,153.0,197
Valparaiso,5.0,Calle Larga,5302.0,16482.0,19,7,9,9,5,12,10,4,5,8,9,4,7,10,16,11,20,18,13,10,8,16,28,30,24,37,44,39,33,34,25,29,22,31,56,61,58,71,29,21,18,2,2,2,4,4,8,4,9,1,2,5,1,2,3,2,12,15,13,11,6,6,7,3,4,4,6,17,36,96,157,220,205,183.0,124.0,118.0,103.0,85.0,47.0,36.0,20.0,33
Valparaiso,5.0,Rinconada,5303.0,11263.0,8,8,6,4,1,2,-,-,4,4,1,6,3,5,2,1,6,12,5,22,7,17,16,11,14,12,18,27,16,28,39,28,23,22,31,57,66,53,44,20,19,14,10,2,-,4,4,-,2,3,1,1,1,1,4,4,1,5,8,1,-,4,-,7,1,2,3,9,36,99,189,185,154,100.0,131.0,91.0,81.0,77.0,60.0,53.0,35.0,40
Valparaiso,5.0,San Esteban,5304.0,20643.0,16,6,16,8,4,2,5,1,5,3,1,4,6,10,23,14,12,10,7,16,16,14,15,21,15,34,34,55,27,49,18,24,28,38,65,83,83,61,52,43,15,11,4,7,1,1,9,13,-,1,7,6,4,-,8,7,6,3,3,13,12,4,10,7,1,1,10,26,60,181,227,370,334,282.0,254.0,220.0,187.0,179.0,98.0,74.0,47.0,51
Valparaiso,5.0,La Ligua,5401.0,37739.0,48,27,13,12,10,4,5,5,11,9,14,16,17,53,68,22,40,40,54,41,69,61,45,51,68,79,90,69,75,67,43,38,56,70,98,77,93,124,82,79,43,46,31,22,16,13,6,11,6,5,4,12,23,40,70,35,44,33,33,33,20,11,17,14,6,9,26,51,115,309,486,413,411,261.0,231.0,191.0,150.0,56.0,32.0,17.0,19.0,31
Valparaiso,5.0,Cabildo,5402.0,20663.0,9,4,4,-,7,6,7,2,13,1,2,2,5,22,32,25,30,11,1,12,16,16,27,28,58,27,25,37,23,21,21,26,23,25,31,42,55,49,37,49,29,13,6,7,7,8,1,3,-,3,5,-,1,1,1,10,11,11,7,8,5,7,4,2,3,3,3,9,30,127,184,217,211,129.0,81.0,95.0,46.0,31.0,22.0,9.0,12.0,19
Valparaiso,5.0,Papudo,5403.0,6201.0,7,4,4,3,-,1,-,2,2,-,3,2,-,-,7,4,6,7,2,4,8,11,5,5,12,10,26,24,20,13,2,5,2,10,7,12,4,6,13,8,9,5,5,2,2,4,1,1,1,1,2,4,-,1,1,8,2,1,4,1,3,2,-,-,2,1,3,9,19,73,111,133,91,85.0,59.0,23.0,16.0,6.0,6.0,6.0,13.0,3
Valparaiso,5.0,Petorca,5404.0,10558.0,1,1,3,5,3,1,-,2,2,4,3,-,2,3,6,5,5,20,14,5,14,24,10,24,15,9,4,12,15,9,4,11,19,23,14,28,27,20,32,28,20,20,16,6,4,5,3,1,3,-,-,1,3,-,4,6,4,14,15,18,11,6,6,-,-,2,5,2,39,92,136,146,134,100.0,79.0,90.0,69.0,30.0,24.0,6.0,2.0,3
Valparaiso,5.0,Zapallar,5405.0,7994.0,3,2,3,1,-,-,2,3,4,3,1,4,5,4,25,18,22,6,6,3,10,3,4,7,10,19,28,20,18,11,4,8,4,17,34,24,17,19,13,18,12,4,-,6,1,3,4,-,-,3,1,2,3,1,8,4,4,7,15,14,8,-,2,2,4,7,18,80,85,97,148,114,129,97.0,75.0,79.0,37.0,42.0,21.0,19.0,12.0,6
Valparaiso,5.0,Quillota,5501.0,97572.0,26,35,30,29,13,21,18,14,20,35,41,48,32,55,69,85,83,76,78,88,63,132,199,227,292,275,320,352,267,250,168,190,205,171,219,234,239,219,170,117,92,66,61,43,44,40,23,25,15,17,18,28,27,20,40,57,68,92,62,53,20,31,34,28,25,18,46,108,295,778,1131,1033,912,729.0,621.0,499.0,419.0,229.0,147.0,95.0,88.0,65
