week,defunciones_2020,promedio_2016_2019,resta_def_prom,defunciones_covid_2020
1,2061,1867.5,193.5,0
2,2054,1843.5,210.5,0
3,1954,1910.25,43.75,0
4,2023,1932.75,90.25,0
5,1911,1922.25,-11.25,0
6,1928,1830.0,98.0,0
7,1942,1823.75,118.25,0
8,1859,1841.75,17.25,0
9,1869,1822.25,46.75,0
10,1983,1773.75,209.25,0
11,1972,1797.5,174.5,8
12,2000,1842.25,157.75,15
13,2093,1853.75,239.25,60
14,2024,1885.75,138.25,89
15,2036,1955.25,80.75,84
16,2111,1926.0,185.0,113
17,2079,2006.0,73.0,139
18,2304,1925.75,378.25,222
19,2414,2014.25,399.75,392
20,2829,2101.5,727.5,743
21,3390,2177.0,1213.0,1222
22,3797,2244.0,1553.0,1569
23,3977,2339.75,1637.25,1715
24,3796,2386.0,1410.0,1595
25,3531,2455.0,1076.0,1309
26,3172,2430.25,741.75,1129
27,2974,2358.0,616.0,941
28,2823,2377.25,445.75,806
29,2681,2459.75,221.25,699
30,2726,2373.5,352.5,653
31,2517,2322.0,195.0,544
32,2403,2275.25,127.75,484
33,2586,2232.5,353.5,534
34,2490,2158.0,332.0,477
35,2453,2179.5,273.5,471
36,2383,2188.5,194.5,432
37,2367,2192.75,174.25,431
38,2409,2189.75,219.25,416
39,2305,2099.25,205.75,424
40,2384,2045.0,339.0,401
41,2380,1996.0,384.0,399
42,2296,1988.25,307.75,384
43,2256,1952.5,303.5,361
44,2254,1952.5,301.5,373
45,2112,1927.25,184.75,314
46,2152,1932.0,220.0,309
47,2209,1891.0,318.0,345
48,2188,1880.75,307.25,324
49,2175,1861.25,313.75,319
50,2179,1914.0,265.0,338
51,2288,1889.75,398.25,395
52,1490,1184.75,305.25,240
