Sintomas,Hospitalización,2020-03-11,2020-03-14,2020-03-15,2020-03-16,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-06-12,2020-06-15,2020-06-19,2020-06-23,2020-06-28,2020-07-01,2020-07-05,2020-07-10,2020-07-13,2020-07-17,2020-07-24,2020-07-27,2020-07-31,2020-08-03,2020-08-07,2020-08-10,2020-08-14,2020-08-17,2020-08-21,2020-08-24,2020-08-28,2020-08-31,2020-09-04,2020-09-07,2020-09-11,2020-09-14,2020-09-18,2020-09-21,2020-09-25,2020-09-28,2020-10-02,2020-10-05,2020-10-09,2020-10-12,2020-10-16,2020-10-19,2020-10-24,2020-10-26,2020-10-30,2020-11-02,2020-11-06,2020-11-09,2020-11-13,2020-11-16,2020-11-20,2020-11-23,2020-11-27,2020-11-30,2020-12-04,2020-12-07,2020-12-11,2020-12-14,2020-12-18,2020-12-21,2020-12-25,2020-12-28,2021-01-01,2021-01-04,2021-01-08,2021-01-11,2021-01-15,2021-01-18,2021-01-22,2021-01-25,2021-01-29,2021-02-01,2021-02-05,2021-02-08,2021-02-12,2021-02-15,2021-02-19,2021-02-22,2021-02-26,2021-03-01,2021-03-05,2021-03-08,2021-03-12,2021-03-15,2021-03-19,2021-03-22,2021-03-26,2021-03-29,2021-04-02,2021-04-05,2021-04-09,2021-04-12,2021-04-16,2021-04-19,2021-04-23,2021-04-26,2021-04-30,2021-05-03,2021-05-07,2021-05-10,2021-05-14,2021-05-17,2021-05-21,2021-05-24,2021-05-28,2021-05-31,2021-06-04,2021-06-07,2021-06-11,2021-06-14,2021-06-18,2021-06-21,2021-06-25,2021-06-28,2021-07-02,2021-07-05,2021-07-09
Anosmia,SI,,,,,,,,,,,,,,,,,,,,,,,,,2479.0,2757.0,828.0,877.0,971.0,1013.0,1057.0,1130.0,1193.0,1231.0,1312.0,1350.0,1390.0,1404.0,1464.0,1662.0,1905.0,2062.0,2249.0,2275.0,2321.0,2347.0,2415.0,2473.0,2559.0,2595.0,2702.0,2717.0,2792.0,2832.0,2877.0,2877.0,2953.0,2983.0,3041.0,3060.0,3107.0,3124.0,3154.0,3162.0,3206.0,3214.0,3226.0,3234.0,3263.0,3270.0,3280.0,3288.0,3294.0,3298.0,3311.0,3317.0,3378.0,3425.0,3503.0,3513.0,3557.0,3568.0,3615.0,3667.0,3700.0,3722.0,3779.0,3819.0,3900.0,3925.0,3974.0,4001.0,4045.0,4095.0,4122.0,4145.0,4207.0,4278.0,4314.0,4367.0,4448.0,4511.0,4617.0,4657.0,4696.0,4764.0,4815.0,4862.0,5855.0,6103.0,39524.0,40463.0,41227.0,42059.0,42891.0,43710.0,44449.0,45175.0,45835.0,46536.0,47329.0,47987.0,48817.0,49691.0,50509.0,51393.0,52259.0,53074.0,54009.0,49128.0,55302.0,55770.0,56346.0,56683.0,57135
Ageusia,SI,,,,,,,,,,,,,,,,,,,,,,,,,1856.0,2057.0,697.0,744.0,821.0,846.0,893.0,951.0,1008.0,1045.0,1122.0,1153.0,1185.0,1203.0,1252.0,1441.0,1645.0,1788.0,1946.0,1977.0,2024.0,2053.0,2119.0,2171.0,2248.0,2283.0,2360.0,2371.0,2441.0,2482.0,2528.0,2528.0,2599.0,2628.0,2679.0,2693.0,2729.0,2747.0,2778.0,2789.0,2829.0,2836.0,2851.0,2855.0,2885.0,2891.0,2898.0,2907.0,2914.0,2916.0,2924.0,2930.0,2985.0,3023.0,3093.0,3101.0,3137.0,3147.0,3185.0,3239.0,3269.0,3290.0,3343.0,3382.0,3454.0,3470.0,3516.0,3536.0,3564.0,3608.0,3637.0,3651.0,3699.0,3758.0,3791.0,3823.0,3884.0,3937.0,4026.0,4062.0,4098.0,4151.0,4195.0,4229.0,5102.0,5336.0,424.0,500.0,588.0,663.0,762.0,832.0,910.0,974.0,1050.0,1116.0,1195.0,1243.0,1324.0,1422.0,1511.0,1614.0,1721.0,1796.0,1888.0,1612.0,2029.0,2096.0,2164.0,2209.0,2280
Disnea,SI,,,,,,34,49,62,80,86,99,120,141,149,176,202,226,248,264,285,308,342,358,365,1455.0,1629.0,7109.0,8192.0,8151.0,9321.0,9797.0,10352.0,10761.0,11056.0,11708.0,11957.0,12216.0,12379.0,12764.0,13438.0,14374.0,14834.0,15514.0,15737.0,16032.0,16237.0,16605.0,16920.0,17289.0,17452.0,18122.0,18233.0,18661.0,18852.0,19122.0,19122.0,19547.0,19694.0,19880.0,20017.0,20273.0,20365.0,20538.0,20634.0,20821.0,20889.0,21028.0,21118.0,21245.0,21281.0,21366.0,21426.0,21591.0,21635.0,21735.0,21816.0,22069.0,22243.0,22543.0,22613.0,22852.0,22949.0,23185.0,23397.0,23599.0,23809.0,24148.0,24453.0,24867.0,25085.0,25386.0,25569.0,25817.0,26021.0,26280.0,26463.0,26804.0,27189.0,27594.0,27916.0,28456.0,28808.0,29433.0,29723.0,30203.0,30578.0,31036.0,31413.0,34273.0,35039.0,471.0,580.0,692.0,787.0,891.0,994.0,1107.0,1209.0,1289.0,1386.0,1509.0,1599.0,1720.0,1845.0,1981.0,2107.0,2241.0,2370.0,2510.0,2008.0,2724.0,2797.0,2903.0,2959.0,3046
Diarrea,SI,,,,,,7,11,13,18,19,23,28,37,41,50,58,62,66,73,76,87,95,105,108,1100.0,1230.0,1415.0,1512.0,1635.0,1694.0,1785.0,1889.0,1988.0,2054.0,2211.0,2257.0,2300.0,2327.0,2411.0,2620.0,2926.0,3097.0,3311.0,3361.0,3453.0,3508.0,3589.0,3674.0,3795.0,3835.0,4016.0,4031.0,4174.0,4240.0,4315.0,4315.0,4426.0,4479.0,4553.0,4571.0,4638.0,4666.0,4708.0,4724.0,4779.0,4792.0,4821.0,4838.0,4880.0,4893.0,4909.0,4914.0,4933.0,4945.0,4965.0,4983.0,5055.0,5112.0,5242.0,5254.0,5314.0,5329.0,5391.0,5465.0,5504.0,5552.0,5642.0,5719.0,5848.0,5897.0,5973.0,6030.0,6111.0,6187.0,6245.0,6303.0,6402.0,6518.0,6616.0,6705.0,6855.0,6970.0,7148.0,7229.0,7319.0,7429.0,7535.0,7639.0,9106.0,9482.0,5465.0,5615.0,5738.0,5851.0,5973.0,6087.0,6189.0,6280.0,6378.0,6495.0,6609.0,6696.0,6796.0,6931.0,7040.0,7182.0,7305.0,7402.0,7521.0,6853.0,7727.0,7782.0,7884.0,7926.0,7985
Dolor torácico,SI,,,,,,11,16,17,22,23,26,32,34,36,46,57,63,71,75,84,92,97,103,105,849.0,934.0,1864.0,2006.0,2181.0,2283.0,2416.0,2595.0,2674.0,2761.0,2950.0,3004.0,3079.0,3122.0,3232.0,3498.0,3840.0,4056.0,4346.0,4407.0,4499.0,4563.0,4675.0,4782.0,4912.0,4950.0,5118.0,5143.0,5265.0,5333.0,5401.0,5401.0,5534.0,5581.0,5656.0,5677.0,5761.0,5782.0,5830.0,5854.0,5930.0,5946.0,5989.0,6006.0,6057.0,6067.0,6090.0,6102.0,6124.0,6137.0,6161.0,6180.0,6251.0,6317.0,6423.0,6435.0,6514.0,6541.0,6608.0,6677.0,6721.0,6771.0,6862.0,6950.0,7076.0,7131.0,7197.0,7245.0,7312.0,7376.0,7436.0,7476.0,7558.0,7673.0,7785.0,7845.0,7980.0,8084.0,8263.0,8329.0,8435.0,8513.0,8619.0,8707.0,9883.0,10178.0,35823.0,36409.0,36700.0,37193.0,37851.0,38299.0,38817.0,39245.0,39714.0,40143.0,40685.0,41088.0,41739.0,42349.0,42969.0,43666.0,44362.0,44899.0,45644.0,43967.0,46749.0,47135.0,47634.0,47944.0,48335
Dolor abdominal,SI,,,,,,3,4,4,7,7,9,12,16,17,21,27,27,27,32,38,43,50,52,53,626.0,720.0,1058.0,1160.0,1274.0,1317.0,1398.0,1499.0,1567.0,1617.0,1737.0,1774.0,1806.0,1828.0,1892.0,2051.0,2268.0,2399.0,2562.0,2615.0,2683.0,2733.0,2796.0,2855.0,2954.0,2997.0,3111.0,3122.0,3240.0,3292.0,3354.0,3354.0,3438.0,3474.0,3523.0,3549.0,3608.0,3624.0,3662.0,3672.0,3728.0,3741.0,3771.0,3784.0,3813.0,3828.0,3841.0,3850.0,3874.0,3886.0,3909.0,3922.0,3987.0,4041.0,4122.0,4138.0,4200.0,4211.0,4275.0,4332.0,4376.0,4414.0,4469.0,4537.0,4623.0,4654.0,4717.0,4753.0,4796.0,4839.0,4881.0,4919.0,4987.0,5071.0,5132.0,5201.0,5330.0,5423.0,5563.0,5630.0,5697.0,5655.0,5639.0,5636.0,6265.0,6237.0,45712.0,46634.0,47380.0,48171.0,48975.0,49765.0,50485.0,51170.0,51828.0,52501.0,53267.0,53900.0,54734.0,55620.0,56450.0,57353.0,58289.0,59039.0,59986.0,55149.0,61349.0,61816.0,62422.0,62777.0,63230
Taquipnea,SI,,,,,,10,15,18,25,27,33,39,48,52,61,69,80,91,95,100,108,121,125,126,531.0,600.0,2379.0,2547.0,2767.0,2895.0,3040.0,3225.0,3335.0,3427.0,3625.0,3682.0,3757.0,3792.0,3902.0,4071.0,4282.0,4383.0,4535.0,4589.0,4664.0,4719.0,4821.0,4887.0,4976.0,5022.0,5172.0,5199.0,5302.0,5350.0,5418.0,5418.0,5522.0,5564.0,5626.0,5666.0,5743.0,5775.0,5823.0,5854.0,5899.0,5923.0,5965.0,5984.0,6016.0,6025.0,6049.0,6070.0,6118.0,6133.0,6158.0,6182.0,6245.0,6294.0,6358.0,6380.0,6444.0,6473.0,6544.0,6597.0,6647.0,6712.0,6802.0,6887.0,7001.0,7062.0,7152.0,7212.0,7275.0,7342.0,7409.0,7461.0,7547.0,7651.0,7773.0,7867.0,8037.0,8158.0,8314.0,8408.0,8557.0,8686.0,8847.0,8969.0,9495.0,9673.0,43814.0,44649.0,45277.0,45977.0,46784.0,47463.0,48150.0,48765.0,49417.0,50027.0,50755.0,51330.0,52131.0,52936.0,53737.0,54652.0,55508.0,56246.0,57152.0,53387.0,58404.0,58831.0,59401.0,59718.0,60155
Cianosis,SI,,,,,,3,3,4,4,4,6,6,7,7,10,9,10,11,13,13,15,15,16,16,287.0,316.0,380.0,409.0,442.0,475.0,502.0,532.0,555.0,568.0,607.0,621.0,634.0,644.0,662.0,681.0,705.0,715.0,734.0,745.0,758.0,767.0,782.0,793.0,805.0,807.0,831.0,836.0,852.0,858.0,868.0,868.0,884.0,891.0,900.0,905.0,920.0,925.0,927.0,930.0,941.0,947.0,952.0,954.0,956.0,957.0,961.0,964.0,972.0,973.0,978.0,979.0,985.0,987.0,992.0,996.0,1003.0,1007.0,1022.0,1027.0,1038.0,1046.0,1055.0,1062.0,1075.0,1085.0,1101.0,1106.0,1113.0,1124.0,1134.0,1143.0,1161.0,1179.0,1193.0,1209.0,1230.0,1251.0,1268.0,1284.0,1305.0,1293.0,1286.0,1281.0,1300.0,1298.0,20045.0,20516.0,20956.0,21372.0,21804.0,22222.0,22607.0,22999.0,23321.0,23708.0,24109.0,24465.0,24921.0,25398.0,25846.0,26362.0,26857.0,27287.0,27823.0,24983.0,28502.0,28734.0,29050.0,29242.0,29496
Postración,SI,,,,,,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Congestión nasal,SI,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
