Sintomas,Hospitalización,2020-03-11,2020-03-14,2020-03-15,2020-03-16,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-06-12,2020-06-15,2020-06-19,2020-06-23,2020-06-28,2020-07-01,2020-07-05,2020-07-10,2020-07-13,2020-07-17,2020-07-24,2020-07-27,2020-07-31,2020-08-03,2020-08-07,2020-08-10,2020-08-14,2020-08-17,2020-08-21,2020-08-24,2020-08-28,2020-08-31,2020-09-04,2020-09-07,2020-09-11,2020-09-14,2020-09-18,2020-09-21,2020-09-25,2020-09-28,2020-10-02,2020-10-05,2020-10-09,2020-10-12,2020-10-16,2020-10-19,2020-10-24,2020-10-26,2020-10-30,2020-11-02,2020-11-06,2020-11-09,2020-11-13,2020-11-16,2020-11-20,2020-11-23,2020-11-27,2020-11-30,2020-12-04,2020-12-07,2020-12-11,2020-12-14,2020-12-18,2020-12-21,2020-12-25,2020-12-28,2021-01-01,2021-01-04,2021-01-08,2021-01-11,2021-01-15,2021-01-18,2021-01-22,2021-01-25,2021-01-29,2021-02-01,2021-02-05,2021-02-08,2021-02-12,2021-02-15,2021-02-19,2021-02-22,2021-02-26,2021-03-01,2021-03-05,2021-03-08,2021-03-12,2021-03-15,2021-03-19,2021-03-22,2021-03-26,2021-03-29,2021-04-02,2021-04-05,2021-04-09,2021-04-12,2021-04-16,2021-04-19,2021-04-23,2021-04-26,2021-04-30,2021-05-03,2021-05-07,2021-05-10,2021-05-14,2021-05-17,2021-05-21,2021-05-24,2021-05-28,2021-05-31,2021-06-04,2021-06-07,2021-06-11,2021-06-14,2021-06-18,2021-06-21,2021-06-25,2021-06-28,2021-07-02,2021-07-05,2021-07-09
Dolor abdominal,NO,-,-,-,-,16,,26,33,47,50,60,73,92,102,131,154,179,190,198,220,227,248,257,260,8105.0,9117.0,12594.0,14121.0,15692.0,16406.0,17502.0,18601.0,19172.0,19769.0,20577.0,20911.0,21278.0,21570.0,22136.0,22379.0,22727.0,22961.0,23266.0,23545.0,23955.0,24227.0,24667.0,24978.0,25336.0,25619.0,25836.0,26085.0,26461.0,26756.0,27137.0,27137.0,27632.0,27867.0,28164.0,28430.0,28839.0,29000.0,29310.0,29554.0,29851.0,30107.0,30410.0,30696.0,31061.0,31317.0,31676.0,31963.0,32326.0,32597.0,32971.0,33320.0,33699.0,34009.0,34451.0,34761.0,35391.0,35800.0,36723.0,37332.0,38299.0,38979.0,39971.0,40660.0,41667.0,42351.0,43259.0,43881.0,44732.0,45367.0,46194.0,46909.0,47997.0,48930.0,50233.0,51298.0,52893.0,54038.0,55894.0,57261.0,58972.0,57887.0,57538.0,57364.0,56574.0,56421.0,56274.0,56240.0,56080.0,56028.0,55860.0,55809.0,55722.0,55681.0,55603.0,55587.0,55444.0,55366.0,55286.0,55248.0,55135.0,54833.0,54735.0,54662.0,54574.0,54643.0,54185.0,54113.0,53989.0,53881.0,53755
Taquipnea,NO,-,-,-,-,16,,27,31,42,51,62,80,99,107,128,142,161,178,187,190,194,205,209,211,1626.0,1836.0,2459.0,2789.0,3024.0,3155.0,3342.0,3534.0,3623.0,3731.0,3842.0,3872.0,3926.0,3950.0,3974.0,3903.0,3800.0,3788.0,3740.0,3765.0,3783.0,3804.0,3800.0,3810.0,3803.0,3814.0,3800.0,3837.0,3829.0,3836.0,3846.0,3846.0,3857.0,3859.0,3861.0,3870.0,3884.0,3886.0,3913.0,3929.0,3933.0,3954.0,3970.0,3989.0,4008.0,4027.0,4058.0,4087.0,4101.0,4120.0,4148.0,4173.0,4175.0,4174.0,4175.0,4199.0,4246.0,4280.0,4332.0,4350.0,4423.0,4474.0,4536.0,4571.0,4618.0,4659.0,4720.0,4781.0,4840.0,4854.0,4908.0,4945.0,4993.0,5070.0,5150.0,5230.0,5334.0,5406.0,5508.0,5608.0,5745.0,5843.0,5978.0,6076.0,5923.0,5991.0,6135.0,6237.0,6290.0,6339.0,6466.0,6500.0,6595.0,6647.0,6756.0,6821.0,6926.0,7008.0,7112.0,7184.0,7322.0,7426.0,7550.0,7614.0,7712.0,8098.0,7843.0,7892.0,7952.0,8000.0,8053
Cianosis,NO,-,-,-,-,1,,3,4,4,6,9,9,10,10,15,16,17,18,22,23,23,23,23,24,147.0,162.0,229.0,269.0,292.0,304.0,317.0,334.0,341.0,342.0,351.0,348.0,347.0,352.0,349.0,340.0,329.0,327.0,322.0,325.0,331.0,331.0,332.0,328.0,329.0,334.0,330.0,333.0,335.0,337.0,339.0,339.0,340.0,341.0,343.0,342.0,341.0,341.0,343.0,344.0,344.0,346.0,348.0,347.0,350.0,350.0,356.0,358.0,360.0,363.0,365.0,367.0,364.0,369.0,367.0,366.0,374.0,377.0,383.0,386.0,392.0,392.0,402.0,405.0,407.0,412.0,417.0,424.0,433.0,433.0,444.0,446.0,451.0,460.0,474.0,479.0,490.0,503.0,503.0,510.0,521.0,514.0,513.0,511.0,492.0,490.0,492.0,491.0,477.0,475.0,474.0,474.0,474.0,473.0,471.0,471.0,469.0,469.0,468.0,468.0,466.0,466.0,466.0,464.0,465.0,470.0,463.0,463.0,463.0,461.0,461
Postración,NO,-,-,-,-,5,,5,5,6,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Congestión nasal,NO,2,6,10,12,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cefalea,SI,,,,,,48,60,65,83,86,95,115,133,139,166,184,199,209,228,256,297,346,374,380,8309.0,9291.0,5653.0,5990.0,6409.0,6597.0,6887.0,7250.0,7522.0,7727.0,8208.0,8366.0,8531.0,8626.0,8929.0,9991.0,11389.0,12185.0,13230.0,13433.0,13761.0,14032.0,14438.0,14802.0,15280.0,15470.0,16165.0,16237.0,16760.0,17019.0,17347.0,17347.0,17818.0,17993.0,18271.0,18358.0,18682.0,18773.0,18997.0,19049.0,19306.0,19361.0,19481.0,19543.0,19726.0,19756.0,19815.0,19853.0,19907.0,19944.0,20003.0,20048.0,20396.0,20687.0,21227.0,21278.0,21585.0,21646.0,21860.0,22171.0,22339.0,22518.0,22852.0,23138.0,23655.0,23821.0,24108.0,24275.0,24540.0,24819.0,25051.0,25225.0,25601.0,26067.0,26392.0,26700.0,27249.0,27704.0,28440.0,28704.0,29033.0,29457.0,29798.0,30120.0,36860.0,38520.0,442.0,537.0,629.0,713.0,809.0,887.0,978.0,1063.0,1146.0,1217.0,1308.0,1373.0,1476.0,1577.0,1682.0,1787.0,1886.0,1964.0,2076.0,1777.0,2240.0,2294.0,2373.0,2419.0,2490
Tos,SI,,,,,,103,129,147,173,180,200,234,273,284,318,362,390,418,451,489,548,619,674,684,6813.0,7580.0,10501.0,11214.0,12027.0,12411.0,9797.0,13639.0,14112.0,14507.0,15361.0,15673.0,15994.0,16209.0,16800.0,18315.0,20282.0,21347.0,22732.0,23101.0,23599.0,23993.0,24646.0,25203.0,25912.0,26217.0,27267.0,27400.0,28216.0,28554.0,29043.0,29043.0,29756.0,30043.0,30438.0,30594.0,31094.0,31255.0,31579.0,31695.0,32067.0,32164.0,32356.0,32468.0,32744.0,32796.0,32905.0,32970.0,33118.0,33183.0,33325.0,33415.0,33876.0,34276.0,34978.0,35069.0,35491.0,35617.0,35970.0,36394.0,36665.0,36953.0,37457.0,37945.0,38646.0,38924.0,39349.0,39610.0,40016.0,40393.0,40768.0,41012.0,41570.0,42251.0,42785.0,43245.0,44073.0,44674.0,45717.0,46120.0,46676.0,47275.0,47830.0,48339.0,56199.0,58258.0,1321.0,1639.0,1943.0,2201.0,2500.0,2812.0,3079.0,3367.0,3619.0,3911.0,4230.0,4511.0,4853.0,5254.0,5620.0,6031.0,6425.0,6791.0,7297.0,5679.0,7994.0,8244.0,8570.0,8774.0,9040
Mialgia,SI,,,,,,71,88,97,116,118,132,154,174,181,212,243,257,274,295,314,361,422,456,462,5872.0,6586.0,7109.0,7600.0,8966.0,8424.0,12981.0,9238.0,9582.0,9840.0,10431.0,10636.0,10839.0,10971.0,11368.0,12635.0,14258.0,15136.0,16314.0,16553.0,16937.0,17246.0,17726.0,18158.0,18721.0,18938.0,19723.0,19813.0,20416.0,20699.0,21093.0,21093.0,21616.0,21817.0,22143.0,22245.0,22624.0,22733.0,23006.0,23078.0,23364.0,23435.0,23570.0,23656.0,23880.0,23917.0,23998.0,24047.0,24118.0,24149.0,24222.0,24275.0,24686.0,25038.0,25626.0,25683.0,26016.0,26098.0,26374.0,26758.0,26958.0,27147.0,27559.0,27929.0,28507.0,28727.0,29073.0,29259.0,29570.0,29897.0,30186.0,30390.0,30824.0,31369.0,31754.0,32099.0,32741.0,33256.0,34113.0,34432.0,34830.0,35296.0,35632.0,35968.0,43121.0,44742.0,277.0,332.0,391.0,443.0,510.0,565.0,633.0,673.0,714.0,772.0,825.0,869.0,920.0,982.0,1062.0,1132.0,1216.0,1287.0,1378.0,1171.0,1509.0,1548.0,1621.0,1649.0,1707
Fiebre,SI,,,,,,98,122,141,171,178,195,231,264,274,320,357,381,405,439,463,528,598,648,657,5597.0,6285.0,8523.0,9084.0,9708.0,9997.0,10408.0,10879.0,11213.0,11482.0,12120.0,12347.0,12559.0,12695.0,13077.0,14182.0,15529.0,16245.0,17289.0,17544.0,17901.0,18162.0,18578.0,18946.0,19426.0,19650.0,20376.0,20471.0,20982.0,21241.0,21553.0,21553.0,22038.0,22233.0,22479.0,22601.0,22940.0,23052.0,23270.0,23348.0,23608.0,23695.0,23845.0,23924.0,24118.0,24170.0,24257.0,24309.0,24436.0,24494.0,24596.0,24680.0,25068.0,25349.0,25810.0,25870.0,26157.0,26230.0,26518.0,26830.0,27012.0,27227.0,27618.0,27936.0,28458.0,28653.0,28980.0,29148.0,29430.0,29686.0,29976.0,30138.0,30547.0,31043.0,31444.0,31801.0,32380.0,32832.0,33604.0,33911.0,34328.0,34774.0,35197.0,35593.0,41316.0,42784.0,1016.0,1234.0,1445.0,1612.0,1820.0,1999.0,2173.0,2362.0,2519.0,2691.0,2889.0,3053.0,3258.0,3465.0,3673.0,3906.0,4157.0,4382.0,4644.0,3967.0,4989.0,5141.0,5331.0,5436.0,5571
Odinofagia,SI,,,,,,48,54,63,75,80,87,100,112,118,144,159,174,185,201,215,245,279,307,311,4444.0,4981.0,3054.0,3215.0,3366.0,3438.0,3561.0,3725.0,3851.0,3961.0,4171.0,4242.0,4313.0,4350.0,4503.0,5001.0,5700.0,6128.0,6667.0,6777.0,6917.0,7055.0,7267.0,7451.0,7707.0,7792.0,8110.0,8138.0,8402.0,8512.0,8693.0,8693.0,8930.0,9023.0,9155.0,9199.0,9369.0,9409.0,9523.0,9550.0,9692.0,9722.0,9780.0,9799.0,9899.0,9910.0,9933.0,9947.0,9971.0,9988.0,10019.0,10048.0,10211.0,10361.0,10632.0,10650.0,10788.0,10817.0,10932.0,11091.0,11180.0,11261.0,11429.0,11589.0,11860.0,11941.0,12080.0,12163.0,12287.0,12432.0,12531.0,12620.0,12791.0,13033.0,13171.0,13306.0,13597.0,13808.0,14164.0,14282.0,14422.0,14618.0,14790.0,14921.0,18557.0,19512.0,59624.0,60835.0,61708.0,62733.0,63880.0,64918.0,65894.0,66830.0,67719.0,68614.0,69654.0,70520.0,71722.0,72937.0,74084.0,75361.0,76679.0,77804.0,79177.0,73506.0,81187.0,81896.0,82835.0,83404.0,84169
