Region,Codigo region,Comuna,Codigo comuna,Poblacion,202007,202008,202009,202010,202011,202012,202013,202014,202015,202016,202017,202018,202019,202020,202021,202022,202023,202024,202025,202026,202027,202028,202029,202030,202031,202032,202033,202034,202035,202036,202037,202038,202039,202040,202041,202042,202043,202044,202045,202046,202047,202048,202049,202050,202051,202052,202053,202101,202102,202103,202104,202105,202106,202107,202108,202109,202110,202111,202112,202113,202114,202115,202116,202117,202118,202119,202120,202121,202122,202123,202124,202125,202126,202127
Tarapaca,01,Colchane,01403,1583.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,9.0,17.0,15.0,15.0,8.0,8.0,3.0,11.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,3.0,3.0,0.0,4.0,1.0,0.0,0.0,1.0,3.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0
Tarapaca,01,Huara,01404,3000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,2.0,10.0,7.0,8.0,7.0,4.0,6.0,10.0,12.0,8.0,19.0,4.0,3.0,6.0,6.0,3.0,6.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,2.0,2.0,10.0,10.0,1.0,0.0,5.0,9.0,3.0,1.0,1.0,8.0,16.0,29.0,2.0,7.0,20.0,13.0,6.0,4.0,4.0,3.0,3.0,10.0,9.0,5.0,4.0,1.0,4.0,2.0,6.0,0.0,6.0,6.0,7.0,0.0,4.0,6.0
Tarapaca,01,Iquique,01101,223463.0,0,0.0,0.0,0.0,0.0,9.0,7.0,15.0,11.0,20.0,42.0,102.0,256.0,401.0,501.0,454.0,441.0,443.0,408.0,338.0,328.0,284.0,277.0,334.0,260.0,249.0,207.0,174.0,145.0,137.0,131.0,102.0,101.0,121.0,81.0,104.0,145.0,129.0,142.0,116.0,129.0,158.0,163.0,230.0,314.0,431.0,670.0,990.0,836.0,744.0,586.0,494.0,540.0,495.0,428.0,501.0,593.0,761.0,802.0,838.0,765.0,610.0,560.0,511.0,483.0,439.0,347.0,312.0,286.0,317.0,254.0,210.0,135.0,35.0
Tarapaca,01,Pica,01405,5958.0,0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,14.0,10.0,0.0,1.0,4.0,1.0,7.0,8.0,10.0,10.0,10.0,14.0,43.0,37.0,24.0,24.0,19.0,25.0,29.0,17.0,17.0,6.0,4.0,4.0,4.0,4.0,2.0,1.0,2.0,4.0,10.0,4.0,1.0,1.0,2.0,2.0,3.0,2.0,3.0,32.0,21.0,22.0,16.0,13.0,12.0,23.0,18.0,18.0,22.0,14.0,6.0,7.0,16.0,20.0,17.0,12.0,9.0,12.0,14.0,13.0,19.0,14.0,13.0,9.0,4.0,0.0
Tarapaca,01,Pozo Almonte,01401,17395.0,0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,5.0,15.0,38.0,58.0,92.0,92.0,58.0,32.0,74.0,55.0,48.0,43.0,128.0,57.0,43.0,47.0,39.0,22.0,13.0,8.0,9.0,13.0,6.0,13.0,8.0,14.0,26.0,31.0,3.0,9.0,21.0,14.0,16.0,20.0,23.0,43.0,43.0,42.0,41.0,50.0,53.0,30.0,27.0,25.0,25.0,14.0,36.0,34.0,35.0,44.0,32.0,37.0,13.0,13.0,9.0,25.0,17.0,15.0,19.0,10.0,3.0,2.0
Tarapaca,01,Desconocido Tarapaca,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,17.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Tarapaca,01,Total,,382773.0,0.0,0.0,0.0,0.0,0.0,12.0,14.0,30.0,39.0,54.0,82.0,226.0,406.0,700.0,875.0,844.0,808.0,761.0,646.0,566.0,577.0,491.0,478.0,531.0,557.0,464.0,463.0,347.0,316.0,244.0,221.0,162.0,168.0,186.0,151.0,177.0,229.0,203.0,266.0,222.0,192.0,231.0,276.0,377.0,519.0,685.0,1031.0,1544.0,1365.0,1239.0,961.0,809.0,893.0,805.0,673.0,746.0,886.0,1092.0,1150.0,1215.0,1234.0,1011.0,934.0,863.0,804.0,694.0,591.0,566.0,512.0,530.0,471.0,380.0,240.0,74.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antofagasta,02,Antofagasta,02101,425725.0,0,0.0,0.0,1.0,2.0,26.0,32.0,41.0,56.0,109.0,160.0,214.0,310.0,310.0,301.0,341.0,470.0,581.0,676.0,765.0,871.0,714.0,566.0,563.0,632.0,546.0,458.0,376.0,376.0,318.0,264.0,210.0,227.0,248.0,248.0,216.0,197.0,182.0,149.0,120.0,106.0,121.0,129.0,237.0,324.0,444.0,835.0,1487.0,1584.0,1334.0,1248.0,1252.0,935.0,904.0,809.0,740.0,791.0,818.0,737.0,705.0,686.0,661.0,540.0,475.0,453.0,449.0,455.0,561.0,522.0,492.0,417.0,423.0,234.0,50.0
Antofagasta,02,Calama,02201,190336.0,0,0.0,1.0,0.0,2.0,4.0,3.0,8.0,16.0,16.0,39.0,51.0,89.0,231.0,280.0,445.0,776.0,933.0,847.0,693.0,635.0,449.0,348.0,263.0,190.0,181.0,153.0,112.0,127.0,115.0,80.0,66.0,91.0,67.0,39.0,23.0,42.0,23.0,28.0,37.0,42.0,26.0,22.0,19.0,39.0,48.0,92.0,210.0,267.0,226.0,227.0,248.0,282.0,246.0,277.0,275.0,277.0,301.0,286.0,453.0,483.0,469.0,408.0,339.0,401.0,461.0,471.0,452.0,412.0,343.0,303.0,285.0,156.0,50.0
Antofagasta,02,Maria Elena,02302,6814.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,16.0,44.0,44.0,30.0,13.0,12.0,10.0,7.0,38.0,29.0,27.0,7.0,14.0,8.0,12.0,7.0,1.0,2.0,3.0,4.0,3.0,0.0,1.0,0.0,0.0,5.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,6.0,6.0,4.0,2.0,3.0,2.0,12.0,46.0,30.0,14.0,14.0,2.0,2.0,1.0,8.0,9.0,9.0,13.0,13.0,9.0,6.0,8.0,14.0,9.0,9.0,4.0,15.0,12.0,13.0,1.0,1.0
