SEREMI notificacion,Codigo region,202007,202008,202009,202010,202011,202012,202013,202014,202015,202016,202017,202018,202019,202020,202021,202022
Arica y Parinacota,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tarapaca,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antofagasta,02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atacama,03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coquimbo,04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valparaiso,05,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Metropolitana,13,0,0,0,0,1,0,0,0,0,1,1,2,2,1,1,0
Del Libertador General Bernardo O’Higgins,06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maule,07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nuble,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biobio,08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Araucania,09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Los Rios,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Los Lagos,10,0,0,0,0,9,10,1,1,0,0,0,0,0,0,0,0
Aysen,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Magallanes y la Antartica,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
