Region,Codigo region,Comuna,Codigo comuna,Poblacion,202007,202008,202009,202010,202011,202012,202013,202014,202015,202016,202017,202018,202019,202020,202021,202022,202023,202024,202025,202026,202027,202028,202029,202030,202031,202032,202033,202034,202035,202036,202037,202038,202039,202040,202041,202042,202043,202044,202045,202046,202047,202048,202049,202050,202051,202052,202053,202101,202102,202103,202104,202105,202106,202107
Tarapaca,01,Iquique,01101,223463.0,0,0.0,0.0,0.0,0.0,9.0,7.0,15.0,11.0,20.0,42.0,102.0,257.0,402.0,502.0,462.0,447.0,462.0,421.0,348.0,337.0,289.0,282.0,363.0,316.0,319.0,274.0,261.0,227.0,199.0,206.0,162.0,145.0,181.0,137.0,159.0,208.0,178.0,186.0,160.0,170.0,217.0,213.0,295.0,455.0,542.0,842.0,1211.0,1041.0,959.0,806.0,633.0,599.0,158.0
Tarapaca,01,Pica,01405,5958.0,0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,14.0,10.0,0.0,1.0,4.0,1.0,7.0,8.0,10.0,10.0,10.0,14.0,43.0,38.0,24.0,24.0,31.0,34.0,47.0,25.0,29.0,9.0,8.0,5.0,6.0,8.0,3.0,1.0,2.0,4.0,17.0,7.0,1.0,2.0,2.0,4.0,5.0,2.0,3.0,48.0,31.0,38.0,24.0,16.0,12.0,8.0
Tarapaca,01,Pozo Almonte,01401,17395.0,0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,5.0,15.0,38.0,58.0,93.0,104.0,63.0,36.0,76.0,56.0,48.0,43.0,129.0,58.0,43.0,51.0,39.0,25.0,16.0,5.0,10.0,14.0,12.0,13.0,10.0,17.0,30.0,39.0,5.0,9.0,20.0,15.0,20.0,24.0,34.0,56.0,53.0,55.0,50.0,52.0,48.0,2.0
Tarapaca,01,Desconocido Tarapaca,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,94.0,29.0,25.0,25.0,30.0,25.0,20.0,21.0,15.0,16.0,33.0,34.0,17.0,16.0,13.0,11.0,13.0,10.0,15.0,40.0,64.0,80.0,85.0,25.0,15.0,10.0,13.0,5.0,5.0,3.0,2.0,2.0,2.0,4.0,2.0,5.0,7.0,5.0,10.0,3.0,1.0,6.0
Tarapaca,01,Total,,382773.0,0.0,0.0,0.0,0.0,0.0,12.0,14.0,30.0,40.0,54.0,84.0,230.0,503.0,727.0,904.0,889.0,864.0,831.0,704.0,627.0,618.0,543.0,525.0,620.0,677.0,600.0,614.0,506.0,478.0,380.0,363.0,286.0,321.0,365.0,319.0,294.0,338.0,283.0,355.0,308.0,258.0,317.0,360.0,502.0,714.0,866.0,1324.0,1929.0,1709.0,1578.0,1307.0,1035.0,966.0,230.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antofagasta,02,Antofagasta,02101,425725.0,0,0.0,0.0,1.0,2.0,27.0,32.0,40.0,56.0,111.0,160.0,216.0,312.0,312.0,302.0,347.0,491.0,594.0,700.0,794.0,911.0,756.0,582.0,582.0,677.0,627.0,526.0,437.0,424.0,347.0,286.0,229.0,248.0,277.0,285.0,263.0,233.0,199.0,182.0,148.0,121.0,131.0,142.0,255.0,356.0,478.0,869.0,1569.0,1742.0,1523.0,1331.0,1301.0,923.0,171.0
Antofagasta,02,Calama,02201,190336.0,0,0.0,1.0,0.0,2.0,3.0,3.0,8.0,16.0,16.0,39.0,52.0,91.0,233.0,280.0,449.0,803.0,980.0,913.0,740.0,672.0,466.0,353.0,269.0,203.0,195.0,184.0,132.0,144.0,117.0,76.0,64.0,94.0,74.0,38.0,24.0,49.0,31.0,27.0,40.0,44.0,29.0,27.0,19.0,42.0,50.0,93.0,217.0,270.0,231.0,240.0,243.0,260.0,43.0
Antofagasta,02,Maria Elena,02302,6814.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,16.0,44.0,44.0,30.0,13.0,12.0,11.0,7.0,41.0,29.0,27.0,7.0,14.0,8.0,12.0,7.0,1.0,2.0,3.0,4.0,3.0,0.0,1.0,0.0,0.0,5.0,3.0,1.0,2.0,0.0,0.0,0.0,1.0,5.0,6.0,4.0,2.0,3.0,2.0,12.0,51.0,32.0,13.0,3.0
Antofagasta,02,Mejillones,02102,14776.0,0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,15.0,17.0,30.0,77.0,46.0,52.0,19.0,19.0,10.0,18.0,39.0,50.0,25.0,17.0,10.0,23.0,24.0,9.0,22.0,16.0,14.0,8.0,19.0,17.0,7.0,7.0,15.0,10.0,14.0,11.0,5.0,9.0,7.0,15.0,23.0,31.0,25.0,25.0,30.0,98.0,95.0,112.0,103.0,70.0,76.0,19.0
