Region,Codigo region,Comuna,Codigo comuna,Poblacion,202007,202008,202009,202010,202011,202012,202013,202014,202015,202016,202017,202018,202019,202020,202021,202022,202023,202024,202025,202026,202027,202028,202029,202030,202031,202032,202033,202034,202035,202036,202037,202038,202039,202040,202041,202042,202043,202044,202045,202046,202047,202048,202049,202050,202051,202052,202053,202101,202102,202103,202104,202105,202106,202107,202108,202109,202110,202111,202112,202113,202114,202115,202116,202117,202118,202119,202120,202121,202122,202123,202124,202125,202126
Tarapaca,01,Colchane,01403,1583.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,9.0,17.0,15.0,15.0,10.0,8.0,3.0,11.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,3.0,3.0,0.0,4.0,1.0,0.0,1.0,1.0,3.0,4.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0
Tarapaca,01,Huara,01404,3000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,2.0,10.0,7.0,9.0,11.0,6.0,9.0,12.0,16.0,21.0,19.0,4.0,3.0,6.0,7.0,4.0,8.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,3.0,2.0,11.0,10.0,1.0,0.0,5.0,9.0,4.0,1.0,1.0,8.0,21.0,33.0,2.0,8.0,23.0,17.0,7.0,4.0,4.0,6.0,3.0,10.0,14.0,5.0,4.0,1.0,4.0,2.0,7.0,1.0,11.0,9.0,9.0,0.0,0.0
Tarapaca,01,Iquique,01101,223463.0,0,0.0,0.0,0.0,0.0,9.0,7.0,15.0,11.0,20.0,42.0,102.0,257.0,402.0,502.0,460.0,444.0,461.0,419.0,347.0,336.0,289.0,283.0,361.0,314.0,316.0,273.0,260.0,224.0,195.0,202.0,169.0,146.0,180.0,135.0,159.0,206.0,180.0,184.0,160.0,172.0,219.0,214.0,294.0,450.0,543.0,845.0,1210.0,1032.0,957.0,812.0,646.0,655.0,668.0,539.0,614.0,725.0,876.0,942.0,964.0,946.0,754.0,723.0,625.0,610.0,557.0,477.0,404.0,371.0,436.0,360.0,258.0,49.0
Tarapaca,01,Pica,01405,5958.0,0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,14.0,10.0,0.0,1.0,4.0,1.0,7.0,8.0,10.0,10.0,10.0,14.0,43.0,38.0,24.0,24.0,31.0,34.0,47.0,25.0,28.0,9.0,7.0,6.0,6.0,8.0,3.0,1.0,2.0,4.0,17.0,7.0,1.0,2.0,2.0,4.0,5.0,2.0,3.0,48.0,31.0,37.0,24.0,16.0,13.0,25.0,19.0,19.0,25.0,19.0,7.0,12.0,16.0,21.0,19.0,14.0,9.0,15.0,21.0,18.0,24.0,15.0,15.0,15.0,2.0
Tarapaca,01,Pozo Almonte,01401,17395.0,0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,5.0,15.0,38.0,58.0,93.0,104.0,62.0,35.0,75.0,56.0,48.0,43.0,129.0,58.0,43.0,50.0,39.0,24.0,15.0,8.0,10.0,14.0,12.0,13.0,10.0,17.0,30.0,39.0,5.0,9.0,21.0,15.0,20.0,25.0,33.0,57.0,53.0,55.0,52.0,54.0,58.0,36.0,33.0,37.0,27.0,15.0,41.0,37.0,46.0,50.0,39.0,49.0,16.0,19.0,13.0,30.0,26.0,44.0,32.0,16.0,2.0
Tarapaca,01,Desconocido Tarapaca,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,94.0,29.0,25.0,25.0,30.0,26.0,18.0,20.0,16.0,16.0,33.0,34.0,16.0,16.0,13.0,11.0,13.0,10.0,15.0,40.0,64.0,80.0,85.0,25.0,9.0,3.0,11.0,1.0,4.0,1.0,1.0,0.0,2.0,2.0,1.0,6.0,7.0,4.0,2.0,1.0,5.0,2.0,2.0,5.0,3.0,3.0,1.0,7.0,9.0,15.0,54.0,19.0,12.0,6.0,2.0,1.0,7.0,2.0,3.0,2.0,3.0
Tarapaca,01,Total,,382773.0,0.0,0.0,0.0,0.0,0.0,12.0,14.0,30.0,40.0,54.0,83.0,230.0,503.0,729.0,904.0,885.0,861.0,831.0,698.0,622.0,615.0,544.0,526.0,618.0,672.0,595.0,612.0,501.0,471.0,375.0,357.0,302.0,320.0,365.0,317.0,294.0,332.0,278.0,349.0,304.0,257.0,316.0,360.0,496.0,710.0,866.0,1319.0,1932.0,1698.0,1577.0,1309.0,1068.0,1100.0,1058.0,865.0,933.0,1090.0,1266.0,1395.0,1440.0,1544.0,1314.0,1279.0,1117.0,1064.0,931.0,811.0,737.0,693.0,735.0,671.0,476.0,90.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antofagasta,02,Antofagasta,02101,425725.0,0,0.0,0.0,1.0,2.0,26.0,32.0,41.0,56.0,109.0,160.0,215.0,312.0,312.0,302.0,345.0,486.0,593.0,700.0,790.0,910.0,756.0,582.0,579.0,676.0,624.0,520.0,427.0,416.0,357.0,292.0,228.0,243.0,273.0,281.0,259.0,230.0,198.0,182.0,143.0,115.0,130.0,141.0,254.0,355.0,476.0,874.0,1557.0,1749.0,1531.0,1415.0,1442.0,1107.0,1026.0,964.0,896.0,973.0,1009.0,906.0,872.0,881.0,824.0,693.0,567.0,546.0,529.0,543.0,660.0,639.0,614.0,564.0,496.0,94.0
Antofagasta,02,Calama,02201,190336.0,0,0.0,1.0,0.0,2.0,4.0,3.0,8.0,16.0,16.0,39.0,52.0,91.0,233.0,281.0,448.0,801.0,980.0,913.0,736.0,671.0,467.0,353.0,269.0,203.0,194.0,182.0,131.0,134.0,117.0,85.0,68.0,96.0,74.0,41.0,24.0,49.0,30.0,29.0,39.0,44.0,29.0,28.0,19.0,41.0,50.0,93.0,216.0,272.0,233.0,251.0,273.0,309.0,269.0,303.0,310.0,308.0,336.0,324.0,486.0,541.0,519.0,453.0,378.0,425.0,501.0,504.0,486.0,459.0,373.0,319.0,293.0,62.0
