Region,Codigo region,Comuna,Codigo comuna,Poblacion,202007,202008,202009,202010,202011,202012,202013,202014,202015,202016,202017,202018,202019,202020,202021,202022,202023,202024,202025,202026,202027,202028,202029,202030,202031,202032,202033,202034,202035,202036,202037,202038,202039,202040,202041,202042,202043,202044,202045,202046,202047,202048,202049,202050,202051,202052,202053,202101,202102,202103,202104,202105,202106,202107,202108,202109,202110,202111,202112
Tarapaca,01,Huara,01404,3000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,2.0,10.0,7.0,8.0,7.0,4.0,6.0,10.0,12.0,8.0,19.0,4.0,3.0,6.0,6.0,3.0,6.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,2.0,2.0,10.0,10.0,1.0,0.0,5.0,9.0,3.0,1.0,1.0,8.0,16.0,29.0,2.0,8.0,20.0,13.0,6.0,4.0,4.0,2.0,0.0
Tarapaca,01,Iquique,01101,223463.0,0,0.0,0.0,0.0,0.0,9.0,7.0,15.0,11.0,20.0,42.0,102.0,256.0,401.0,501.0,455.0,441.0,443.0,408.0,338.0,328.0,285.0,277.0,334.0,260.0,247.0,208.0,172.0,144.0,140.0,133.0,97.0,99.0,119.0,81.0,102.0,147.0,128.0,141.0,115.0,129.0,157.0,165.0,231.0,314.0,431.0,668.0,989.0,834.0,745.0,584.0,495.0,539.0,495.0,425.0,500.0,588.0,695.0,158.0
Tarapaca,01,Pica,01405,5958.0,0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,14.0,10.0,0.0,1.0,4.0,1.0,7.0,8.0,10.0,10.0,10.0,14.0,43.0,37.0,24.0,24.0,19.0,25.0,29.0,17.0,17.0,6.0,4.0,4.0,4.0,4.0,2.0,1.0,2.0,4.0,10.0,4.0,1.0,1.0,2.0,2.0,3.0,2.0,3.0,32.0,21.0,22.0,16.0,13.0,12.0,23.0,18.0,19.0,22.0,14.0,2.0
Tarapaca,01,Pozo Almonte,01401,17395.0,0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,5.0,15.0,38.0,58.0,92.0,92.0,58.0,32.0,74.0,55.0,48.0,43.0,128.0,57.0,43.0,47.0,39.0,22.0,13.0,8.0,9.0,13.0,6.0,13.0,8.0,14.0,26.0,31.0,3.0,9.0,21.0,14.0,16.0,19.0,23.0,43.0,43.0,43.0,41.0,52.0,54.0,29.0,27.0,25.0,25.0,13.0,13.0
Tarapaca,01,Desconocido Tarapaca,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Tarapaca,01,Total,,382773.0,0.0,0.0,0.0,0.0,0.0,12.0,14.0,30.0,39.0,54.0,83.0,226.0,406.0,698.0,875.0,845.0,807.0,761.0,646.0,566.0,577.0,492.0,478.0,531.0,557.0,463.0,462.0,343.0,316.0,246.0,223.0,154.0,164.0,183.0,151.0,176.0,230.0,202.0,266.0,220.0,192.0,230.0,279.0,377.0,517.0,683.0,1031.0,1542.0,1363.0,1241.0,958.0,811.0,894.0,804.0,670.0,746.0,880.0,984.0,225.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antofagasta,02,Antofagasta,02101,425725.0,0,0.0,0.0,1.0,2.0,27.0,32.0,40.0,57.0,109.0,161.0,214.0,310.0,310.0,301.0,342.0,470.0,583.0,675.0,765.0,871.0,712.0,567.0,563.0,633.0,549.0,460.0,383.0,385.0,307.0,259.0,209.0,227.0,248.0,249.0,216.0,198.0,181.0,147.0,120.0,107.0,121.0,130.0,236.0,323.0,444.0,832.0,1494.0,1582.0,1333.0,1248.0,1249.0,936.0,905.0,805.0,733.0,781.0,738.0,169.0
Antofagasta,02,Calama,02201,190336.0,0,0.0,1.0,0.0,2.0,4.0,3.0,8.0,16.0,16.0,39.0,51.0,89.0,231.0,280.0,445.0,776.0,933.0,847.0,693.0,634.0,448.0,348.0,263.0,190.0,182.0,154.0,113.0,137.0,114.0,71.0,62.0,89.0,67.0,38.0,23.0,42.0,23.0,26.0,37.0,43.0,26.0,21.0,19.0,38.0,48.0,92.0,211.0,267.0,227.0,226.0,248.0,280.0,246.0,276.0,274.0,274.0,274.0,72.0
Antofagasta,02,Maria Elena,02302,6814.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,16.0,44.0,44.0,30.0,13.0,12.0,10.0,7.0,38.0,29.0,27.0,7.0,14.0,8.0,12.0,7.0,1.0,2.0,3.0,4.0,3.0,0.0,1.0,0.0,0.0,5.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,6.0,6.0,4.0,2.0,3.0,2.0,12.0,45.0,30.0,13.0,15.0,2.0,2.0,1.0,7.0,3.0
Antofagasta,02,Mejillones,02102,14776.0,0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,15.0,17.0,30.0,77.0,46.0,51.0,19.0,19.0,10.0,17.0,38.0,50.0,25.0,16.0,10.0,22.0,24.0,9.0,21.0,16.0,13.0,8.0,19.0,16.0,7.0,7.0,15.0,10.0,14.0,11.0,5.0,9.0,7.0,16.0,23.0,31.0,25.0,25.0,30.0,98.0,93.0,112.0,102.0,70.0,78.0,54.0,55.0,35.0,16.0,21.0,10.0
