Region,Codigo region,Comuna,Codigo comuna,Poblacion,202007,202008,202009,202010,202011,202012,202013,202014,202015,202016,202017,202018,202019,202020,202021,202022,202023,202024,202025,202026,202027,202028,202029,202030,202031,202032,202033,202034,202035,202036,202037,202038,202039,202040,202041,202042,202043,202044,202045,202046,202047,202048,202049,202050,202051,202052,202053,202101,202102,202103,202104,202105,202106,202107,202108,202109,202110
Tarapaca,01,Iquique,01101,223463.0,0,0.0,0.0,0.0,0.0,9.0,7.0,15.0,11.0,20.0,42.0,102.0,255.0,401.0,501.0,456.0,444.0,444.0,409.0,339.0,329.0,284.0,278.0,334.0,261.0,249.0,208.0,173.0,145.0,142.0,133.0,90.0,99.0,119.0,81.0,101.0,147.0,128.0,141.0,115.0,128.0,156.0,162.0,231.0,314.0,430.0,665.0,989.0,832.0,747.0,582.0,494.0,539.0,493.0,399.0,136.0,0.0
Tarapaca,01,Pica,01405,5958.0,0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,14.0,10.0,0.0,1.0,4.0,1.0,7.0,8.0,10.0,10.0,10.0,14.0,43.0,37.0,24.0,24.0,20.0,25.0,29.0,17.0,17.0,6.0,4.0,4.0,4.0,4.0,2.0,1.0,2.0,4.0,10.0,4.0,1.0,1.0,2.0,2.0,3.0,2.0,3.0,32.0,21.0,22.0,16.0,13.0,12.0,23.0,18.0,9.0,0.0
Tarapaca,01,Pozo Almonte,01401,17395.0,0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,5.0,15.0,38.0,58.0,92.0,92.0,58.0,33.0,75.0,55.0,48.0,43.0,128.0,57.0,43.0,48.0,39.0,23.0,14.0,5.0,9.0,13.0,6.0,13.0,8.0,14.0,26.0,31.0,3.0,9.0,21.0,14.0,16.0,18.0,23.0,42.0,43.0,43.0,40.0,51.0,53.0,29.0,24.0,8.0,0.0
Tarapaca,01,Desconocido Tarapaca,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tarapaca,01,Total,,382773.0,0.0,0.0,0.0,0.0,0.0,12.0,14.0,30.0,39.0,54.0,83.0,226.0,405.0,698.0,875.0,847.0,810.0,762.0,647.0,568.0,581.0,490.0,479.0,531.0,559.0,465.0,463.0,346.0,318.0,249.0,223.0,142.0,164.0,183.0,151.0,174.0,230.0,202.0,265.0,220.0,191.0,229.0,275.0,377.0,517.0,682.0,1029.0,1541.0,1361.0,1242.0,953.0,808.0,892.0,800.0,626.0,208.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antofagasta,02,Antofagasta,02101,425725.0,0,0.0,0.0,1.0,2.0,27.0,32.0,40.0,56.0,109.0,160.0,214.0,310.0,310.0,301.0,342.0,470.0,582.0,676.0,765.0,870.0,711.0,567.0,565.0,633.0,549.0,461.0,384.0,385.0,308.0,262.0,208.0,227.0,247.0,248.0,220.0,197.0,183.0,148.0,120.0,106.0,122.0,130.0,236.0,323.0,444.0,832.0,1492.0,1582.0,1337.0,1240.0,1243.0,936.0,900.0,785.0,399.0,0.0
Antofagasta,02,Calama,02201,190336.0,0,0.0,1.0,0.0,2.0,3.0,3.0,8.0,16.0,16.0,39.0,51.0,89.0,231.0,279.0,445.0,776.0,932.0,847.0,692.0,634.0,448.0,348.0,263.0,190.0,182.0,154.0,113.0,136.0,114.0,71.0,62.0,89.0,67.0,37.0,23.0,42.0,23.0,26.0,38.0,42.0,26.0,21.0,19.0,38.0,48.0,92.0,211.0,267.0,226.0,224.0,244.0,280.0,246.0,271.0,197.0,0.0
Antofagasta,02,Maria Elena,02302,6814.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,16.0,44.0,44.0,30.0,13.0,12.0,10.0,7.0,38.0,29.0,27.0,7.0,14.0,8.0,12.0,7.0,1.0,2.0,3.0,4.0,3.0,0.0,1.0,0.0,0.0,5.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,6.0,6.0,4.0,2.0,3.0,2.0,12.0,45.0,29.0,13.0,15.0,2.0,1.0,0.0
Antofagasta,02,Mejillones,02102,14776.0,0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,15.0,17.0,30.0,77.0,46.0,51.0,19.0,19.0,10.0,17.0,38.0,50.0,25.0,16.0,10.0,22.0,24.0,9.0,21.0,16.0,13.0,8.0,19.0,16.0,7.0,7.0,15.0,10.0,14.0,11.0,5.0,9.0,7.0,16.0,23.0,31.0,25.0,25.0,30.0,98.0,93.0,112.0,102.0,70.0,79.0,53.0,54.0,23.0,0.0
