Grupo de edad,Sexo,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-05-01,2020-05-02,2020-05-04,2020-05-06,2020-05-08,2020-05-11,2020-05-15,2020-05-18,2020-05-22,2020-05-25,2020-05-29,2020-06-01,2020-06-05,2020-06-08,2020-06-12,2020-06-15,2020-06-19,2020-06-23,2020-06-28,2020-07-01,2020-07-05,2020-07-10,2020-07-13,2020-07-17,2020-07-24,2020-07-27,2020-07-31,2020-08-03,2020-08-07,2020-08-10,2020-08-14,2020-08-17,2020-08-21,2020-08-24,2020-08-28,2020-08-31,2020-09-04,2020-09-07,2020-09-11,2020-09-14,2020-09-18,2020-09-21,2020-09-25,2020-09-28,2020-10-02,2020-10-05,2020-10-09,2020-10-12,2020-10-16,2020-10-19,2020-10-24,2020-10-26,2020-10-30,2020-11-02,2020-11-06,2020-11-09,2020-11-13,2020-11-16,2020-11-20,2020-11-23,2020-11-27,2020-11-30,2020-12-04,2020-12-07,2020-12-11,2020-12-14,2020-12-18,2020-12-21,2020-12-25,2020-12-28,2021-01-01,2021-01-04,2021-01-08,2021-01-11,2021-01-15,2021-01-18,2021-01-22,2021-01-25,2021-01-29,2021-02-01,2021-02-05,2021-02-08,2021-02-12,2021-02-15,2021-02-19,2021-02-22,2021-02-26,2021-03-01,2021-03-05,2021-03-08,2021-03-12,2021-03-15,2021-03-19,2021-03-22,2021-03-26,2021-03-29,2021-04-02,2021-04-05,2021-04-09,2021-04-12,2021-04-16,2021-04-19,2021-04-23,2021-04-26,2021-04-30,2021-05-03,2021-05-07,2021-05-10,2021-05-14,2021-05-17,2021-05-21,2021-05-24,2021-05-28,2021-05-31,2021-06-04,2021-06-07,2021-06-11,2021-06-14,2021-06-18,2021-06-21,2021-06-25,2021-06-28,2021-07-02,2021-07-05,2021-07-09
35 - 39 años,F,79,95,103,115,124,129,149,163,181,206,228,252,263,277,316,334,358,382,392,419,428,459,488,514,552,570,596,610,636,656,680,708,728,751,776,904,957,1030,1144,1268,1453,1884,2163,2924,3551,4311,5000,5866,6646,7682,8522,11028,12097,13271,13770,14520,15286,15724,16156,16818,17099,17424,17669,18125,18468,18873,19115,19507,19832,20223,20507,20871,21171,21491,21815,22135,22340,22694,23003,23392,23392,23921,24173,24432,24703,25094,25243,25530,25772,26027,26272,26569,26774,27052,27245,27515,27788,28094,28337,28652,28954,29357,29676,30119,30416,31011,31425,32171,32761,33595,34200,35139,35764,36549,37157,37887,38424,39073,39610,40257,40804,41668,42383,43434,44276,45512,46495,47865,48991,50421,51551,53133,54233,55968,57149,58766,59858,61329,62367,63778,64746,66011,66987,68336,69398,70904,72034,73835,75090,76821,78082,79680,80871,82222,83215,84137,84846,85504,86058,86632
40 - 44 años,F,63,82,90,95,108,113,125,154,160,180,194,209,217,232,272,290,314,329,342,369,387,414,446,472,493,513,523,533,548,568,585,611,626,641,664,762,819,907,1005,1119,1247,1597,1859,2440,2984,3574,4170,4844,5466,6309,7062,9132,10081,11115,11528,12174,12823,13199,13607,14221,14441,14745,14980,15352,15636,16024,16256,16560,16813,17122,17391,17720,17992,18286,18564,18812,19012,19304,19573,19868,19868,20343,20535,20781,20985,21334,21459,21671,21882,22090,22254,22472,22670,22894,23100,23344,23595,23869,24087,24372,24617,25001,25296,25697,25927,26419,26723,27320,27856,28588,29126,29907,30493,31192,31725,32362,32852,33459,33918,34471,34958,35757,36346,37293,38028,39090,39920,41150,42115,43440,44432,45803,46768,48287,49272,50677,51685,52890,53894,55167,55978,57033,57828,58936,59847,61165,62156,63507,64630,66054,67124,68448,69437,70582,71378,72112,72715,73289,73749,74208
45 - 49 años,F,48,60,69,79,92,105,120,134,141,156,174,196,204,214,249,266,283,304,319,338,345,367,394,422,449,468,473,483,498,516,530,548,562,580,605,677,734,804,886,988,1134,1486,1734,2426,2951,3612,4184,4955,5666,6567,7373,9685,10661,11658,12108,12801,13459,13864,14264,14830,15114,15419,15642,16037,16324,16709,16941,17246,17474,17780,18035,18364,18620,18920,19166,19459,19643,19978,20242,20591,20591,21093,21319,21557,21796,22125,22273,22514,22728,22943,23156,23373,23584,23826,24028,24268,24479,24750,24983,25261,25526,25868,26119,26498,26732,27241,27580,28185,28734,29399,29959,30745,31284,32038,32652,33278,33776,34413,34876,35464,35981,36686,37297,38191,38914,39970,40825,42044,43069,44296,45364,46694,47666,49133,50210,51621,52650,53887,54765,55950,56761,57748,58495,59485,60283,61412,62169,63340,64255,65362,66252,67379,68218,69251,69934,70651,71182,71692,72116,72543
50 - 54 años,F,33,46,54,67,71,79,89,110,119,139,154,172,180,194,237,251,271,282,294,315,317,336,357,375,392,406,416,433,450,466,484,505,520,529,548,645,683,757,820,902,1012,1340,1553,2170,2619,3276,3822,4492,5148,6028,6858,8966,9926,10969,11391,12066,12709,13121,13497,14112,14359,14685,14900,15247,15547,15897,16116,16405,16663,16986,17240,17529,17799,18081,18321,18629,18803,19145,19415,19705,19705,20164,20377,20607,20839,21181,21296,21523,21736,21961,22158,22399,22579,22791,22987,23251,23478,23707,23926,24198,24462,24826,25109,25483,25732,26183,26528,27122,27653,28296,28869,29649,30161,30951,31470,32058,32515,33116,33582,34170,34668,35378,36004,36834,37558,38539,39341,40488,41425,42678,43611,44839,45759,47222,48201,49527,50519,51611,52453,53425,54092,54910,55547,56390,57029,57888,58461,59408,60150,61193,61963,62992,63672,64564,65172,65807,66341,66860,67278,67692
55 - 59 años,F,28,37,39,54,58,66,78,89,94,110,124,130,143,153,185,202,213,225,232,243,258,283,302,321,336,351,365,373,388,403,419,434,454,465,488,565,616,680,749,828,945,1236,1443,1973,2381,2940,3454,4062,4661,5460,6175,8106,8959,9876,10279,10934,11536,11880,12269,12800,13016,13289,13520,13828,14127,14460,14670,14980,15236,15543,15772,16070,16297,16601,16832,17094,17261,17556,17810,18116,18116,18546,18723,18954,19141,19487,19610,19816,19992,20195,20374,20595,20769,21025,21181,21404,21621,21826,22018,22265,22529,22848,23086,23422,23670,24143,24475,25036,25527,26158,26636,27360,27904,28593,29072,29625,30093,30647,31072,31599,32042,32749,33308,34104,34766,35690,36408,37432,38279,39485,40391,41575,42379,43585,44501,45642,46476,47390,48079,48895,49464,50137,50679,51376,51942,52709,53255,54097,54799,55788,56528,57486,58203,59085,59651,60250,60758,61223,61603,62026
60 - 64 años,F,27,34,38,47,50,53,61,70,78,90,99,105,113,124,138,148,155,166,175,188,199,211,220,234,245,251,257,265,273,287,292,297,304,317,328,365,394,439,480,555,650,867,1002,1371,1616,2025,2407,2815,3221,3799,4299,5626,6232,6861,7149,7632,8096,8376,8621,9062,9213,9423,9600,9865,10066,10299,10466,10674,10856,11058,11247,11490,11696,11894,12086,12305,12433,12653,12822,13035,13035,13373,13532,13673,13824,14087,14180,14332,14481,14639,14793,14971,15101,15264,15398,15593,15745,15925,16084,16269,16437,16685,16887,17148,17351,17691,17935,18361,18752,19229,19577,20104,20496,20982,21366,21781,22148,22562,22908,23299,23657,24106,24560,25136,25583,26277,26815,27590,28206,28989,29598,30423,31026,31913,32481,33249,33731,34270,34710,35258,35650,36159,36534,37045,37498,38136,38586,39295,39843,40593,41225,42001,42575,43276,43786,44343,44765,45174,45516,45903
65 - 69 años,F,10,13,20,25,29,35,38,45,48,52,60,64,67,74,84,89,99,111,116,119,129,140,147,155,160,166,169,178,182,190,195,208,217,224,233,269,287,315,351,399,450,570,669,906,1087,1316,1547,1821,2094,2502,2807,3680,4074,4506,4704,5003,5308,5502,5706,6015,6133,6287,6394,6544,6676,6828,6964,7128,7268,7420,7541,7693,7818,7966,8084,8238,8328,8495,8613,8771,8771,9010,9116,9227,9343,9514,9573,9673,9782,9897,9995,10089,10194,10316,10413,10521,10631,10746,10833,10954,11067,11224,11347,11501,11617,11838,12013,12333,12582,12962,13246,13583,13866,14214,14450,14779,15052,15342,15590,15850,16085,16400,16673,17069,17385,17817,18173,18623,19017,19486,19846,20330,20650,21069,21366,21802,22128,22451,22748,23148,23423,23774,24043,24411,24727,25159,25467,25925,26320,26812,27248,27817,28247,28738,29093,29482,29784,30089,30324,30618
70 - 74 años,F,7,11,13,16,20,22,25,32,33,43,50,56,58,60,69,74,82,87,94,95,100,110,118,127,133,137,141,143,145,149,153,157,169,173,187,220,229,256,274,300,340,446,509,672,785,965,1178,1406,1601,1908,2155,2813,3103,3428,3558,3772,4040,4173,4316,4533,4624,4738,4822,4943,5051,5176,5264,5361,5454,5552,5637,5756,5859,5988,6076,6173,6237,6339,6449,6563,6563,6731,6828,6893,7002,7121,7169,7241,7318,7419,7484,7554,7633,7712,7788,7867,7939,8033,8125,8223,8337,8457,8573,8708,8802,8964,9093,9274,9483,9741,9943,10201,10405,10695,10898,11116,11300,11519,11682,11886,12044,12289,12504,12778,13025,13345,13567,13885,14155,14456,14705,14988,15210,15514,15772,16075,16289,16469,16672,16931,17119,17329,17544,17804,18011,18323,18556,18875,19145,19519,19854,20247,20559,20919,21182,21448,21693,21903,22072,22281
75 - 79 años,F,7,8,11,13,13,14,17,22,24,29,35,39,41,42,48,52,57,61,64,64,67,71,79,85,92,95,100,104,107,113,115,121,126,128,134,147,158,186,203,231,258,329,371,505,592,744,880,1039,1194,1415,1621,2122,2339,2575,2690,2858,3050,3153,3255,3452,3539,3630,3707,3800,3883,3984,4061,4142,4206,4303,4378,4468,4557,4635,4689,4763,4814,4914,4975,5063,5063,5219,5286,5349,5421,5512,5542,5607,5673,5747,5800,5866,5917,5967,6029,6086,6143,6211,6259,6324,6414,6507,6576,6656,6722,6843,6936,7077,7231,7429,7563,7754,7924,8132,8261,8432,8580,8731,8846,9003,9129,9302,9470,9692,9882,10098,10267,10494,10672,10876,11043,11261,11400,11631,11802,12045,12228,12361,12497,12710,12857,13023,13172,13358,13542,13745,13905,14126,14365,14636,14853,15134,15358,15605,15809,16027,16184,16344,16485,16635
80 y más años,F,2,2,3,7,9,11,13,17,19,26,30,31,37,41,58,72,88,95,101,107,113,117,124,137,148,160,168,172,180,193,197,208,224,231,249,293,304,338,377,419,485,597,678,857,1011,1291,1525,1781,2054,2523,2846,3769,4191,4640,4819,5080,5441,5631,5837,6171,6324,6482,6583,6742,6858,7015,7122,7269,7375,7531,7632,7789,7925,8080,8208,8341,8440,8609,8729,8867,8867,9160,9237,9343,9447,9581,9628,9702,9812,9927,10017,10127,10227,10311,10397,10479,10573,10665,10759,10864,11022,11152,11262,11394,11484,11670,11818,12028,12238,12466,12663,12898,13120,13372,13594,13857,14049,14283,14476,14692,14855,15131,15417,15711,15963,16313,16622,16999,17302,17580,17829,18162,18410,18755,19000,19386,19660,19732,19932,20200,20448,20670,20871,21142,21392,21745,21985,22338,22622,23025,23359,23749,24050,24492,24772,25093,25367,25635,25858,26115
