Region,Codigo region,Comuna,Codigo comuna,Poblacion,2020-03-30,2020-04-01,2020-04-03,2020-04-06,2020-04-08,2020-04-10,2020-04-13,2020-04-15,2020-04-17,2020-04-20,2020-04-24,2020-04-27,2020-05-01,2020-05-04,2020-05-08,2020-05-11,2020-05-15,2020-05-18,2020-05-22,2020-05-25,2020-05-29,2020-06-01,2020-06-05,2020-06-08,2020-06-12,2020-06-15,2020-06-19,2020-06-23,2020-06-28,2020-07-01,2020-07-05,2020-07-10,2020-07-13,2020-07-17,2020-07-20,2020-07-24,2020-07-27,2020-07-31,2020-08-03,2020-08-07,2020-08-10,2020-08-14,2020-08-17,2020-08-21,2020-08-24,2020-08-28,2020-08-31,2020-09-04,2020-09-07,2020-09-11,2020-09-14,2020-09-18,2020-09-21,2020-09-25,2020-09-28,2020-10-02,2020-10-05,2020-10-09,2020-10-12,2020-10-16,2020-10-19,2020-10-24,2020-10-26,2020-10-30,2020-11-02,2020-11-06,2020-11-09,2020-11-13,2020-11-16,2020-11-20,2020-11-23,2020-11-27,2020-11-30,2020-12-04,2020-12-07,2020-12-11,2020-12-14,2020-12-18,2020-12-21,2020-12-25,2020-12-28,2021-01-01,2021-01-04,2021-01-08,2021-01-11,2021-01-15,2021-01-18,2021-01-22,2021-01-25,2021-01-29,2021-02-01,2021-02-05,2021-02-08,2021-02-12,2021-02-15,2021-02-19,2021-02-22,2021-02-26,2021-03-01,2021-03-05,2021-03-08,2021-03-12,2021-03-15,2021-03-19,2021-03-22,2021-03-26,2021-03-29,2021-04-02,2021-04-05,2021-04-09,2021-04-12,2021-04-16,2021-04-19,2021-04-23,2021-04-26,2021-04-30,2021-05-03,2021-05-07,2021-05-10,2021-05-14,2021-05-17,2021-05-21,2021-05-24,2021-05-28,2021-05-31,2021-06-04,2021-06-07,2021-06-11,2021-06-14,2021-06-18,2021-06-21,2021-06-25,2021-06-28,2021-07-02,2021-07-05,2021-07-09
Valparaiso,05,Limache,05802,49931.0,0.0,0.0,0.0,8.0,10.0,14.0,16.0,26.0,40.1,40.1,46.1,46.1,46.1,44.1,50.1,56.1,94.1,108.1,136.2,158.2,170.2,188.3,250.3,292.4,358.5,410.6,654.9,771.1,907.3,979.4,1101.5,1223.7,1283.8,1343.9,1221.7,1420.0,1464.0,1482.0,1536.1,1652.3,1760.4,1864.6,1894.6,1956.7,2024.8,2090.9,2143.0,2209.0,2251.1,2279.1,2313.2,2349.2,2355.3,2403.3,2425.3,2439.4,2457.4,2477.4,2489.4,2523.5,2549.5,2571.5,2581.6,2591.6,2605.6,2625.6,2627.6,2649.7,2669.7,2683.7,2697.7,2709.7,2739.8,2763.8,2777.8,2783.8,2801.9,2821.9,2829.9,2841.9,2847.9,2894.0,2906.0,2974.1,3004.1,3070.2,3120.3,3140.3,3180.4,3238.5,3296.5,3352.6,3384.7,3436.7,3478.8,3520.9,3564.9,3613.0,3657.0,3699.1,3765.2,3875.3,3979.5,4095.7,4249.9,4452.1,4550.3,4724.5,4826.7,4978.9,5083.0,5231.2,5331.4,5465.5,5603.7,5751.9,5838.1,5950.2,6122.4,6266.6,6358.8,6511.0,6607.1,6719.3,6811.4,6983.6,7095.8,7260.0,7372.2,7534.4,7636.5,7742.7,7820.8,7916.9,7987.0,8033.1
Valparaiso,05,Llaillay,05703,26533.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,7.5,7.5,7.5,7.5,7.5,15.1,15.1,15.1,18.8,41.5,52.8,124.4,139.4,199.8,203.5,252.5,320.4,369.4,429.7,505.0,614.3,701.0,757.5,810.3,874.4,1002.5,1077.9,1085.4,1123.1,1191.0,1243.7,1266.3,1334.2,1394.5,1443.5,1462.3,1496.2,1522.6,1605.5,1662.1,1688.5,1733.7,1794.0,1835.5,1865.6,1899.5,1925.9,1952.3,1967.4,2012.6,2061.6,2106.8,2182.2,2212.3,2272.6,2291.5,2329.2,2351.8,2378.2,2404.6,2434.7,2442.2,2446.0,2446.0,2449.8,2464.9,2487.5,2495.0,2521.4,2528.9,2566.6,2581.7,2593.0,2615.6,2626.9,2668.4,2713.6,2766.4,2807.8,2826.7,2849.3,2868.1,2879.4,2887.0,2894.5,2902.0,2920.9,2943.5,2973.7,2996.3,3045.3,3083.0,3139.5,3203.6,3331.7,3433.5,3550.3,3674.7,3799.0,3904.6,4051.6,4255.1,4345.5,4511.4,4650.8,4741.3,4816.6,4899.6,4978.7,5023.9,5121.9,5204.8,5306.6,5374.4,5412.1,5468.7,5544.0,5721.2,5853.1,5943.5,6165.9,6369.4,6652.1,6927.2,7191.0,7432.3,7643.3,7775.2,8024.0
Valparaiso,05,Los Andes,05301,68093.0,0.0,0.0,0.0,0.0,8.8,8.8,8.8,10.3,13.2,13.2,8.8,10.3,13.2,13.2,22.0,36.7,41.1,51.4,105.7,135.1,188.0,214.4,284.9,400.9,474.4,543.4,709.3,873.8,973.7,1041.2,1122.0,1202.8,1252.7,1307.0,1346.7,1393.7,1420.1,1445.1,1471.5,1518.5,1546.4,1571.4,1577.3,1589.0,1599.3,1618.4,1628.7,1652.2,1703.6,1734.4,1763.8,1785.8,1804.9,1835.7,1869.5,1931.2,1967.9,2014.9,2032.5,2045.7,2067.8,2097.1,2101.5,2108.9,2120.6,2135.3,2151.5,2169.1,2177.9,2180.8,2182.3,2183.8,2188.2,2198.5,2202.9,2211.7,2217.6,2258.7,2267.5,2286.6,2308.6,2327.7,2370.3,2415.8,2471.6,2521.6,2561.2,2615.5,2653.7,2702.2,2736.0,2791.8,2825.5,2888.7,2931.3,2991.5,3042.9,3104.6,3244.1,3329.3,3404.2,3489.3,3531.9,3590.7,3674.4,3775.7,3875.6,4032.7,4162.0,4345.5,4451.3,4596.7,4714.1,4862.5,4966.7,5084.2,5190.0,5361.8,5457.2,5602.6,5706.9,5842.0,5934.5,6185.7,6400.1,6639.4,6890.6,7165.2,7404.6,7630.7,7805.5,7931.8,8018.4,8105.1,8209.4,8328.3
Valparaiso,05,Nogales,05506,23490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,12.8,21.3,38.3,51.1,59.6,68.1,89.4,106.4,119.2,144.7,212.9,242.7,289.5,327.8,361.9,425.7,459.8,515.1,532.1,638.6,719.5,800.3,855.7,983.4,1051.5,1128.1,1213.3,1289.9,1366.5,1528.3,1609.2,1673.1,1719.9,1758.2,1826.3,1907.2,1932.7,1962.5,1979.6,2005.1,2039.2,2051.9,2081.7,2094.5,2120.1,2145.6,2166.9,2183.9,2205.2,2209.5,2222.2,2226.5,2226.5,2226.5,2239.3,2239.3,2252.0,2256.3,2256.3,2269.1,2277.6,2324.4,2332.9,2392.5,2405.3,2447.9,2481.9,2533.0,2579.8,2626.6,2660.7,2707.5,2779.9,2822.5,2873.6,2916.1,2971.5,3035.3,3107.7,3192.8,3222.6,3337.6,3397.2,3478.1,3533.4,3648.4,3754.8,3916.6,4082.6,4218.8,4389.1,4572.2,4704.1,4844.6,5036.2,5227.8,5381.0,5491.7,5585.4,5691.8,5776.9,5857.8,5985.5,6045.1,6100.5,6172.8,6219.7,6343.1,6432.5,6517.7,6653.9,6849.7,7003.0,7126.4,7275.4,7398.9,7586.2,7637.3,7713.9,7794.8
Valparaiso,05,Olmue,05803,19266.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,5.2,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,15.6,15.6,31.1,41.5,77.9,88.2,124.6,129.8,145.3,186.9,275.1,327.0,368.5,404.9,451.6,519.0,591.7,617.7,602.1,700.7,752.6,773.4,825.3,892.8,1043.3,1084.8,1178.2,1250.9,1370.3,1443.0,1468.9,1505.2,1536.4,1562.3,1577.9,1583.1,1588.3,1598.7,1619.4,1640.2,1666.1,1723.2,1738.8,1785.5,1816.7,1858.2,1873.8,1884.1,1884.1,1899.7,1899.7,1915.3,1920.5,1930.9,1941.2,1951.6,1951.6,1956.8,1972.4,1982.8,2003.5,2050.2,2055.4,2081.4,2086.6,2102.1,2117.7,2122.9,2148.9,2185.2,2231.9,2320.1,2351.3,2434.3,2507.0,2584.9,2616.0,2673.1,2704.2,2787.3,2808.1,2870.3,2911.9,2994.9,3020.9,3072.8,3145.4,3264.8,3368.6,3560.7,3747.5,3851.3,3950.0,4064.2,4178.3,4292.5,4406.7,4484.6,4583.2,4676.6,4759.7,4962.1,5071.1,5149.0,5268.3,5413.7,5600.5,5740.7,5818.5,5979.4,6104.0,6254.5,6342.8,6540.0,6649.0,6768.4,6830.7,6882.6,6913.7,7007.2
Valparaiso,05,Panquehue,05704,7633.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.1,13.1,39.3,65.5,104.8,104.8,183.4,222.7,262.0,288.2,550.2,641.9,746.8,773.0,786.1,851.6,969.5,1113.6,1152.9,1388.7,1493.5,1519.7,1532.8,1532.8,1559.0,1559.0,1572.1,1519.7,1545.9,1559.0,1598.3,1663.8,1663.8,1650.7,1650.7,1650.7,1663.8,1663.8,1663.8,1676.9,1676.9,1690.0,1703.1,1703.1,1729.3,1729.3,1742.4,1742.4,1755.5,1755.5,1755.5,1755.5,1755.5,1768.6,1781.7,1794.8,1794.8,1794.8,1794.8,1807.9,1807.9,1807.9,1807.9,1821.0,1821.0,1821.0,1821.0,1873.4,1873.4,1873.4,1899.6,1925.8,1991.4,2096.2,2109.3,2135.5,2214.1,2292.7,2292.7,2318.9,2371.3,2397.5,2449.9,2463.0,2502.3,2607.1,2659.5,2725.0,2764.3,2842.9,2947.7,3144.2,3314.6,3563.5,3694.5,3877.9,4022.0,4113.7,4153.0,4218.5,4270.9,4375.7,4480.5,4611.6,4821.2,5043.9,5148.7,5305.9,5463.1,5620.3,5843.0,6052.7,6170.6,6314.7,6498.1,6707.7,6812.5,6838.7,6930.4,7009.0
Valparaiso,05,Papudo,05403,6201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.5,64.5,112.9,112.9,225.8,258.0,274.1,354.8,806.3,935.3,999.8,1048.2,1112.7,1209.5,1241.7,1209.5,1145.0,1257.9,1306.2,1322.4,1403.0,1564.3,1677.1,1709.4,1725.5,1806.2,1838.4,1902.9,1919.0,1967.4,2031.9,2048.1,2144.8,2273.8,2499.6,2725.4,2854.4,2983.4,3015.6,3112.4,3160.8,3193.0,3193.0,3225.3,3241.4,3241.4,3257.5,3289.8,3322.0,3322.0,3322.0,3322.0,3338.2,3338.2,3354.3,3354.3,3370.4,3370.4,3418.8,3402.7,3434.9,3434.9,3434.9,3434.9,3434.9,3467.2,3531.7,3531.7,3580.1,3628.4,3773.6,3822.0,3886.5,3934.8,3983.2,4063.9,4096.1,4257.4,4273.5,4321.9,4418.6,4467.0,4467.0,4531.5,4547.7,4612.2,4757.3,4821.8,4983.1,5305.6,5547.5,5789.4,5999.0,6208.7,6402.2,6531.2,6644.1,6676.3,6724.7,6740.8,6740.8,6740.8,6757.0,6757.0,6886.0,6998.9,7063.4,7144.0,7240.8,7256.9,7273.0,7305.3,7385.9,7579.4,7708.4,7772.9,7772.9,7885.8
Valparaiso,05,Petorca,05404,10558.0,0.0,0.0,0.0,47.4,37.9,47.4,56.8,56.8,56.8,56.8,56.8,56.8,56.8,56.8,56.8,66.3,66.3,66.3,94.7,104.2,132.6,142.1,198.9,198.9,217.8,236.8,265.2,350.4,454.6,520.9,558.8,681.9,691.4,710.4,634.6,757.7,824.0,814.5,890.3,1089.2,1098.7,1117.6,1183.9,1240.8,1316.5,1382.8,1439.7,1477.6,1515.4,1515.4,1524.9,1562.8,1600.7,1657.5,1657.5,1657.5,1657.5,1657.5,1667.0,1695.4,1704.9,1742.8,1752.2,1752.2,1752.2,1790.1,1799.6,1799.6,1799.6,1799.6,1818.5,1846.9,1865.9,1875.4,1884.8,1913.2,1932.2,1922.7,1922.7,1960.6,1941.7,1951.1,1970.1,2008.0,2036.4,2045.8,2102.7,2131.1,2150.0,2244.7,2348.9,2405.8,2405.8,2415.2,2434.2,2500.5,2538.4,2718.3,2775.1,2917.2,3040.3,3144.5,3182.4,3267.7,3381.3,3400.3,3447.6,3532.9,3570.8,3637.1,3703.4,3854.9,3921.2,3930.7,3930.7,3949.6,3949.6,4015.9,4053.8,4101.2,4214.8,4328.5,4413.7,4499.0,4603.1,4792.6,4868.3,5086.2,5228.3,5323.0,5502.9,5626.1,5768.1,5948.1,6042.8,6232.2
Valparaiso,05,Puchuncavi,05105,20071.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.9,24.9,34.9,74.7,89.7,119.6,174.4,244.1,368.7,408.5,508.2,538.1,627.8,687.6,717.5,762.3,717.5,767.3,792.2,817.1,842.0,881.9,891.8,921.7,951.6,976.5,981.5,986.5,1006.4,1046.3,1071.2,1101.1,1116.0,1121.0,1131.0,1140.9,1145.9,1155.9,1165.9,1175.8,1175.8,1190.8,1200.7,1230.6,1240.6,1250.6,1255.5,1255.5,1265.5,1280.5,1280.5,1285.4,1290.4,1295.4,1320.3,1335.3,1360.2,1360.2,1375.1,1410.0,1459.8,1494.7,1499.7,1539.5,1539.5,1564.4,1589.4,1604.3,1629.2,1654.1,1679.0,1694.0,1713.9,1738.8,1783.7,1803.6,1838.5,1923.2,1973.0,2027.8,2087.6,2132.4,2202.2,2361.6,2431.4,2680.5,2825.0,3064.1,3248.5,3457.7,3622.1,3866.3,4010.8,4115.4,4304.7,4394.4,4479.1,4553.8,4633.6,4708.3,4793.0,4867.7,5042.1,5136.8,5231.4,5390.9,5575.2,5754.6,5894.1,6053.5,6173.1,6327.5,6526.8,6681.3,6805.8,6845.7,6920.4,6985.2
Valparaiso,05,Putaendo,05705,17645.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,11.3,11.3,28.3,28.3,28.3,34.0,34.0,39.7,68.0,68.0,85.0,119.0,124.7,136.0,147.4,192.7,277.7,357.0,408.0,527.1,680.1,799.1,855.8,969.1,1031.5,1071.1,1099.5,1093.8,1150.5,1218.5,1229.8,1263.8,1297.8,1360.2,1382.8,1382.8,1405.5,1428.2,1422.5,1428.2,1445.2,1467.8,1524.5,1547.2,1615.2,1637.9,1688.9,1705.9,1739.9,1790.9,1830.5,1858.9,1881.6,1892.9,1898.6,1898.6,1904.2,1915.6,1921.2,1921.2,1972.2,2017.6,2023.2,2057.2,2057.2,2062.9,2057.2,2062.9,2062.9,2062.9,2062.9,2079.9,2096.9,2108.2,2159.3,2181.9,2221.6,2232.9,2283.9,2300.9,2334.9,2380.3,2402.9,2408.6,2425.6,2425.6,2437.0,2459.6,2488.0,2516.3,2544.6,2578.6,2624.0,2658.0,2720.3,2782.7,2901.7,2952.7,3037.7,3162.4,3258.7,3400.4,3536.4,3621.4,3746.1,3893.5,4023.8,4086.1,4216.5,4284.5,4420.5,4460.2,4494.2,4539.5,4641.5,4709.5,4817.2,4924.9,5049.6,5242.3,5446.3,5593.7,5797.7,5899.7,5984.7,6126.4,6205.7,6353.1,6466.4
Valparaiso,05,Quillota,05501,97572.0,6.1,7.2,9.2,9.2,13.3,13.3,16.4,18.4,19.5,20.5,22.5,22.5,24.6,26.6,28.7,31.8,40.0,49.2,57.4,60.5,67.6,82.0,109.7,141.4,219.3,287.0,550.4,659.0,857.8,916.2,1075.1,1251.4,1323.1,1368.2,1239.1,1435.9,1469.7,1522.0,1562.9,1720.8,1789.4,1876.6,1930.9,2007.7,2059.0,2127.7,2186.1,2261.9,2302.9,2337.8,2358.3,2393.1,2414.6,2440.2,2460.7,2492.5,2497.6,2516.1,2530.4,2545.8,2553.0,2576.6,2581.7,2589.9,2594.0,2608.3,2621.7,2636.0,2647.3,2662.6,2666.7,2679.0,2684.2,2704.7,2722.1,2745.7,2764.1,2795.9,2808.2,2831.8,2852.3,2894.3,2903.5,2956.8,2982.4,3035.7,3067.5,3116.7,3158.7,3199.7,3229.4,3282.7,3319.6,3358.5,3390.3,3437.5,3469.2,3549.2,3604.5,3707.0,3814.6,3955.0,4092.4,4279.9,4413.2,4587.4,4710.4,4930.7,5052.7,5279.2,5432.9,5607.1,5744.5,5948.4,6072.4,6155.5,6241.5,6349.2,6450.6,6569.5,6665.8,6785.8,6861.6,6988.7,7088.1,7223.4,7338.2,7487.8,7580.0,7710.2,7802.4,7926.5,7995.1,8083.3,8137.6,8203.2
Valparaiso,05,Quilpue,05801,167085.0,6.6,6.0,6.6,7.2,9.0,10.8,12.0,12.6,13.2,16.2,18.0,18.0,22.7,23.9,29.9,32.9,52.7,62.2,74.2,92.8,112.5,135.3,170.6,192.1,220.2,245.4,380.6,442.3,554.8,593.7,681.7,757.7,805.6,842.7,764.9,860.0,881.0,906.7,927.7,1004.3,1048.6,1111.4,1146.1,1182.6,1210.8,1231.1,1258.0,1302.3,1337.6,1382.5,1435.2,1476.5,1496.8,1547.1,1581.2,1629.1,1669.2,1721.3,1758.4,1802.7,1835.6,1891.3,1911.6,1946.3,1984.0,2014.5,2046.3,2073.8,2101.3,2140.8,2162.4,2203.7,2233.6,2259.3,2286.9,2325.8,2358.1,2390.4,2423.3,2465.8,2485.6,2529.9,2553.8,2604.7,2672.3,2734.5,2784.2,2861.4,2908.1,2965.6,3014.0,3039.2,3093.6,3148.7,3179.8,3234.3,3285.8,3380.9,3461.7,3549.1,3617.3,3717.3,3836.4,3974.0,4117.1,4285.2,4466.0,4672.5,4762.8,4937.0,5048.9,5216.5,5367.3,5509.8,5617.5,5748.0,5836.0,5948.5,6019.7,6099.3,6165.1,6241.1,6310.6,6423.1,6508.7,6617.6,6737.9,6871.4,6975.5,7107.8,7210.7,7314.8,7407.0,7467.5,7532.1,7609.9
Valparaiso,05,Quintero,05107,36135.0,0.0,0.0,0.0,0.0,0.0,11.1,13.8,11.1,11.1,11.1,16.6,24.9,27.7,27.7,38.7,44.3,63.7,80.3,91.3,113.5,155.0,218.6,268.4,337.6,409.6,464.9,586.7,636.5,750.0,780.4,849.6,893.9,921.5,974.1,952.0,1021.2,1048.8,1071.0,1084.8,1176.1,1198.3,1242.6,1267.5,1286.8,1289.6,1320.0,1339.4,1378.2,1441.8,1447.4,1461.2,1475.0,1494.4,1519.3,1560.8,1571.9,1591.3,1624.5,1654.9,1666.0,1707.5,1751.8,1760.1,1790.5,1812.6,1834.8,1865.2,1906.7,1931.6,1953.8,1962.1,1973.2,1995.3,2028.5,2047.9,2056.2,2070.0,2094.9,2108.8,2147.5,2172.4,2202.9,2216.7,2305.2,2388.3,2440.8,2460.2,2523.9,2562.6,2651.2,2681.6,2745.3,2753.6,2806.1,2872.6,3016.5,3069.0,3152.1,3221.3,3279.4,3337.5,3415.0,3489.7,3600.4,3655.7,3744.3,3838.4,3996.1,4164.9,4336.5,4472.1,4588.3,4768.2,4914.9,5056.0,5283.0,5426.9,5556.9,5640.0,5747.9,5897.3,6030.2,6138.1,6318.0,6434.2,6547.7,6688.8,6829.9,6943.4,7009.8,7103.9,7173.1,7242.3,7305.9,7350.2,7397.3
Valparaiso,05,Rinconada,05303,11263.0,0.0,0.0,0.0,0.0,0.0,0.0,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,26.6,26.6,26.6,44.4,88.8,159.8,230.8,301.9,426.2,470.6,594.9,674.8,799.1,932.3,1083.2,1136.5,1216.4,1296.3,1340.7,1411.7,1393.9,1429.5,1482.7,1518.2,1509.4,1536.0,1536.0,1536.0,1536.0,1553.8,1544.9,1553.8,1562.6,1562.6,1562.6,1536.0,1536.0,1536.0,1536.0,1536.0,1544.9,1571.5,1580.4,1607.0,1633.7,1678.1,1704.7,1731.3,1749.1,1749.1,1758.0,1766.8,1775.7,1775.7,1784.6,1775.7,1784.6,1793.5,1793.5,1793.5,1820.1,1820.1,1820.1,1855.6,1837.9,1891.1,1908.9,1953.3,1953.3,1979.9,1988.8,1988.8,1997.7,2024.3,2042.1,2095.4,2130.9,2166.4,2193.0,2246.3,2352.8,2361.7,2379.5,2468.3,2512.7,2574.8,2592.6,2628.1,2672.5,2716.9,2770.1,2796.8,2814.5,2850.0,2912.2,2974.3,3045.4,3116.4,3231.8,3409.4,3507.1,3640.2,3720.1,3888.8,3924.4,4004.3,4173.0,4270.6,4421.6,4510.3,4625.8,4847.7,5123.0,5442.6,5691.2,5975.3,6161.8,6312.7,6419.2,6525.8,6614.6,6676.7
Valparaiso,05,San Antonio,05601,96761.0,0.0,4.1,8.3,9.3,9.3,13.4,17.6,19.6,28.9,35.1,47.5,54.8,74.4,88.9,129.2,151.9,197.4,232.5,289.4,295.6,371.0,402.0,487.8,556.0,636.6,654.2,774.1,888.8,966.3,1015.9,1061.4,1124.4,1149.2,1181.3,1207.1,1248.4,1279.4,1311.5,1346.6,1371.4,1390.0,1436.5,1482.0,1515.1,1546.1,1576.0,1629.8,1670.1,1698.0,1724.9,1748.6,1771.4,1783.8,1807.5,1853.0,1875.8,1889.2,1905.7,1918.1,1916.1,1918.1,1915.0,1920.2,1928.5,1945.0,1950.2,1956.4,1960.5,1961.5,1962.6,1963.6,1962.6,1964.6,1965.7,1971.9,1979.1,1980.1,2009.1,2032.8,2061.8,2087.6,2143.4,2188.9,2246.8,2297.4,2376.0,2423.5,2462.8,2482.4,2508.2,2539.2,2594.0,2629.2,2696.3,2750.1,2823.5,2995.0,3212.0,3385.7,3593.4,3720.5,3926.2,4051.2,4194.9,4286.9,4372.6,4484.2,4613.4,4683.7,4847.0,4951.4,5066.1,5181.8,5256.2,5342.0,5447.4,5544.6,5687.2,5790.6,5903.2,6009.7,6182.2,6336.2,6566.7,6736.2,6921.2,7121.7,7344.9,7472.0,7683.9,7817.2,7986.7,8147.9,8268.8,8355.6,8493.1
Valparaiso,05,San Esteban,05304,20643.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,4.8,14.5,14.5,14.5,24.2,38.8,43.6,53.3,67.8,82.4,87.2,96.9,140.5,208.3,256.7,295.5,431.1,532.9,605.5,663.7,736.3,823.5,905.9,939.8,954.3,1002.8,1027.0,1041.5,1080.3,1109.3,1128.7,1128.7,1172.3,1172.3,1206.2,1220.8,1254.7,1264.4,1274.0,1283.7,1293.4,1322.5,1341.9,1351.5,1375.8,1424.2,1472.7,1516.3,1555.0,1564.7,1632.5,1676.1,1676.1,1700.3,1705.2,1705.2,1714.9,1739.1,1743.9,1743.9,1753.6,1777.8,1782.7,1787.5,1797.2,1806.9,1831.1,1845.7,1865.0,1884.4,1894.1,1928.0,1942.5,1991.0,2054.0,2073.3,2121.8,2165.4,2204.1,2223.5,2238.0,2267.1,2286.5,2344.6,2378.5,2441.5,2470.6,2494.8,2528.7,2611.1,2640.1,2688.6,2717.6,2761.2,2785.4,2882.3,3022.8,3090.6,3173.0,3328.0,3487.9,3618.7,3705.9,3827.0,3923.8,4011.0,4030.4,4117.6,4175.7,4243.6,4306.5,4432.5,4534.2,4713.5,4878.2,5101.0,5270.6,5566.1,5701.7,5880.9,5968.1,6195.8,6292.7,6399.3,6525.2,6568.8
Valparaiso,05,San Felipe,05701,83494.0,0.0,0.0,6.0,6.0,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,10.8,10.8,14.4,20.4,35.9,44.3,86.2,104.2,134.1,154.5,224.0,319.8,426.4,482.7,729.4,831.2,945.0,1008.5,1092.3,1171.3,1216.9,1214.5,1212.1,1267.2,1286.3,1293.5,1333.0,1408.5,1466.0,1522.3,1549.8,1579.8,1588.1,1601.3,1619.3,1640.8,1651.6,1699.5,1727.1,1767.8,1791.7,1828.9,1873.2,1934.3,1966.6,1996.6,2021.7,2049.2,2078.0,2122.3,2127.1,2145.1,2157.0,2177.4,2201.4,2231.3,2255.3,2270.8,2280.4,2297.2,2303.2,2327.1,2343.9,2353.5,2372.6,2399.0,2415.7,2448.1,2467.2,2514.0,2552.3,2599.0,2636.1,2672.0,2714.0,2754.7,2800.2,2844.5,2868.5,2908.0,2929.6,2970.3,2991.8,3018.2,3056.5,3108.0,3166.7,3248.1,3321.2,3377.5,3432.6,3505.6,3555.9,3620.6,3700.9,3829.0,3957.2,4132.0,4282.9,4441.0,4547.6,4674.6,4770.4,4879.4,4977.6,5083.0,5198.0,5333.3,5424.3,5586.0,5690.2,5884.3,6019.6,6222.0,6366.9,6631.6,6841.2,7097.5,7224.5,7396.9,7484.4,7585.0,7672.4,7767.0
Valparaiso,05,Santa Maria,05706,16367.0,0.0,0.0,0.0,0.0,0.0,0.0,12.2,12.2,12.2,12.2,12.2,12.2,79.4,97.8,116.1,122.2,122.2,122.2,158.9,158.9,183.3,183.3,201.6,281.1,360.5,378.8,598.8,727.1,830.9,885.9,983.7,1093.7,1173.1,1197.5,1252.5,1307.5,1344.2,1405.3,1466.4,1527.5,1533.6,1558.0,1600.8,1637.4,1661.9,1753.5,1771.9,1771.9,1778.0,1814.6,1833.0,1869.6,1906.3,1973.5,1997.9,2022.4,2077.4,2120.1,2150.7,2162.9,2175.1,2187.3,2187.3,2187.3,2193.4,2236.2,2266.8,2254.5,2254.5,2266.8,2272.9,2279.0,2291.2,2303.4,2315.6,2346.2,2358.4,2370.6,2370.6,2395.1,2395.1,2443.9,2474.5,2498.9,2511.2,2553.9,2572.2,2602.8,2627.2,2712.8,2755.5,2792.2,2810.5,2865.5,2926.6,2993.8,2993.8,3054.9,3067.1,3079.4,3097.7,3122.1,3152.7,3213.8,3366.5,3403.2,3500.9,3659.8,3769.8,3904.2,4032.5,4173.0,4246.3,4338.0,4441.9,4600.7,4655.7,4863.4,5065.1,5260.6,5419.4,5651.6,5761.6,6048.8,6219.8,6366.5,6513.1,6733.1,6916.4,7142.4,7282.9,7496.8,7594.6,7765.6,7845.1,7893.9
Valparaiso,05,Santo Domingo,05606,11934.0,,0.0,0.0,0.0,41.9,41.9,41.9,83.8,92.2,100.6,142.5,142.5,159.2,184.3,176.0,209.5,243.0,276.5,293.3,293.3,318.4,343.6,419.0,477.6,653.6,653.6,821.2,938.5,988.8,997.2,1106.1,1114.5,1148.0,1173.1,1156.4,1206.6,1215.0,1215.0,1223.4,1223.4,1231.8,1231.8,1256.9,1323.9,1332.3,1374.2,1449.6,1466.4,1474.8,1483.2,1533.4,1567.0,1575.3,1583.7,1583.7,1583.7,1583.7,1592.1,1608.8,1608.8,1650.7,1751.3,1759.7,1759.7,1759.7,1759.7,1759.7,1768.1,1768.1,1768.1,1768.1,1776.4,1776.4,1776.4,1776.4,1776.4,1784.8,1843.5,1868.6,1927.3,1935.6,2011.1,2011.1,2086.5,2094.9,2187.0,2237.3,2296.0,2312.7,2346.2,2396.5,2413.3,2421.7,2455.2,2522.2,2614.4,2681.4,2798.7,2857.4,3025.0,3159.0,3251.2,3318.3,3494.2,3569.6,3636.7,3795.9,3904.8,3955.1,4080.8,4198.1,4390.8,4466.2,4483.0,4524.9,4692.5,4784.6,4818.2,4851.7,4935.5,5002.5,5136.6,5195.2,5379.6,5505.3,5698.0,5832.1,5991.3,6150.5,6251.0,6326.5,6401.9,6510.8,6603.0,6678.4,6770.6
