date,comuna,region,IM_interno,IM_externo,IM
20200922,Huara,R01,2.35048231511254,2.872454448017149,5.222936763129688
20200923,Huara,R01,2.418006430868167,3.0610932475884245,5.479099678456591
20200924,Huara,R01,2.305466237942122,2.498392282958199,4.803858520900321
20200925,Huara,R01,2.093247588424437,2.5616291532690245,4.654876741693462
20200926,Huara,R01,1.4330117899249732,1.8542336548767413,3.287245444801715
20200927,Huara,R01,1.3494105037513398,1.829581993569132,3.1789924973204715
20200928,Huara,R01,2.133976420150053,2.8285101822079315,4.962486602357985
20200929,Huara,R01,2.3290460878885315,3.0878885316184346,5.416934619506966
20200930,Huara,R01,2.4083601286173635,2.915326902465166,5.32368703108253
20200921,Huara,R01,1.9549839228295818,2.382636655948553,4.337620578778135
20201001,Huara,R01,1.9271168274383708,2.4415862808145765,4.368703108252947
20201002,Huara,R01,2.290460878885316,2.740621650589496,5.031082529474811
20201003,Huara,R01,1.7781350482315113,1.9581993569131837,3.736334405144695
20201004,Huara,R01,1.6012861736334405,1.969989281886388,3.5712754555198285
20201005,Huara,R01,2.335476956055734,2.996784565916399,5.332261521972133
20201006,Huara,R01,2.679528403001072,3.2186495176848866,5.898177920685959
20201007,Huara,R01,2.6559485530546625,3.284030010718114,5.939978563772776
20201008,Huara,R01,2.519828510182208,3.006430868167203,5.526259378349412
20201009,Huara,R01,1.9410503751339765,2.9989281886387995,4.939978563772776
20201010,Huara,R01,1.2904608788853162,2.073954983922829,3.3644158628081464
20201011,Huara,R01,0.960342979635584,1.6237942122186495,2.584137191854233
20201012,Huara,R01,1.3815648445873527,2.2497320471597,3.6312968917470534
20201013,Huara,R01,1.8113612004287245,3.323687031082529,5.135048231511254
20201014,Huara,R01,2.113612004287245,3.419078242229368,5.532690246516613
20201015,Huara,R01,1.714898177920686,3.05037513397642,4.765273311897106
20201016,Huara,R01,1.8424437299035368,3.1414790996784565,4.983922829581995
20201017,Huara,R01,1.2036441586280815,1.9346195069667742,3.1382636655948555
20201018,Huara,R01,1.0010718113612005,1.777063236870311,2.7781350482315115
20201019,Huara,R01,1.7416934619506967,3.1714898177920685,4.913183279742767
20201020,Huara,R01,1.9453376205787785,3.4072883172561634,5.352625937834941
20201021,Huara,R01,2.0,3.379421221864952,5.379421221864952
20201022,Huara,R01,1.562700964630225,2.72561629153269,4.288317256162915
