date,comuna,region,IM_interno,IM_externo,IM
20210120,Peñaflor,R13,5.035820142523806,4.229803872106956,9.265624014630763
20210121,Peñaflor,R13,5.046730150722079,4.238128271425868,9.284858422147948
20210122,Peñaflor,R13,5.356561770826763,4.499463959134767,9.856025729961528
20210123,Peñaflor,R13,5.526959702339661,3.6928170524058777,9.219776754745537
20210124,Peñaflor,R13,4.804944188686385,3.2401463076243933,8.045090496310777
20210125,Peñaflor,R13,5.0531626411048745,4.228857917638898,9.282020558743774
20210126,Peñaflor,R13,5.097748628366022,4.19820899287381,9.29595762123983
20210127,Peñaflor,R13,5.143595888251245,4.20161442895882,9.345210317210064
20210128,Peñaflor,R13,5.1847133757961785,4.308002774799773,9.492716150595953
20210129,Peñaflor,R13,5.523175884467428,4.653717601059469,10.176893485526897
20210130,Peñaflor,R13,6.898530617392949,4.588635933657059,11.48716655105001
20210131,Peñaflor,R13,0.0,0.0,0.0
20210201,Peñaflor,R13,5.048180614239769,4.407517184839503,9.455697799079275
20210202,Peñaflor,R13,4.910071261903259,4.269029450715772,9.179100712619032
20210203,Peñaflor,R13,4.600239641798575,3.9004855899602697,8.500725231758844
20210204,Peñaflor,R13,0.0,0.0,0.0
20210205,Peñaflor,R13,5.507788358453681,4.6363751024784,10.144163460932079
20210206,Peñaflor,R13,5.210380273696161,3.7558806836097616,8.966260957305922
20210207,Peñaflor,R13,0.0,0.0,0.0
20210208,Peñaflor,R13,0.0,0.0,0.0
20210209,Peñaflor,R13,5.093838683231381,4.319921801097307,9.413760484328687
20210210,Peñaflor,R13,5.0293876521410095,4.07548716655105,9.10487481869206
20210211,Peñaflor,R13,5.224443463454627,4.192470202434256,9.416913665888881
20210212,Peñaflor,R13,5.5024279498013495,4.463706880242164,9.966134830043512
20210213,Peñaflor,R13,5.6009333417418175,4.0293876521410095,9.630320993882826
20210214,Peñaflor,R13,5.214290218830801,3.706123478589897,8.920413697420699
20210215,Peñaflor,R13,5.0358832061550105,4.356120325408337,9.392003531563347
20210216,Peñaflor,R13,5.097433310210002,4.141830106577537,9.239263416787539
20210217,Peñaflor,R13,4.99772970927666,4.038216560509554,9.035946269786212
20210218,Peñaflor,R13,4.946963486157533,4.12322633537239,9.07018982152992
20210219,Peñaflor,R13,5.249353597780161,4.465220407391056,9.714574005171217
20210220,Peñaflor,R13,5.652204073910576,4.195875638519266,9.848079712429842
20210221,Peñaflor,R13,5.290723339849909,3.830989468373589,9.121712808223498
20210222,Peñaflor,R13,5.283344894999053,4.372264614996531,9.655609509995584
20210223,Peñaflor,R13,5.499779277290786,4.465472661915873,9.96525193920666
20210224,Peñaflor,R13,5.354417607365832,4.483571924071388,9.83798953143722
20210225,Peñaflor,R13,5.3623636248975215,4.383363814088416,9.745727438985938
20210226,Peñaflor,R13,5.6484833196695465,4.713564987071956,10.362048306741503
20210227,Peñaflor,R13,6.001702718042504,4.249479725042568,10.251182443085074
20210228,Peñaflor,R13,5.643249038279624,3.805259506842404,9.448508545122028
20210301,Peñaflor,R13,5.225137163397869,4.028441697672952,9.253578861070821
20210302,Peñaflor,R13,5.431229110172165,3.9499905404553193,9.381219650627482
20210303,Peñaflor,R13,5.661537491328751,4.149713060478023,9.811250551806772
20210304,Peñaflor,R13,5.3646969792520665,4.0566311408210876,9.421328120073154
20210305,Peñaflor,R13,5.897584662924892,4.440247209434318,10.337831872359212
20210306,Peñaflor,R13,6.01639654411301,3.800529734502113,9.816926278615123
20210307,Peñaflor,R13,5.424733556158164,3.260957305921675,8.685690862079838
20210308,Peñaflor,R13,5.666897899981081,4.337264299678377,10.004162199659458
20210309,Peñaflor,R13,5.482373715078515,3.96947720249732,9.451850917575834
20210310,Peñaflor,R13,5.5315002837863405,3.9912341552626605,9.522734439049
20210311,Peñaflor,R13,5.384120577662863,4.032036324651573,9.416156902314434
20210312,Peñaflor,R13,5.982279119631706,4.395030585861134,10.37730970549284
20210313,Peñaflor,R13,4.9373778142145435,2.771583527779529,7.708961341994073
20210314,Peñaflor,R13,4.433814719051523,2.308570347480608,6.742385066532131
20210315,Peñaflor,R13,5.314498328813773,3.861890647663493,9.176388976477265
20210316,Peñaflor,R13,5.219587563851927,3.71558302327048,8.935170587122409
20210317,Peñaflor,R13,5.295768430346219,3.8369805133379584,9.132748943684176
20210318,Peñaflor,R13,5.337327363309579,3.6440688654852735,8.981396228794852
20210319,Peñaflor,R13,6.033928233587691,3.964873557419436,9.998801791007127
20210320,Peñaflor,R13,4.6773033991297215,2.4140127388535038,7.091316137983225
20210321,Peñaflor,R13,4.173109667654663,1.9491707132496687,6.122280380904332
20210322,Peñaflor,R13,5.556851863530302,3.672636690420634,9.229488553950935
20210323,Peñaflor,R13,5.694645897710791,3.6621050640095856,9.356750961720378
20210324,Peñaflor,R13,5.698492779214227,3.709655041937314,9.40814782115154
20210325,Peñaflor,R13,4.5220407391057575,3.032036324651574,7.554077063757331
20210326,Peñaflor,R13,4.903323453364446,3.3426877719619097,8.246011225326352
20210327,Peñaflor,R13,3.6239515671312352,1.9210443337327363,5.544995900863972
20210328,Peñaflor,R13,4.412057766286184,1.8571608753232007,6.269218641609384
20201214,Peñalolén,R13,6.147395805959952,7.260866137593945,13.408261943553894
20201215,Peñalolén,R13,6.273295842749777,7.354680191307089,13.627976034056866
20201216,Peñalolén,R13,6.653912860671678,7.408813790928682,14.062726651600356
20201217,Peñalolén,R13,6.5833026751458465,7.522257844116257,14.105560519262102
20201218,Peñalolén,R13,7.083591738056446,8.126714668628791,15.210306406685238
20201219,Peñalolén,R13,6.216061386450832,5.469990014190362,11.686051400641196
20201220,Peñalolén,R13,5.805276712040785,4.9356440847217105,10.740920796762495
20201221,Peñalolén,R13,7.159037157723235,7.974299679402955,15.133336837126189
20201222,Peñalolén,R13,7.369869133336839,8.195485362905345,15.565354496242184
20201223,Peñalolén,R13,7.55652493824565,8.274662321963525,15.831187260209177
20201224,Peñalolén,R13,7.511877857781048,7.811084248699218,15.322962106480265
20201225,Peñalolén,R13,6.444263415146898,5.951542544804751,12.395805959951648
20201226,Peñalolén,R13,6.025174751668682,5.288274557208178,11.31344930887686
20201227,Peñalolén,R13,5.637278604088928,4.99069742996794,10.627976034056868
20201228,Peñalolén,R13,6.654937720081988,7.703947022652019,14.358884742734011
20201229,Peñalolén,R13,6.6536763546539115,7.669942712986808,14.323619067640722
20201230,Peñalolén,R13,6.799915908971464,7.581226677878804,14.381142586850267
20201231,Peñalolén,R13,7.0664056340989125,7.283413044620802,14.349818678719714
20210101,Peñalolén,R13,6.236269511746467,5.761890997004257,11.998160508750722
20210102,Peñalolén,R13,5.623640090397855,4.928102170599674,10.551742260997528
20210103,Peñalolén,R13,5.41391180953382,4.817049456036159,10.23096126556998
20210104,Peñalolén,R13,6.219950596520734,7.157250223366795,13.377200819887529
20210105,Peñalolén,R13,6.369212172176382,7.174751668681347,13.543963840857728
20210106,Peñalolén,R13,6.376333631155727,7.145109581121564,13.521443212277289
20210107,Peñalolén,R13,6.307694329111262,7.233221211961949,13.540915541073213
20210108,Peñalolén,R13,7.0594418457980765,7.893440899774005,14.952882745572085
20210109,Peñalolén,R13,4.6876806643191244,4.327613391496294,9.01529405581542
20210110,Peñalolén,R13,0.0,0.0,0.0
20210111,Peñalolén,R13,5.886818731276607,6.795290902401849,12.682109633678458
20210112,Peñalolén,R13,5.920218636674201,6.7695117464655485,12.689730383139748
20210113,Peñalolén,R13,5.946891259788722,6.774846271088452,12.721737530877176
20210114,Peñalolén,R13,5.790560782046566,6.967651232459136,12.758212014505704
20210115,Peñalolén,R13,5.981894150417827,7.2333788826404595,13.215273033058287
20210116,Peñalolén,R13,5.465890576549112,5.046854469963736,10.512745046512851
20210117,Peñalolén,R13,4.843853471382772,4.5595732380301675,9.403426709412939
20210118,Peñalolén,R13,5.805224155147947,6.745572081778525,12.550796236926471
20210119,Peñalolén,R13,5.669180638040679,6.712960529773481,12.38214116781416
20210120,Peñalolén,R13,5.759236873916013,6.685709780837756,12.444946654753773
20210121,Peñalolén,R13,5.634177747411572,6.6225626740947074,12.256740421506278
20210122,Peñalolén,R13,5.736243233300048,6.79274189309928,12.528985126399329
20210123,Peñalolén,R13,5.34703316339938,4.7954748515267775,10.142508014926158
20210124,Peñalolén,R13,4.811583539181163,4.321910968623535,9.133494507804699
20210125,Peñalolén,R13,5.5194723287959215,6.325248331318653,11.844720660114575
20210126,Peñalolén,R13,5.462027644925631,6.394938771219845,11.856966416145475
20210127,Peñalolén,R13,5.422215798601988,6.323986965890576,11.746202764492562
20210128,Peñalolén,R13,5.459031902033953,6.409024018500028,11.868055920533982
20210129,Peñalolén,R13,5.650785725547905,6.754191412203712,12.404977137751615
20210130,Peñalolén,R13,5.2403952278341315,4.928391233510276,10.168786461344407
20210131,Peñalolén,R13,0.0,0.0,0.0
20210201,Peñalolén,R13,5.375492720870343,6.251563567561886,11.627056288432227
20210202,Peñalolén,R13,5.439244231881012,6.2703526567509345,11.709596888631944
20210203,Peñalolén,R13,4.770011036947496,5.619041362274664,10.38905239922216
